what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1283353915312
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1283353915375
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1283353925671
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1283353988500
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1283353988500
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1283353988562
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1283353996500
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1283354017218
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1283354017406
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1283354017625
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1283354019000
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1283354021437
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1283354025109
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1283354026421
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1283354030234
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1283354030421
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1283354030609
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1283354031125
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1283354031171
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1283354031203
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1283354031234
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1283354031281
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1283354031312
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1283354031343
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1283354031390
