what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.common.project.facet.core,1.3.1.v200807031821,org.eclipse.jst.common.project.facet.core,1293820936074
started,bundle,org.eclipse.jst.server.tomcat.core,1.1.104.v20081006,org.eclipse.jst.server.tomcat.core,1293820944701
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.101.v20080620,org.eclipse.jst.server.tomcat.ui,1293820944779
started,bundle,org.eclipse.wst.jsdt.core,1.0.104.v200901281939,org.eclipse.wst.jsdt.core,1293821000253
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1293821001173
executed,command,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.run,1293821006383
started,bundle,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui,1293821007366
started,bundle,org.eclipse.jdt.debug,3.4.1.v20081216_r342,org.eclipse.jdt.debug,1293821008006
started,bundle,org.eclipse.core.variables,3.2.100.v20080529-1300,org.eclipse.core.variables,1293821008349
started,bundle,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui,1293821011079
opened,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1293821014606
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1293821014824
activated,view,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.ServersView,1293821020036
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1293821024545
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1293821025933
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1293821032282
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1293821047555
executed,command,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.stop,1293821055324
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1293821057837
activated,view,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.ServersView,1293821059399
executed,command,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.run,1293821062410
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1293821065453
activated,view,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.ServersView,1293821113215
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1293821113906
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1293821120879
