,input1,input2,output
0,-9.310181835465212,-1.6981537704350016,0.0
1,-12.094603071206144,-2.8762780857664936,0.0
2,-11.315907410511521,-3.4615846048147088,0.0
3,-7.616855225136058,-2.0555205130095864,0.0
4,-9.158368735926363,-3.249458580160949,0.0
5,-8.969561732584395,-13.047323613057962,1.0
6,-9.961369448159813,-4.656715102321954,0.0
7,-11.630198346966045,-2.537217744474226,0.0
8,-9.506258222650812,-3.1161039390343666,0.0
9,-9.713095511996654,-13.320594275790741,1.0
10,-10.190653493581399,-3.3948495140334503,0.0
11,-11.10438333942845,-2.9478349207390258,0.0
12,-9.063554274168885,-11.035095176869671,1.0
13,-10.930156502524321,-11.178589092087329,1.0
14,-11.225435518830167,-2.155637023598453,0.0
15,-9.42340918338506,-3.208298755577995,0.0
16,-10.919113444869943,-10.807246150934784,1.0
17,-9.300619516412183,-12.06122228744591,1.0
18,-10.405941727188484,-10.275631495130035,1.0
19,-10.309114444771708,-3.2334666615436927,0.0
20,-9.079141176219181,-2.6812723470569786,0.0
21,-10.014857703354703,-10.178594062975188,1.0
22,-9.435991464926191,-12.284552297992526,1.0
23,-8.467220785641542,-1.530641230099715,0.0
24,-11.139802455426775,-10.2150424787595,1.0
25,-9.199435196569004,-2.9217398248383386,0.0
26,-8.235947654032335,-2.599842791632777,0.0
27,-10.598653936922986,-4.115896985960394,0.0
28,-10.365551089986038,-10.061907459094355,1.0
29,-11.306526851735317,-1.341869320381812,0.0
30,-10.647181431847761,-10.52775284991215,1.0
31,-9.547510907360353,-10.902103854587374,1.0
32,-9.137403988671549,-5.655619092974932,0.0
33,-9.131036513103204,-2.723128094153872,0.0
34,-10.502816700642539,-0.5875463204562514,0.0
35,-10.05858655113386,-11.3175430939302,1.0
36,-10.241337791453105,-11.878190342810074,1.0
37,-7.502799608412992,-13.245321648371402,1.0
38,-10.634322093680964,-3.362741165987138,0.0
39,-10.50535831726441,-11.81579154199397,1.0
40,-9.523101631077777,-10.851550418619922,1.0
41,-11.048552965067092,-4.420017937178975,0.0
42,-8.59865516870804,-11.410381793657871,1.0
43,-9.902275032285145,-2.4170463202467065,0.0
44,-10.98551073768415,-4.471835007463587,0.0
45,-10.944368490824294,-10.761896852167688,1.0
46,-10.309012969047123,-4.676003806329977,0.0
47,-11.688230027771432,-11.112465982559552,1.0
48,-9.780490444206954,-10.606937066019908,1.0
49,-10.545711974017783,-12.884585844979448,1.0
50,-10.14357951171632,-11.382025448950383,1.0
51,-8.77512943580634,-10.935143893656424,1.0
52,-9.603993287338355,-4.093061508730505,0.0
53,-9.069591503888883,-11.17531640232702,1.0
54,-10.453804041052,-10.596735459836752,1.0
55,-7.985939845081532,-11.306765776027005,1.0
56,-12.582796632969945,-12.15395036365201,1.0
57,-11.054628463985013,-2.1797521626753187,0.0
58,-10.11816404512857,-3.6801782039968503,0.0
59,-9.96299427808985,-10.232097592267296,1.0
60,-9.027464210857463,-8.866131752795463,1.0
61,-10.870797149181882,-3.5788496647644155,0.0
62,-9.213672037891024,-3.466419096735943,0.0
63,-11.632634526234495,-12.567767724308453,1.0
64,-9.306226847309867,-3.159573438146267,0.0
65,-8.132442009850033,-3.977277879876411,0.0
66,-10.687837611028682,-4.21407740309412,0.0
67,-10.837678041907946,-11.591183103764429,1.0
68,-8.900340404112887,-2.3447362692774023,0.0
69,-10.028182228338656,-2.5716681294695825,0.0
70,-10.660056320134084,-10.824181046703972,1.0
71,-8.965590113518482,-11.996212640371066,1.0
72,-11.601836048972537,-11.88718094184504,1.0
73,-9.597658358822452,-3.684810090940313,0.0
74,-9.228594051323155,-1.9705611712172328,0.0
75,-10.813364259204203,-4.466424327802514,0.0
76,-9.720075400956762,-3.098150389642958,0.0
77,-8.811970207647699,-2.6830573880751505,0.0
78,-8.921802696285763,-13.559184666344096,1.0
79,-9.06360145644754,-11.52564059310194,1.0
80,-11.070752621510543,-1.9455482730688634,0.0
81,-11.424060908982531,-3.493319883362194,0.0
82,-9.04991158247441,-3.1513572082976977,0.0
83,-9.227305162897618,-12.661598291114563,1.0
84,-9.760417240143608,-11.369801166303803,1.0
85,-9.719558294683704,-3.9931236109295805,0.0
86,-9.802032710055032,-9.918064781522734,1.0
87,-8.044087691749306,-2.6099066773120736,0.0
88,-10.499016637994183,-10.97864877615645,1.0
89,-9.987768016361183,-9.430740385464096,1.0
90,-10.067275608922982,-12.318395869644734,1.0
91,-10.912822225444158,-1.882983711904147,0.0
92,-7.730245376012393,-4.4543656745987645,0.0
93,-10.788669254509367,-9.90536162528791,1.0
94,-10.22247701024292,-11.858919907807671,1.0
95,-9.551804715576688,-9.303818427171839,1.0
96,-11.444940199073372,-12.210542994123351,1.0
97,-11.000215347389565,-4.544771096777612,0.0
98,-11.632423302067984,-11.067134154614521,1.0
99,-7.83676405071931,-1.663472050563608,0.0
100,-10.704700275856233,-2.0567392750305054,0.0
101,-11.768538450677031,-2.644518207256231,0.0
102,-9.501309725090172,-9.952027844031948,1.0
103,-9.492761048890385,-11.11622970038715,1.0
104,-9.057531880779607,-11.267594746235348,1.0
105,-8.51064403792552,-10.478696251724287,1.0
106,-11.61389784755795,-3.2127402802139686,0.0
107,-10.353431748757199,-4.616474188651033,0.0
108,-10.792286661806145,-11.531605908011455,1.0
109,-9.059082385424887,-10.594795919677113,1.0
110,-10.36159928078162,-9.935414863872149,1.0
111,-9.9896506854337,-10.279966240658347,1.0
112,-10.74475482204844,-3.8264385386590143,0.0
113,-11.029935283308976,-3.349943364589105,0.0
114,-11.270484998485733,-2.030603291841989,0.0
115,-9.02126201589426,-0.7591068007985422,0.0
116,-10.684010897737217,-1.3404492038101279,0.0
117,-9.270909437822462,-2.8710170892425895,0.0
118,-9.669964885489689,-8.774055668261742,1.0
119,-9.187325957890957,-10.412740620600173,1.0
120,-11.359780725503814,-11.041400811557967,1.0
121,-10.110540657232473,-1.9798272882842003,0.0
122,-10.101697274554871,-10.980720615486923,1.0
123,-9.94842505723011,-10.132723371191572,1.0
124,-12.25556422940219,-4.022506843635604,0.0
125,-9.2267470225974,-4.183880640193317,0.0
126,-9.989499979279179,-1.2141295060941648,0.0
127,-10.542861476016718,-2.5839499537385744,0.0
128,-10.65240858238702,-3.390953375187601,0.0
129,-9.476108976165794,-2.9115779129553387,0.0
130,-9.518884873611164,-8.240644885978417,1.0
131,-9.85804683667922,-3.319328417145095,0.0
132,-10.692049847784391,-1.4636229457542023,0.0
133,-8.734922161911234,-10.788502987268123,1.0
134,-9.327705242987564,-2.5925381637588893,0.0
135,-9.388072807268841,-12.341496725583042,1.0
136,-11.27968917320424,-11.585431204277773,1.0
137,-10.110489405065929,-12.660699811869263,1.0
138,-9.954241482698555,-3.187183850025834,0.0
139,-9.252811665795369,-4.188944955203736,0.0
140,-10.817493097616227,-12.401347293039311,1.0
141,-10.045703960660235,-2.7794923442428265,0.0
142,-9.089821091907409,-2.682781784808698,0.0
143,-9.052748032226251,-3.155010093090834,0.0
144,-10.918004769819046,-10.747503372923127,1.0
145,-8.818621398711715,-11.631903758005167,1.0
146,-10.466845546052763,-4.4169061131262595,0.0
147,-12.01640662779976,-3.5394546333745014,0.0
148,-10.803409664173842,-3.6895497777502007,0.0
149,-11.157355259190854,-3.3122922511256934,0.0
150,-11.147610944843136,-11.358114075479858,1.0
151,-8.8605993154567,-4.234825820353652,0.0
152,-9.421478502271121,-2.650345543006826,0.0
153,-9.623574468844371,-4.099400790584195,0.0
154,-9.593584506323793,-11.19317670154984,1.0
155,-10.938981572677786,-9.982979008586755,1.0
156,-10.85172919725359,-9.17727639987204,1.0
157,-9.645242306886782,-10.383113445606721,1.0
158,-9.068151625885696,-2.660035016198738,0.0
159,-10.803141387341629,-11.464337691435492,1.0
160,-9.228209448786332,-2.1764958460362687,0.0
161,-11.94570308316396,-11.912783494135292,1.0
162,-9.686932298349099,-3.8540957393017248,0.0
163,-9.79172502192314,-2.0233609635162875,0.0
164,-11.126825808756744,-3.7306777528648247,0.0
165,-10.597316068965362,-3.237921729736007,0.0
166,-10.765702194478086,-10.444213035917127,1.0
167,-10.347912149326152,-2.84365103089602,0.0
168,-9.95050501834991,-2.5061632237190437,0.0
169,-11.252795360049927,-2.22250964416809,0.0
170,-9.833326504627472,-2.364968563107894,0.0
171,-11.347925422629121,-11.76157338825656,1.0
172,-8.9036531543342,-11.234215801344536,1.0
173,-9.617267569987732,-11.034242280531954,1.0
174,-10.448165362680708,-11.649337927730388,1.0
175,-8.873364077893493,-4.0799315083634236,0.0
176,-11.006831752298984,-9.318423283732672,1.0
177,-11.4059629162679,-11.590057645869539,1.0
178,-10.085930766971613,-2.8057070619542284,0.0
179,-9.432709722147331,-3.2226751005151546,0.0
180,-9.8166608007424,-9.329056967211143,1.0
181,-9.675130384203815,-10.00288201920824,1.0
182,-9.54258439377901,-3.9646120137337286,0.0
183,-10.406303130445062,-11.86404499110237,1.0
184,-9.635518750759495,-9.528678043857662,1.0
185,-8.505920926842395,-3.2051582637658007,0.0
186,-10.856549308234209,-12.541587399671787,1.0
187,-9.135563801140494,-3.742165020406442,0.0
188,-8.588827936110388,-10.214196173168828,1.0
189,-9.691668754040656,-12.378083467064076,1.0
190,-11.226621659396615,-10.032553849949766,1.0
191,-10.600657557657788,-9.44775681995144,1.0
192,-9.724399326015943,-9.564950613210845,1.0
193,-10.07466797825115,-10.741283559770254,1.0
194,-10.637437025552229,-3.3972718143287977,0.0
195,-10.944446255918251,-3.4100496932025486,0.0
196,-9.940105316883724,-11.21252304477031,1.0
197,-9.703266827505887,-10.170013840918896,1.0
198,-11.17762896248263,-12.140196300934962,1.0
199,-9.308461248929813,-2.305250856343994,0.0
200,-9.800699803103536,-3.050603540961666,0.0
201,-8.480005139234228,-1.2804106925838055,0.0
202,-10.509652181751653,-3.4380743016111865,0.0
203,-10.704921352507444,-10.320025155754898,1.0
204,-11.147468652411103,-3.4378200447444343,0.0
205,-10.413618980759747,-3.7474548114407575,0.0
206,-9.960233265413505,-12.566994710861602,1.0
207,-8.486671917426795,-2.446867935792416,0.0
208,-8.673538357634307,-11.964606424206265,1.0
209,-9.64049560042899,-11.144566816933736,1.0
210,-11.491257592705605,-2.5606082987354633,0.0
211,-11.292856909723449,-2.732949130650817,0.0
212,-10.347961855920845,-12.353388858147714,1.0
213,-10.439189521802147,-2.8186615707821785,0.0
214,-10.05535254802239,-11.263937348592687,1.0
215,-7.988743318536863,-11.044595426455857,1.0
216,-10.387326817407953,-3.3023027505753357,0.0
217,-9.978937978657937,-10.900545542969288,1.0
218,-10.451303037102527,-10.734312025033764,1.0
219,-9.836071427547413,-10.903678644078804,1.0
220,-11.461732688261408,-11.683439766788682,1.0
221,-11.03264310189213,-11.436748337458008,1.0
222,-10.090382007276947,-9.632402760193287,1.0
223,-10.696326653861083,-11.290397100803867,1.0
224,-10.311552532127372,-2.9438346577702545,0.0
225,-10.198398896820045,-10.905807699689854,1.0
226,-9.786519951089831,-12.208573653733222,1.0
227,-8.978209414411326,-11.552540673416729,1.0
228,-10.035768071860222,-8.619254648780249,1.0
229,-10.185053671009342,-3.8076484876163557,0.0
230,-9.356685534937071,-4.570623408633453,0.0
231,-10.782629155827525,-3.1103892990268878,0.0
232,-10.517519042510404,-3.97882985935877,0.0
233,-8.5117478062044,-1.1041108239694168,0.0
234,-7.883208978516325,-12.610878403449934,1.0
235,-10.13370155966844,-1.9222561940237373,0.0
236,-10.532702791979554,-9.9092502655655,1.0
237,-10.267733536893967,-4.128011331470007,0.0
238,-10.291837362747863,-3.7614922118116234,0.0
239,-10.6677202863594,-10.673037404595542,1.0
240,-9.933482777616833,-2.6975281022602187,0.0
241,-7.303775947436421,-3.073924666280415,0.0
242,-10.024326124398936,-3.7380309092056887,0.0
243,-9.715720329192786,-9.257331219344369,1.0
244,-9.728829815362689,-11.801496885394375,1.0
245,-11.179157930637688,-9.69857192833524,1.0
246,-8.971064507405146,-11.072287007560005,1.0
247,-8.672217304042016,-11.101281486217399,1.0
248,-10.098452524425433,-3.6634782863621074,0.0
249,-11.951804101481603,-11.659891729729498,1.0
250,-11.502396569381713,-12.777666954733707,1.0
251,-9.244604304336661,-10.132592588645082,1.0
252,-11.706270190625013,-1.0492246047682103,0.0
253,-9.185480177512133,-2.94107441081837,0.0
254,-9.531614765722948,-9.264121002314287,1.0
255,-9.87308790729638,-2.598010636555298,0.0
256,-9.855956428839121,-1.545726493037025,0.0
257,-10.94748859490688,-10.755556544038367,1.0
258,-10.219541028331212,-12.084036620671935,1.0
259,-10.424663302432865,-11.829964597537963,1.0
260,-10.65229359993502,-3.521189312301111,0.0
261,-9.063257536464743,-9.587672293962557,1.0
262,-10.26800337095138,-2.197543604203605,0.0
263,-10.384645423142517,-11.443836093155198,1.0
264,-11.421919871640437,-9.002043920249996,1.0
265,-9.53383357396597,-11.370242440704343,1.0
266,-10.395228982654354,-4.159420516399913,0.0
267,-12.65917223799674,-2.393680475640619,0.0
268,-11.936279805846507,-2.8112214032061713,0.0
269,-10.521579677993373,-12.184686590411552,1.0
270,-8.13244103957343,-2.0939553417246146,0.0
271,-8.261127322545489,-2.005605608684501,0.0
272,-9.03930660153934,-9.670937153460319,1.0
273,-9.124167238412669,-3.115107468487227,0.0
274,-10.056133020448756,-11.001385042735096,1.0
275,-11.334258471402753,-4.346717505797555,0.0
276,-8.533421284425822,-2.147448060538768,0.0
277,-12.36417381714118,-10.979665818294757,1.0
278,-9.38592062965392,-2.077793328433473,0.0
279,-10.463595974646093,-2.5185185262265377,0.0
280,-9.050579193074238,-2.912448758614809,0.0
281,-10.347450652498564,-11.581268476860325,1.0
282,-9.95486598456799,-8.660375193979942,1.0
283,-8.87140593548543,-2.5039990536560377,0.0
284,-10.971104570444485,-2.685182795484176,0.0
285,-9.72548364227606,-3.890915082995528,0.0
286,-9.634151212083141,-9.702174733026414,1.0
287,-8.714015992919707,-12.506998398214272,1.0
288,-10.757870860425166,-11.050084094284822,1.0
289,-10.386870846850647,-11.510292739633629,1.0
290,-9.629174998718899,-2.8579381948127645,0.0
291,-9.710879494721187,-10.587129179553825,1.0
292,-9.843493462034624,-2.767818963799724,0.0
293,-9.276899506262202,-10.975387874752089,1.0
294,-10.276432845015837,-11.259576981834039,1.0
295,-10.628087559641578,-3.481027118460788,0.0
296,-11.332211654594502,-12.96862468978602,1.0
297,-10.687299037156663,-11.117474546418112,1.0
298,-9.142076075707664,-1.8588981333424266,0.0
299,-12.239604058661737,-10.598500944909713,1.0
300,-10.554309626571301,-11.470637658154791,1.0
301,-9.94904572298871,-12.794229271489721,1.0
302,-10.739562996391314,-1.4569854045932642,0.0
303,-9.55896709272685,-10.821207134266821,1.0
304,-10.799422399543097,-10.759212490258061,1.0
305,-9.238962274853007,-2.878324983507172,0.0
306,-10.861225685054702,-1.0899350469009663,0.0
307,-9.529566855153519,-10.688552928445844,1.0
308,-9.179678202738579,-9.640051458320515,1.0
309,-10.955945000492777,-3.3459817756993866,0.0
310,-9.776156436687089,-10.670377017872262,1.0
311,-11.582938397335083,-2.389620620892795,0.0
312,-10.22260568094832,-11.913079218041796,1.0
313,-10.455532503517343,-2.982520840974943,0.0
314,-11.681218215494434,-11.88897135809545,1.0
315,-10.908763245959053,-3.4243176209779014,0.0
316,-9.501947595317143,-11.026192237344251,1.0
317,-10.658552966805004,-3.514233965939989,0.0
318,-10.764143923906444,-4.437791473801578,0.0
319,-12.552989815834078,-2.346381404559639,0.0
320,-8.245013846257942,-11.132988422309593,1.0
321,-10.569312053470185,-2.7300956450592384,0.0
322,-9.333616917968087,-3.460719787388553,0.0
323,-10.13594970067832,-1.8631086373973047,0.0
324,-10.202896840766668,-11.109882779309315,1.0
325,-9.070494888520471,-2.4177754086020755,0.0
326,-11.550429345083481,-10.582681178968164,1.0
327,-9.470954761665569,-10.577371378291174,1.0
328,-10.275670534560557,-3.7097279658468882,0.0
329,-9.632455103977732,-10.80968844240606,1.0
330,-10.34624944764731,-11.794636321071499,1.0
331,-9.41012017926548,-11.36385880997079,1.0
332,-10.369181837942444,-3.2393791775759264,0.0
333,-11.165149840783357,-2.099173513045813,0.0
334,-8.680863123698424,-3.8824188185499184,0.0
335,-10.67246044777595,-3.3595531615405414,0.0
336,-9.556136767254575,-2.6663256726257334,0.0
337,-10.596314038450508,-3.0525672962695465,0.0
338,-10.435153551721637,-1.1507362715206582,0.0
339,-10.532489919209068,-10.354944726540124,1.0
340,-8.407229245582517,-11.25857263167677,1.0
341,-11.045253366146955,-1.7888547103172991,0.0
342,-10.131908639779967,-10.595238187959502,1.0
343,-10.535270164532845,-10.974594791614985,1.0
344,-10.496102333982563,-11.074804982680341,1.0
345,-8.674985947113186,-10.79466743622204,1.0
346,-8.821220428840348,-3.179924835812351,0.0
347,-8.91862396554181,-11.631375988449388,1.0
348,-9.53433756026954,-4.536243686277224,0.0
349,-10.64361840283289,-5.223403152224426,0.0
350,-10.384879809181275,-2.905648410682926,0.0
351,-10.399449029262875,-2.629944112152481,0.0
352,-9.478935123547242,-3.5757879698130663,0.0
353,-10.719604388551794,-3.812992988554077,0.0
354,-9.647183393505621,-11.15277442354541,1.0
355,-12.288620040014528,-2.748515584978463,0.0
356,-10.061626402095648,-3.1073052762911746,0.0
357,-10.365055216546258,-12.791327548041183,1.0
358,-9.822573857746248,-3.401780936208262,0.0
359,-9.546218087364316,-12.829740411004531,1.0
