,x1,x2,label
0,-0.929607132,0.2455134647,0
1,0.0750569734,-0.0344245702,1
2,0.1865691381,-0.0662133942,1
3,0.9866687755,0.0965573796,0
4,0.0679408976,-0.0194817143,1
5,-0.0149736124,-0.0205002615,1
6,-0.0384350608,-0.0477961871,1
7,-0.0076217562,-0.0328716267,1
8,0.3596793161,0.8986604817,0
9,0.0706678947,0.1051732837,1
10,0.0930757848,-0.0122115356,1
11,0.760903849,0.7664575704,0
12,-0.0542398174,-0.056428686,1
13,-0.1199956273,0.0568233676,1
14,-0.003453098,-0.0804803764,1
15,-0.959556166,0.1174303059,0
16,0.9231481733,-0.2991138096,0
17,-0.129021098,0.0037521076,1
18,-0.5153534818,0.8828530677,0
19,-0.6197852819,0.7796953697,0
20,0.1007650879,-0.0015608345,1
21,-0.1181630782,-0.0552589147,1
22,1.0162918149,-0.0645605321,0
23,0.0987785557,-1.0169560218,0
24,-0.6812030768,-0.6818520749,0
25,0.1083268918,0.0817577997,1
26,0.0581164174,-0.0799329481,1
27,-0.3773287846,-0.8675026472,0
28,0.0656112179,-0.1645763131,1
29,-0.0706727962,0.1205666603,1
30,0.0352000689,0.0537142701,1
31,0.9776474449,-0.0328816364,0
32,0.2020172901,0.9925476324,0
33,0.2948654775,1.0038015171,0
34,-0.9074695456,0.3050844191,0
35,-0.0877598398,0.0373384744,1
36,-0.5742126708,-0.8186256984,0
37,0.0386168515,0.0578238942,1
38,-0.1129419568,-0.0863953093,1
39,-0.1960023384,-0.8827419925,0
40,-0.9419982209,-0.1530192915,0
41,0.9622060957,-0.313184411,0
42,-0.0501592703,0.0704436735,1
43,-0.1106769052,0.0728076824,1
44,0.0922364554,1.0230034448,0
45,0.8657642364,-0.4344384708,0
46,-0.0552086424,0.0432721475,1
47,-0.7438358617,0.698353409,0
48,-0.1865337318,-0.0767211137,1
49,0.0778458208,-0.0230502094,1
50,-0.0418704482,-0.0906849016,1
51,0.4081838216,0.9567525596,0
52,-0.9992733031,-0.113046949,0
53,-0.929607132,0.2455134647,0
54,-0.077482664,-0.0233187362,1
55,-0.008154371,-0.0612645332,1
56,-0.4677768596,0.8834892577,0
57,0.1233590666,0.9586115646,0
58,-0.3538016168,-0.9265262208,0
59,-1.0400610628,-0.0333988548,0
60,0.0989006024,0.9586370645,0
61,0.0506050737,-0.0470077364,1
62,-0.0669773069,0.0992687753,1
63,-0.1121061406,0.0346108208,1
64,0.0644199428,1.0045743623,0
65,-0.0731742762,-0.0251874732,1
66,-0.0111298124,0.0963756479,1
67,-0.174128507,0.0770117009,1
68,-0.0195491945,-0.0945987739,1
69,0.7578753396,0.6271609536,0
70,1.0035284169,0.3671165579,0
71,0.4658157534,-0.8025117422,0
72,0.0570517225,-0.0681694134,1
73,0.8486862321,0.4755798288,0
74,-0.1065226958,0.032993433,1
75,0.1052924376,0.0087253331,1
76,1.0116128381,-0.2844160194,0
77,0.0431454667,0.1164432438,1
78,-0.6197852819,0.7796953697,0
79,0.1250463269,-0.0840058642,1
80,0.0981047203,-0.0793855622,1
81,0.0126469111,0.0854475931,1
82,-0.011346096,0.0063264136,1
83,-0.0469075632,1.0417947375,0
84,-0.0223228702,0.1898200656,1
85,0.2395015233,1.0095369992,0
86,0.1088709856,-0.0187132601,1
87,0.6463299776,-0.6848073794,0
88,-0.0829212284,-0.0293904495,1
89,-0.9889240616,0.1741122248,0
90,0.0421739639,0.0232848787,1
91,-0.9315799054,0.3588012057,0
92,0.0079274101,0.1562787928,1
93,0.0699606087,0.0583918553,1
94,-0.0944802888,0.0829463068,1
95,-0.0062293247,-0.1373479916,1
96,0.9355336228,-0.3543920638,0
97,-0.8405675181,0.482278592,0
98,0.1147197175,-0.0116456269,1
99,0.1233590666,0.9586115646,0
100,0.0433839605,0.043940088,1
101,-0.0499997914,0.0677026559,1
102,0.0915248314,0.0469763054,1
103,0.1118456568,0.0127307394,1
104,-0.0960381329,0.084181247,1
105,0.852465422,-0.5520952387,0
106,-0.0418727088,-0.0820448072,1
107,0.0682202318,-0.057415895,1
108,-0.1230607216,-0.0254337884,1
109,-0.1170128685,0.0975599898,1
110,-0.9538988486,0.1113761223,0
111,0.1386055586,-0.1293475029,1
