,0
0,409
1,408
2,408
3,408
4,410
5,412
6,416
7,417
8,416
9,414
10,413
11,410
12,407
13,408
14,410
15,410
16,414
17,414
18,415
19,416
20,415
21,415
22,412
23,414
24,414
25,413
26,412
27,412
28,410
29,406
30,406
31,403
32,401
33,397
34,398
35,399
36,401
37,399
38,399
39,401
40,404
41,404
42,403
43,400
44,394
45,389
46,390
47,397
48,403
49,401
50,392
51,387
52,388
53,397
54,404
55,405
56,399
57,440
58,473
59,402
60,402
61,400
62,394
63,391
64,390
65,391
66,400
67,485
68,416
69,400
70,395
71,398
72,402
73,401
74,400
75,492
76,510
77,405
78,405
79,403
80,403
81,404
82,401
83,502
84,518
85,406
86,405
87,404
88,398
89,399
90,511
91,409
92,410
93,408
94,399
95,395
96,514
97,397
98,402
99,409
100,403
101,396
102,508
103,401
104,402
105,408
106,408
107,400
108,487
109,514
110,403
111,410
112,409
113,466
114,510
115,391
116,412
117,416
118,408
119,510
120,385
121,398
122,412
123,413
124,521
125,394
126,393
127,403
128,420
129,530
130,518
131,398
132,403
133,410
134,410
135,526
136,400
137,397
138,404
139,405
140,517
141,393
142,392
143,400
144,407
145,524
146,521
147,379
148,409
149,424
150,519
151,535
152,385
153,395
154,422
155,476
156,522
157,390
158,392
159,405
160,410
161,519
162,472
163,390
164,419
165,422
166,520
167,431
168,381
169,418
170,430
171,511
172,532
173,378
174,393
175,421
176,502
177,526
178,386
179,392
180,406
181,443
182,538
183,534
184,397
185,403
186,412
187,525
188,542
189,437
190,408
191,413
192,409
193,521
194,424
195,407
196,417
197,417
198,427
199,516
200,526
201,412
202,413
203,414
204,499
205,523
206,522
207,417
208,423
209,414
210,517
211,514
212,406
213,415
214,413
215,530
216,388
217,396
218,413
219,477
220,521
221,467
222,402
223,410
224,417
225,525
226,526
227,399
228,407
229,406
230,499
231,523
232,406
233,412
234,414
235,515
236,522
237,409
238,418
239,416
240,470
241,512
242,402
243,412
244,413
245,413
246,513
247,531
248,406
249,406
250,412
251,419
252,417
253,516
254,454
255,413
256,417
257,505
258,523
259,407
260,412
261,411
262,409
263,517
264,401
265,407
266,421
267,496
268,520
269,403
270,411
271,418
272,507
273,522
274,405
275,406
276,409
277,516
278,417
279,417
280,408
281,408
282,406
283,511
284,513
285,402
286,414
287,438
288,522
289,485
290,404
291,413
292,416
293,518
294,403
295,405
296,412
297,520
298,413
299,410
300,407
301,521
302,490
303,414
304,414
305,478
306,521
307,402
308,420
309,421
310,482
311,523
312,407
313,408
314,414
315,420
316,448
317,527
318,539
319,425
320,416
321,427
322,414
323,406
324,527
325,538
326,533
327,517
328,413
329,420
330,413
331,411
332,514
333,527
334,516
335,450
336,413
337,422
338,418
339,408
340,460
341,522
342,527
343,490
344,412
345,419
346,415
347,409
348,407
349,521
350,527
351,521
352,411
353,412
354,418
355,411
356,412
357,483
358,528
359,529
360,512
361,407
362,412
363,416
364,411
365,412
366,523
367,534
368,528
369,410
370,414
371,417
372,412
373,409
374,457
375,531
376,531
377,524
378,413
379,413
380,423
381,425
382,414
383,423
384,524
385,533
386,523
387,414
388,416
389,416
390,416
391,413
392,410
393,526
394,537
395,534
396,414
397,414
398,418
399,409
400,407
401,504
402,536
403,536
404,484
405,413
406,415
407,414
408,416
409,440
410,526
411,531
412,526
413,416
414,426
415,429
416,416
417,416
418,416
419,508
420,534
421,529
422,522
423,419
424,420
425,416
426,408
427,412
428,412
429,447
430,534
431,536
432,531
433,419
434,420
435,425
436,417
437,414
438,414
439,518
440,538
441,539
442,533
443,422
444,418
445,437
446,419
447,410
448,409
449,532
450,538
451,535
452,523
453,425
454,409
455,412
456,412
457,411
458,410
459,476
460,528
461,531
462,524
463,426
464,417
465,414
466,408
467,407
468,410
469,502
470,528
471,538
472,530
473,511
474,412
475,418
476,417
477,414
478,413
479,414
480,532
481,538
482,536
483,513
484,411
485,413
486,412
487,411
488,412
489,436
490,539
491,539
492,549
493,548
494,525
495,424
496,418
497,415
498,413
499,412
500,532
501,549
502,557
503,543
504,525
505,418
506,409
507,402
508,405
509,464
510,536
511,551
512,546
513,535
514,409
515,415
516,416
517,412
518,412
519,410
520,508
521,547
522,550
523,545
524,519
525,414
526,420
527,428
528,419
529,413
530,493
531,538
532,542
533,544
534,527
535,424
536,414
537,412
538,414
539,417
540,417
541,411
542,473
543,542
544,548
545,544
546,523
547,414
548,414
549,412
550,411
551,416
552,418
553,418
554,412
555,449
556,532
557,538
558,537
559,519
560,407
561,409
562,415
563,417
564,414
565,407
566,402
567,402
568,484
569,523
570,531
571,530
572,524
573,405
574,411
575,415
576,415
577,408
578,406
579,405
580,406
581,406
582,410
583,513
584,517
585,493
586,411
587,410
588,405
589,404
590,403
591,404
592,409
593,407
594,403
595,520
596,528
597,535
598,527
599,489
600,407
601,406
602,406
603,408
604,413
605,413
606,414
607,412
608,409
609,406
610,405
611,409
612,497
613,526
614,529
615,488
616,488
617,408
618,413
619,413
620,412
621,411
622,408
623,411
624,411
625,412
626,409
627,520
628,529
629,528
630,492
631,415
632,418
633,412
634,404
635,404
636,409
637,413
638,412
639,409
640,406
641,408
642,517
643,523
644,515
645,407
646,410
647,410
648,404
649,398
650,397
651,396
652,405
653,409
654,411
655,417
656,512
657,521
658,515
659,461
660,411
661,407
662,405
663,405
664,411
665,412
666,410
667,404
668,402
669,401
670,407
671,412
672,521
673,529
674,528
