Anchor_1,Anchor_2,Anchor_3,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50
"(47, 84)","(20, 0)","(54, 26)","(0, 65)","(18, 94)","(65, 55)","(39, 53)","(40, 9)","(19, 18)","(68, 10)","(22, 89)","(32, 77)","(68, 16)","(1, 100)","(0, 23)","(1, 55)","(0, 65)","(5, 32)","(7, 78)","(15, 20)","(4, 19)","(39, 91)","(31, 4)","(71, 20)","(1, 86)","(20, 34)","(9, 100)","(38, 0)","(27, 100)","(9, 26)","(60, 49)","(16, 86)","(1, 45)","(18, 67)","(8, 32)","(13, 81)","(41, 50)","(12, 64)","(23, 31)","(8, 44)","(16, 54)","(78, 55)","(21, 70)","(30, 85)","(2, 13)","(86, 35)","(0, 40)","(57, 100)","(45, 36)","(4, 91)","(0, 70)","(25, 100)","(10, 93)"
"(28, 0)","(33, 9)","(59, 86)","(55, 98)","(36, 64)","(20, 61)","(0, 36)","(31, 73)","(81, 49)","(3, 32)","(25, 27)","(32, 82)","(24, 39)","(58, 27)","(3, 42)","(23, 78)","(27, 82)","(0, 40)","(40, 81)","(3, 88)","(20, 56)","(0, 65)","(42, 75)","(13, 70)","(13, 80)","(26, 73)","(11, 45)","(36, 66)","(26, 79)","(28, 64)","(31, 81)","(18, 47)","(1, 27)","(31, 70)","(23, 25)","(0, 32)","(18, 7)","(18, 83)","(21, 72)","(42, 92)","(5, 15)","(26, 38)","(89, 80)","(11, 86)","(19, 100)","(93, 10)","(29, 48)","(12, 89)","(30, 63)","(4, 72)","(19, 51)","(28, 17)","(0, 84)"
"(13, 2)","(43, 54)","(77, 76)","(81, 13)","(72, 18)","(91, 98)","(55, 20)","(30, 49)","(92, 56)","(53, 28)","(55, 6)","(26, 0)","(87, 29)","(90, 22)","(97, 16)","(70, 80)","(49, 21)","(48, 67)","(77, 37)","(84, 24)","(91, 5)","(56, 13)","(79, 18)","(85, 53)","(85, 19)","(74, 33)","(16, 0)","(66, 52)","(46, 8)","(36, 0)","(55, 48)","(70, 31)","(51, 7)","(40, 5)","(83, 50)","(57, 6)","(53, 31)","(71, 25)","(100, 36)","(100, 72)","(49, 9)","(57, 2)","(59, 47)","(86, 38)","(69, 24)","(96, 9)","(83, 83)","(48, 4)","(32, 10)","(54, 26)","(75, 0)","(72, 62)","(44, 21)"
"(34, 94)","(60, 14)","(81, 30)","(90, 72)","(43, 41)","(84, 33)","(78, 57)","(85, 17)","(93, 64)","(92, 37)","(1, 36)","(11, 42)","(27, 31)","(92, 85)","(53, 98)","(71, 66)","(0, 37)","(67, 100)","(88, 87)","(40, 54)","(53, 17)","(36, 39)","(71, 52)","(85, 86)","(100, 69)","(33, 99)","(17, 22)","(62, 71)","(88, 79)","(84, 66)","(96, 97)","(33, 40)","(11, 14)","(41, 21)","(41, 24)","(100, 31)","(33, 54)","(19, 70)","(81, 100)","(92, 30)","(4, 27)","(19, 85)","(53, 2)","(39, 56)","(3, 48)","(70, 69)","(26, 53)","(69, 7)","(15, 56)","(2, 39)","(87, 58)","(4, 63)","(30, 78)"
"(86, 56)","(82, 58)","(27, 66)","(5, 16)","(83, 24)","(67, 48)","(73, 19)","(19, 18)","(100, 17)","(16, 19)","(21, 52)","(89, 9)","(20, 37)","(0, 51)","(2, 47)","(51, 36)","(1, 18)","(84, 43)","(60, 47)","(4, 40)","(82, 92)","(90, 29)","(69, 1)","(66, 48)","(13, 45)","(94, 7)","(97, 45)","(8, 66)","(71, 29)","(62, 47)","(73, 46)","(0, 46)","(4, 67)","(35, 52)","(50, 44)","(83, 53)","(57, 23)","(42, 38)","(55, 16)","(28, 31)","(31, 55)","(82, 47)","(30, 100)","(41, 26)","(35, 30)","(75, 14)","(12, 0)","(37, 32)","(27, 60)","(66, 19)","(71, 9)","(100, 100)","(41, 31)"
"(82, 51)","(10, 49)","(31, 64)","(85, 35)","(36, 0)","(13, 5)","(47, 11)","(19, 30)","(30, 11)","(97, 4)","(4, 35)","(83, 11)","(38, 41)","(63, 20)","(11, 37)","(32, 7)","(39, 60)","(58, 70)","(47, 31)","(70, 20)","(100, 30)","(33, 17)","(60, 48)","(0, 40)","(81, 20)","(27, 1)","(3, 9)","(19, 31)","(24, 19)","(4, 40)","(23, 2)","(63, 10)","(100, 8)","(48, 28)","(14, 67)","(21, 41)","(67, 23)","(94, 40)","(91, 17)","(85, 7)","(57, 8)","(67, 45)","(97, 37)","(79, 18)","(42, 0)","(37, 10)","(41, 0)","(35, 57)","(97, 44)","(50, 9)","(66, 20)","(89, 49)","(63, 27)"
"(41, 75)","(82, 31)","(49, 16)","(64, 3)","(55, 6)","(67, 99)","(62, 51)","(74, 89)","(57, 42)","(61, 4)","(53, 66)","(71, 15)","(87, 13)","(8, 74)","(33, 100)","(8, 14)","(72, 0)","(92, 89)","(65, 72)","(50, 46)","(48, 48)","(44, 0)","(54, 85)","(29, 0)","(0, 44)","(1, 89)","(26, 45)","(48, 32)","(58, 33)","(26, 96)","(36, 61)","(100, 19)","(35, 67)","(12, 51)","(45, 51)","(22, 24)","(51, 35)","(81, 82)","(48, 13)","(66, 34)","(20, 65)","(95, 55)","(36, 39)","(87, 100)","(100, 9)","(81, 95)","(3, 82)","(39, 17)","(0, 73)","(0, 5)","(65, 64)","(20, 53)","(79, 62)"
"(67, 76)","(82, 87)","(26, 37)","(53, 9)","(66, 60)","(68, 43)","(90, 28)","(45, 18)","(95, 67)","(76, 62)","(83, 71)","(55, 32)","(84, 73)","(75, 10)","(84, 51)","(32, 12)","(45, 10)","(60, 29)","(71, 45)","(44, 20)","(54, 47)","(68, 22)","(9, 0)","(46, 30)","(76, 67)","(79, 41)","(100, 71)","(61, 54)","(53, 26)","(62, 47)","(36, 34)","(81, 17)","(83, 5)","(90, 96)","(17, 13)","(69, 0)","(23, 32)","(86, 28)","(69, 70)","(91, 77)","(84, 68)","(90, 57)","(64, 60)","(9, 0)","(77, 5)","(92, 92)","(81, 21)","(57, 51)","(75, 24)","(65, 31)","(88, 32)","(53, 0)","(19, 0)"
"(44, 74)","(11, 30)","(32, 36)","(24, 86)","(0, 100)","(0, 100)","(0, 40)","(27, 81)","(5, 100)","(7, 7)","(3, 100)","(12, 35)","(0, 100)","(28, 25)","(0, 100)","(71, 93)","(7, 13)","(0, 100)","(0, 92)","(22, 11)","(20, 73)","(0, 50)","(64, 93)","(0, 100)","(23, 25)","(48, 93)","(25, 78)","(0, 98)","(9, 100)","(0, 50)","(0, 69)","(35, 96)","(0, 100)","(1, 51)","(11, 100)","(1, 64)","(12, 9)","(0, 67)","(9, 88)","(53, 52)","(0, 75)","(0, 45)","(0, 100)","(46, 51)","(0, 100)","(5, 100)","(17, 79)","(0, 45)","(0, 93)","(41, 82)","(0, 89)","(6, 100)","(9, 100)"
"(63, 48)","(34, 24)","(94, 48)","(76, 40)","(66, 28)","(87, 3)","(43, 14)","(100, 33)","(97, 27)","(49, 22)","(3, 18)","(70, 55)","(62, 30)","(65, 54)","(100, 0)","(67, 23)","(100, 4)","(34, 21)","(100, 0)","(87, 8)","(92, 0)","(79, 16)","(67, 1)","(29, 4)","(80, 38)","(100, 55)","(76, 33)","(8, 0)","(26, 13)","(93, 20)","(92, 13)","(88, 0)","(58, 22)","(65, 7)","(95, 43)","(14, 17)","(100, 11)","(88, 12)","(68, 9)","(100, 38)","(59, 0)","(24, 1)","(100, 32)","(62, 41)","(100, 5)","(40, 18)","(42, 18)","(62, 11)","(100, 9)","(22, 1)","(77, 23)","(100, 24)","(50, 5)"
