Anchor_1,Anchor_2,Anchor_3,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50
"(87, 7)","(38, 93)","(53, 80)",(2.23606797749979),(2.23606797749979),(4.47213595499958),(3.605551275463989),(21.470910553583888),(39.824615503479755),(15.811388300841896),(52.354560450833695),(70.2353187506115),(2.8284271247461903),(3.1622776601683795),(0.0),(3.1622776601683795),(2.23606797749979),(2.8284271247461903),(98.88377015466189),(3.605551275463989),(2.23606797749979),(6.4031242374328485),(3.605551275463989),(68.0),(2.8284271247461903),(67.60177512462228),(8.602325267042627),(60.41522986797286),(5.656854249492381),(2.8284271247461903),(27.294688127912362),(2.23606797749979),(2.8284271247461903),(4.47213595499958),(21.95449840010015),(2.23606797749979),(7.211102550927978),(2.23606797749979),(4.242640687119285),(2.0),(18.867962264113206),(3.605551275463989),(13.601470508735444),(2.0),(2.23606797749979),(8.06225774829855),(16.1245154965971),(2.8284271247461903),(3.605551275463989),(2.23606797749979),(72.94518489934754),(3.605551275463989),(42.5440947723653)
"(47, 96)","(8, 3)","(57, 48)",(72.80109889280519),(2.8284271247461903),(42.720018726587654),(2.8284271247461903),(3.1622776601683795),(5.0),(104.546640309481),(3.0),(2.23606797749979),(2.23606797749979),(2.8284271247461903),(2.23606797749979),(3.1622776601683795),(3.605551275463989),(2.8284271247461903),(102.45974819410792),(4.242640687119285),(2.23606797749979),(89.10667763978185),(5.0),(78.63841300535),(2.8284271247461903),(2.23606797749979),(77.12976079309465),(3.1622776601683795),(13.038404810405298),(16.76305461424021),(41.23105625617661),(2.23606797749979),(3.1622776601683795),(2.23606797749979),(70.22819946431775),(3.1622776601683795),(1.4142135623730951),(80.77747210701756),(2.23606797749979),(3.605551275463989),(73.16419889536138),(4.242640687119285),(1.4142135623730951),(93.62157870918435),(103.83159442096611),(2.23606797749979),(84.52810183601665),(3.605551275463989),(3.1622776601683795),(3.0),(77.79460135510689),(5.0),(3.605551275463989)
"(18, 55)","(86, 11)","(13, 7)",(1.4142135623730951),(2.23606797749979),(3.0),(2.23606797749979),(3.0),(2.23606797749979),(2.0),(2.23606797749979),(2.23606797749979),(2.0),(2.8284271247461903),(1.0),(2.23606797749979),(2.23606797749979),(2.23606797749979),(2.23606797749979),(3.1622776601683795),(2.0),(2.0),(2.23606797749979),(2.0),(2.23606797749979),(2.0),(2.23606797749979),(2.23606797749979),(2.23606797749979),(2.23606797749979),(2.23606797749979),(3.0),(2.0),(2.23606797749979),(2.8284271247461903),(2.0),(2.23606797749979),(2.0),(4.0),(1.0),(2.0),(2.23606797749979),(2.23606797749979),(2.23606797749979),(1.0),(3.0),(2.0),(2.23606797749979),(2.23606797749979),(2.23606797749979),(1.4142135623730951),(3.0),(2.8284271247461903)
"(24, 76)","(44, 30)","(55, 80)",(2.8284271247461903),(2.23606797749979),(2.23606797749979),(3.1622776601683795),(2.8284271247461903),(2.23606797749979),(2.0),(2.23606797749979),(2.0),(3.1622776601683795),(2.23606797749979),(2.23606797749979),(2.0),(2.23606797749979),(2.23606797749979),(2.23606797749979),(2.23606797749979),(3.0),(3.0),(3.1622776601683795),(3.1622776601683795),(2.0),(1.4142135623730951),(1.4142135623730951),(2.0),(0.0),(2.23606797749979),(2.23606797749979),(2.23606797749979),(2.23606797749979),(2.23606797749979),(3.0),(2.23606797749979),(2.0),(3.0),(2.0),(2.23606797749979),(3.1622776601683795),(2.8284271247461903),(3.1622776601683795),(2.23606797749979),(2.23606797749979),(2.23606797749979),(3.0),(2.23606797749979),(3.1622776601683795),(3.0),(2.23606797749979),(2.0),(1.0)
"(60, 75)","(70, 42)","(38, 80)",(2.23606797749979),(51.66236541235796),(2.0),(2.8284271247461903),(2.23606797749979),(2.23606797749979),(68.8839603971781),(2.23606797749979),(2.0),(2.23606797749979),(2.23606797749979),(2.8284271247461903),(2.23606797749979),(2.23606797749979),(2.23606797749979),(2.8284271247461903),(2.23606797749979),(2.23606797749979),(2.23606797749979),(2.0),(39.59797974644666),(3.1622776601683795),(2.0),(73.00684899377592),(2.23606797749979),(2.23606797749979),(2.23606797749979),(11.313708498984761),(2.23606797749979),(2.8284271247461903),(3.0),(33.24154027718932),(2.23606797749979),(2.0),(2.23606797749979),(2.23606797749979),(2.23606797749979),(3.1622776601683795),(58.412327466040935),(2.0),(2.23606797749979),(51.61395160225576),(2.23606797749979),(2.23606797749979),(2.23606797749979),(1.4142135623730951),(7.0710678118654755),(79.64923100695951),(43.266615305567875),(2.0)
"(7, 38)","(47, 36)","(77, 77)",(2.23606797749979),(94.51454914456292),(0.0),(1.4142135623730951),(50.0),(2.23606797749979),(21.93171219946131),(3.605551275463989),(84.11896337925236),(2.23606797749979),(4.242640687119285),(8.94427190999916),(3.0),(1.0),(2.8284271247461903),(20.0),(3.1622776601683795),(2.8284271247461903),(2.0),(2.23606797749979),(2.23606797749979),(51.62363799656123),(105.80170130957252),(29.68164415931166),(2.23606797749979),(93.23089616645332),(2.23606797749979),(71.25307010929424),(2.23606797749979),(2.8284271247461903),(3.1622776601683795),(3.605551275463989),(76.60939890117922),(2.0),(2.23606797749979),(3.1622776601683795),(2.23606797749979),(132.45754036671525),(76.92203845452875),(5.0990195135927845),(3.1622776601683795),(75.16648189186454),(2.23606797749979),(3.0),(60.21627686929839),(1.4142135623730951),(2.23606797749979),(104.04326023342406),(69.35416353759881),(4.0)
"(94, 78)","(87, 82)","(91, 1)",(4.123105625617661),(2.23606797749979),(2.0),(2.0),(2.23606797749979),(2.23606797749979),(2.23606797749979),(5.0990195135927845),(2.23606797749979),(2.23606797749979),(3.0),(2.23606797749979),(2.23606797749979),(2.23606797749979),(2.23606797749979),(4.0),(2.23606797749979),(2.0),(9.0),(2.8284271247461903),(2.23606797749979),(2.0),(2.0),(3.1622776601683795),(2.0),(2.0),(3.1622776601683795),(2.23606797749979),(2.23606797749979),(6.0),(2.23606797749979),(2.0),(2.23606797749979),(2.23606797749979),(2.23606797749979),(2.23606797749979),(2.23606797749979),(4.0),(3.0),(2.23606797749979),(5.0),(7.0),(2.0),(2.23606797749979),(3.1622776601683795),(2.23606797749979),(2.0),(3.1622776601683795),(7.0710678118654755),(2.0)
"(47, 73)","(73, 16)","(89, 57)",(2.0),(2.23606797749979),(2.0),(2.23606797749979),(0.0),(2.0),(2.0),(3.605551275463989),(2.23606797749979),(2.23606797749979),(2.23606797749979),(2.0),(1.0),(1.0),(2.23606797749979),(2.23606797749979),(2.23606797749979),(3.1622776601683795),(22.47220505424423),(2.23606797749979),(2.23606797749979),(3.1622776601683795),(2.0),(1.4142135623730951),(6.082762530298219),(2.23606797749979),(2.0),(17.029386365926403),(2.0),(3.1622776601683795),(2.23606797749979),(2.23606797749979),(2.23606797749979),(1.0),(9.055385138137417),(2.23606797749979),(2.8284271247461903),(3.1622776601683795),(19.72308292331602),(2.23606797749979),(2.23606797749979),(3.0),(2.23606797749979),(2.23606797749979),(3.1622776601683795),(2.8284271247461903),(2.0),(1.4142135623730951),(1.0),(3.1622776601683795)
"(10, 43)","(90, 23)","(27, 75)",(2.8284271247461903),(3.0),(6.324555320336759),(2.8284271247461903),(1.4142135623730951),(3.0),(3.1622776601683795),(1.0),(4.123105625617661),(2.23606797749979),(2.23606797749979),(5.385164807134504),(2.8284271247461903),(2.23606797749979),(3.1622776601683795),(3.1622776601683795),(2.23606797749979),(2.23606797749979),(2.8284271247461903),(4.123105625617661),(3.0),(2.8284271247461903),(2.8284271247461903),(2.8284271247461903),(3.605551275463989),(1.0),(3.605551275463989),(1.0),(3.605551275463989),(2.23606797749979),(3.1622776601683795),(3.1622776601683795),(2.23606797749979),(3.1622776601683795),(0.0),(2.23606797749979),(2.0),(4.123105625617661),(3.1622776601683795),(3.605551275463989),(4.242640687119285),(1.4142135623730951),(3.605551275463989),(3.0),(3.1622776601683795),(2.8284271247461903),(3.1622776601683795),(2.23606797749979),(3.0),(2.8284271247461903)
"(48, 83)","(22, 61)","(32, 47)",(2.0),(2.23606797749979),(2.8284271247461903),(2.0),(2.23606797749979),(2.23606797749979),(2.23606797749979),(2.0),(2.8284271247461903),(1.0),(2.0),(2.8284271247461903),(2.23606797749979),(3.0),(2.23606797749979),(4.0),(2.23606797749979),(2.23606797749979),(2.23606797749979),(2.23606797749979),(2.23606797749979),(2.0),(1.4142135623730951),(2.23606797749979),(2.0),(4.47213595499958),(3.605551275463989),(2.0),(2.23606797749979),(2.23606797749979),(2.23606797749979),(2.23606797749979),(2.23606797749979),(3.605551275463989),(2.23606797749979),(1.4142135623730951),(2.0),(2.23606797749979),(3.605551275463989),(2.23606797749979),(2.23606797749979),(2.23606797749979),(2.0),(2.0),(2.23606797749979),(2.23606797749979),(2.0),(2.0),(2.0),(2.0)
