Anchor_1,Anchor_2,Anchor_3,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50
"(80, 57)","(56, 98)","(55, 45)","(22.72853812097777, 84.44541532077817)","(99.99999999848912, 98.901486768846)","(91.59660484903415, 31.507921003869736)","(24.633010583004417, 25.440653512637258)","(46.24731569375052, 8.057171373644778)","(36.65639806301536, 95.15600501708022)","(66.0278342963245, 50.02014217397894)","(36.30776296711565, 99.99999999999997)","(54.11488078129933, 36.04012222865061)","(8.657340548587133, 78.23642122460267)","(84.23887780199324, 28.25736673803506)","(71.611665994853, 62.488798106087785)","(48.720569030142585, 91.77656900870656)","(31.10776360568747, 13.026981868384519)","(78.89676929529355, 45.0756242233939)","(18.81880012601107, 60.328244263519416)","(78.64748337661624, 86.44546489176292)","(28.3381011083095, 34.41511641707672)","(79.82912771283053, 7.295275494811904e-11)","(89.63449683322263, 36.602638428264775)","(9.26699865399675, 39.69565314093836)","(14.802507639211072, 59.29594614996441)","(80.96552654472036, 7.129368523032525)","(2.38448150113868e-10, 49.41519604509773)","(4.971021306575091, 95.74019414027431)","(81.00725445433766, 83.28484667060916)","(29.133628661434923, 3.1512148519772296)","(19.23893744925112, 34.868978220172764)","(48.909484489084704, 75.0204691860874)","(90.59178701160278, 37.6262153465953)","(90.63892867094549, 1.9617215219358497)","(30.497907157419853, 15.528386393112042)","(99.99999999990922, 84.27634474921484)","(70.46261208765931, 48.30995124149731)","(17.029297261230887, 99.90081111627111)","(43.0995249152508, 83.45713255912193)","(99.28324036042162, 63.546269570312134)","(82.06740654815468, 26.172674353122087)","(7.9163251211280645, 49.4380667970654)","(33.08191438492875, 15.266201961906184)","(71.67850172751531, 76.44362751644118)","(35.638356443543664, 11.502651332816988)","(98.787199426065, 34.922984195519234)","(92.61359368418071, 66.86712954947944)","(70.95680280934474, 97.98605654118653)","(15.332713991561276, 29.89936988811717)","(95.8493146884048, 99.45371850307738)","(31.907511485955393, 48.726210766342824)","(60.87337615256919, 66.15131937128467)","(31.845056705734276, 25.23141280591513)"
"(39, 67)","(45, 62)","(15, 48)","(28.836467117333097, 80.38754842258234)","(45.67007317723392, 40.13278682671181)","(44.39786763493776, 38.009739334079704)","(46.337878029272815, 12.875341632580966)","(21.031879347634714, 10.863870737767362)","(4.939274033310731, 92.90630304543865)","(23.37218477576979, 19.81505373235783)","(56.474197006606744, 88.46602026812661)","(47.91455202726353, 1.1310785641427401e-09)","(33.947990841844046, 88.1741613007665)","(76.37613907257166, 6.60024059456969)","(83.86524259678309, 49.30875803941661)","(95.26811537475733, 25.075184176133753)","(1.760511034294282, 29.424166452392143)","(47.766001498375225, 67.41397800900238)","(51.89108240520456, 17.1087418244605)","(91.6220092596768, 18.681900431911235)","(1.5164536293355013e-10, 78.19435814377805)","(39.007614528363604, 69.49149715641038)","(2.3977486662829506e-10, 81.16504636053952)","(95.0181154872783, 39.9519413467471)","(7.41052831614839, 36.838308325189466)","(52.16316932033161, 49.805837952755894)","(18.92324948479478, 79.25478645884758)","(69.86434405549363, 47.75102565563797)","(52.91156986604446, 9.191825655463132)","(84.68877256265098, 21.789590593297582)","(17.83545629899328, 80.08702590682235)","(67.06881035700842, 75.55289578693018)","(40.940749425470734, 56.13760835363898)","(8.964016677530996, 24.251117115334324)","(81.98868698572869, 50.84153376830544)","(67.8526784524634, 86.92532418307759)","(86.40755169717123, 94.42883636422394)","(84.73871912423917, 40.24671695387387)","(89.90740101476378, 30.18248386925208)","(91.87791807341492, 86.56952719669628)","(9.477626869193607, 38.54169269107312)","(66.99468860719271, 99.99999999927358)","(83.9680981765166, 29.3319544031434)","(11.259315799166158, 6.1370080464681065)","(19.51073831721069, 12.93086501835083)","(25.212313702058253, 36.426950341420444)","(58.200623249616214, 72.55511889745071)","(80.95232881923306, 47.97220990085937)","(61.742168287270275, 70.2149467230673)","(45.608210841290564, 97.93773180970564)","(75.7430488484791, 75.0930384601002)","(51.109740772481416, 59.778971009413674)","(42.932753937998726, 16.084983215233866)"
"(94, 34)","(49, 26)","(11, 4)","(72.76110471716093, 3.581888407373368)","(9.959591431343846, 92.97197877215417)","(90.56849834921812, 1.9619932915847516)","(18.17610111526422, 99.99999999964669)","(25.420757572420747, 99.13082258745231)","(50.68154901983092, 15.869439912394828)","(62.9343473166231, 9.060030503604821e-10)","(68.19541445689754, 77.28113885970365)","(99.99999999944123, 7.509294055880295)","(48.95929531563549, 2.1825344927158428)","(9.987170518684852, 85.9569037458041)","(99.99999999666514, 8.625707973289042)","(99.99999999927164, 5.415851334083715)","(54.432849229321675, 21.60684784845388)","(69.78649744309145, 20.468240842422432)","(23.298924032805395, 6.846023747897334e-10)","(1.3502167775990503, 95.102151948661)","(98.12601451917887, 72.74069558324766)","(68.8130866167046, 3.372213619456943e-09)","(99.99999999807476, 12.871844061072608)","(63.07757555647466, 15.76917503376995)","(99.9999999999309, 1.4542491928520251)","(99.99999999920686, 9.653390092220192)","(90.57201858619561, 7.42255793127955)","(64.23482515530658, 10.207456617792138)","(14.263331111511718, 1.581401676276073e-10)","(44.521331277272246, 99.28688310251172)","(95.52055462329385, 19.899037101836974)","(34.53701123102039, 7.270174122177181)","(83.72035887078519, 18.491695033950922)","(14.113640832508112, 2.0394241850851813e-10)","(25.05790261214206, 70.1270204836541)","(87.48911689417768, 21.74911246394243)","(98.37050404534213, 53.87505062155397)","(40.546485292159474, 92.21973299845445)","(87.35630545579318, 0.8509604827631356)","(6.090758149441733, 5.021538740379583e-10)","(5.812702056917896, 80.87650152452233)","(19.99620869253718, 82.90408797925724)","(15.840167297261399, 69.96978898594857)","(64.19374900359769, 93.08225392393888)","(100.0, 14.914280070534108)","(12.93294106603457, 74.02786133947586)","(35.79825610058871, 3.871319931292305e-09)","(1.9394759103525616, 91.95409453290813)","(80.38083509529794, 3.5304412237578244)","(89.75872263689459, 1.5565326805244695e-10)","(69.53876096328669, 0.46339768024920014)","(75.12178881554061, 87.28028212971117)","(28.425977473297987, 71.2124277879604)"
"(47, 47)","(39, 14)","(7, 97)","(6.6704864703026665, 2.3781016045276715e-08)","(1.6789181156440236e-09, 71.64829019927784)","(1.6705414829232268e-09, 59.90945866625981)","(22.617900418091768, 30.698102429595174)","(8.088973935116428e-10, 4.3287595730134854e-10)","(4.714173496012108e-10, 6.4707128544228e-10)","(52.05761207501638, 32.59336373487302)","(17.62501286987407, 30.537606580437465)","(6.086469888013851, 80.9616735151674)","(7.322248363195172e-09, 6.712131096442131)","(10.290475947741184, 3.437361506541947e-10)","(44.599142419194564, 0.08099303310055705)","(3.2559510643181966e-10, 7.603720065239806)","(4.3238368441222974e-08, 1.3940681942159472e-09)","(36.97345931567012, 43.769242284445816)","(4.2002361033688373e-07, 47.99181804841026)","(8.234413151342324e-10, 2.1174195730111478e-08)","(1.5421330878950812e-09, 23.308984745295874)","(9.700268366330533e-09, 1.9556578578772132e-10)","(4.1348226809435005, 85.02761357192585)","(0.32078622902472764, 47.91273293671187)","(28.758618086105535, 84.73359040733254)","(2.0714532866783486e-07, 1.2391643267051222e-09)","(34.5092473614301, 82.81723965175014)","(62.67878465962096, 64.73707013800558)","(36.57205498473909, 66.22337810157379)","(49.590307028057175, 35.56744915406286)","(45.00035758053573, 60.56097731011623)","(53.542926635853846, 83.54222738149434)","(3.749475729897256e-08, 67.82418224868859)","(45.61640124717884, 15.265513164421641)","(3.31568106304303e-11, 37.23438604419022)","(1.1533596300239424e-08, 54.782759811998446)","(4.3248971729310135, 14.08778774655149)","(0.9057550963829153, 57.800344651380634)","(43.30884234546493, 15.496158831428158)","(53.29451971278829, 7.183783407262517)","(20.19254108888373, 1.7630530863713856)","(0.8017009181844559, 38.23640825834062)","(6.665087351420851, 57.66221010843148)","(5.4635979074291185e-08, 2.4619084548760384e-09)","(2.0481287229595746, 20.35037015600038)","(11.321983244903267, 1.2716216968300387e-09)","(1.5505929873427249e-09, 61.67425012734714)","(6.825540133093e-10, 44.10372921249831)","(46.791544246615615, 32.25232197301649)","(5.129285884919454e-10, 48.38741640790002)","(3.3437414556027445, 67.7196252807642)","(3.9441107889828517, 90.46966566944477)","(51.1447813177538, 77.65004725925877)"
"(26, 88)","(2, 19)","(23, 32)","(78.10728417179482, 36.395482201328775)","(0.9020823228962804, 98.85241898835753)","(1.1252138110151577e-08, 79.93728035135229)","(15.70483365413926, 56.22027009113364)","(51.66516481585226, 43.14844777107317)","(5.771771949270033e-10, 99.99999996933514)","(17.097969615508156, 86.21196030812663)","(1.2975231999945436e-09, 99.99999896763035)","(78.1249729058731, 67.23135402699879)","(1.4617029808761117e-09, 62.07349223980771)","(2.0310114701160842e-08, 49.29778723541348)","(2.8086089010059823e-09, 99.99999999743471)","(2.643195051721392e-07, 45.514366741618936)","(16.507506781822514, 99.11331926305591)","(94.38989070763957, 99.99999999991786)","(85.07118445153795, 41.37023910420857)","(0.7500323341088799, 57.84478227042818)","(54.596179450263804, 44.23935556613838)","(87.24306267359727, 44.74706957373208)","(7.536580570701562, 53.93281030433419)","(94.74171454303197, 7.929905167606449)","(8.170804588480962e-08, 56.88857706335089)","(99.99999998612307, 69.7044748304366)","(2.9849323548131634, 86.80404369127152)","(6.277589559289254e-10, 82.06396021598499)","(8.585767097279984e-08, 36.67889808663284)","(95.79434871785631, 97.24115215118036)","(99.99999999988283, 16.99075597354018)","(85.77175995659903, 4.745684174608556)","(88.24746052994854, 60.87956579168694)","(1.575617414317776e-09, 99.99999999842018)","(1.4638179557380226e-09, 49.69665495306018)","(2.183808689437683e-11, 28.117443689087136)","(99.99999998860147, 38.870516045256245)","(96.26734808602254, 55.84898976916263)","(1.2799705739752198e-09, 99.99994820567325)","(14.780931358592653, 92.99614683127709)","(2.0993318194939548e-09, 30.438639447391513)","(90.17065928593708, 60.78242117958974)","(2.6887653215013074e-08, 46.79058904936744)","(8.342072086623165, 99.99999999959464)","(87.16441231579488, 24.480836787585446)","(1.3774537066524317e-10, 36.28325383714968)","(2.2667236442685756, 29.836749083674185)","(5.847451411966631e-08, 23.796083932216604)","(7.904393806157373e-09, 99.99999992066533)","(0.10694035507742283, 41.50154052357612)","(12.211958379128374, 99.99999999999939)","(1.9338730616880184e-08, 46.09549441206752)","(89.23568408728714, 65.05206537228037)"
"(85, 46)","(87, 56)","(71, 61)","(35.08344954616188, 61.289652581044464)","(72.36869805098229, 85.87558613433026)","(29.78523267134485, 18.17676845504654)","(43.50406585308535, 97.534052676756)","(33.044992144798776, 35.23344372390782)","(97.96378366542015, 21.227508405016327)","(26.970543912679823, 90.65393420355778)","(56.94616655670467, 30.733558183360643)","(32.95829446435571, 79.38112156350958)","(97.92247353261709, 61.97405673800458)","(2.150004599311867, 79.95901229241986)","(56.50269284679551, 37.54230996458359)","(86.42768930243878, 33.043625604216565)","(10.930371155684155, 80.87981295366113)","(18.079175200292685, 37.21430261734263)","(36.94840191545363, 50.656392638117524)","(97.24006270423591, 53.22211952209335)","(43.273595610033475, 5.939723078132609)","(22.983274662473264, 62.54870974389559)","(40.23240869605662, 90.25183655874703)","(16.389846047478823, 5.819336557897814)","(52.99113668205302, 49.50576966184194)","(90.8422104294493, 1.6626422461030188e-09)","(18.324425877709515, 11.784744740020548)","(42.15371552168403, 99.99999999916771)","(5.67323965583455e-11, 24.114216063464877)","(45.90697831073302, 4.190189354944918)","(5.252798196409003e-10, 32.90036909220326)","(44.70529267246686, 46.77024584659762)","(52.52928322025483, 25.51364959671636)","(77.56647758047626, 27.78199402524256)","(86.47602330081692, 28.925653779062298)","(29.28617380606071, 38.837778123346624)","(1.3758438832667252e-10, 0.2901602458429742)","(59.704253236855166, 82.51287770949396)","(16.010182775529678, 55.24343672006139)","(59.40118083796483, 41.845124659911356)","(1.353417378169297e-10, 80.20389293800116)","(48.089710005642665, 37.12671984611744)","(64.23817844188693, 88.95752596080074)","(66.77841607115802, 53.15723558072658)","(11.065358695435174, 92.63140665317597)","(6.220590046565638, 48.384274788693794)","(69.45010859436178, 78.90291658630251)","(36.11989997659444, 41.25790829043664)","(45.60229683568192, 39.64461634541296)","(99.689322561546, 5.406198709115145)","(43.61815550985773, 72.81614980419735)","(65.65771807201143, 96.0731336589953)","(22.6374259438293, 22.242020539563633)"
"(75, 94)","(96, 80)","(46, 68)","(46.99955511294125, 89.11369842044033)","(8.73307447701282, 99.99999999993199)","(87.4824615750955, 86.56140096722096)","(12.932605447865198, 14.234828425349754)","(80.94364437849164, 68.13265429612395)","(25.79608078340845, 11.393165335221822)","(57.95043405564352, 7.91088982912208)","(27.995820463905318, 4.016287302732735e-10)","(68.74651042838869, 85.93009395966837)","(16.099764775301594, 19.138814165243296)","(52.45654360012234, 38.90645963954597)","(79.96022067235694, 63.265444268540215)","(38.42601115839822, 57.540220614720916)","(18.182543031754754, 49.15552472768174)","(64.21795164840503, 47.5495200529925)","(7.268151470262646, 30.988629094882974)","(98.94004037720704, 30.997771432475552)","(65.04255155195884, 33.691080550138125)","(95.47329756846163, 58.01347804298425)","(74.68892793357085, 57.398866832022954)","(17.016663391375054, 62.82857907037048)","(21.321186095801565, 28.77341021694494)","(41.35962194474724, 7.970474239769482)","(76.13580620936287, 8.798431530200052)","(47.44374532399765, 83.38044614175301)","(29.24603952123831, 21.053168029512793)","(42.39064556885169, 12.02003656945761)","(98.18379797618555, 47.25153929006322)","(52.35547578632798, 46.830371607371625)","(77.54075704535559, 34.806475195400246)","(64.72388189767551, 77.20054323030796)","(15.156489086079988, 18.81761341101871)","(99.99999999997044, 73.73915017755915)","(68.82220283757114, 71.07785128030798)","(93.17648027214882, 39.0023692873064)","(45.990899471454625, 49.04278919552353)","(38.393722285567605, 11.040356975386512)","(34.37913127688743, 19.929139727994972)","(23.94743022662582, 83.38079060106342)","(14.835037214619511, 3.1351032880877483e-10)","(68.23673629207691, 46.5120482291886)","(2.946411658033959, 71.80038526811173)","(27.822001228644176, 77.22133796074684)","(90.23009043863306, 98.53896471378019)","(42.22290491395289, 14.092305085737383)","(25.43173543719619, 27.67540621142518)","(9.581180089289587, 16.58592772193789)","(27.128717977249682, 65.09672976269285)","(52.67202774453826, 60.360888964597024)","(99.9999999973725, 75.34479669759591)"
"(27, 92)","(13, 72)","(37, 8)","(64.2315204595022, 79.09120658135052)","(47.21029386401233, 2.653433028854124e-11)","(38.54746992536022, 41.09689389415855)","(69.098615128561, 12.074777832029254)","(47.73654488636732, 72.01762860385648)","(82.25855686019952, 65.63197325019097)","(34.38297927214745, 95.7628128350085)","(51.86455472231791, 39.19051700490789)","(4.007417547935354, 24.571717186014187)","(92.16455890411083, 99.99999999946503)","(88.81358360653748, 93.37067290314383)","(99.967009711515, 1.9752920801982876)","(31.981780361419943, 94.92311264122702)","(89.81243328318217, 6.879228837710122)","(67.41835197198868, 70.81255002850763)","(67.7605943231558, 27.652794243519025)","(47.98455334239246, 28.928391979208723)","(45.719206843063326, 12.373543214663352)","(39.205097354267224, 37.174036202712365)","(37.49409495544223, 47.648606308225006)","(77.528582720536, 50.30683253260505)","(60.83756623831834, 3.6025391381722836)","(88.95259259128825, 83.17263035515188)","(0.5586910553203317, 73.61473254249042)","(39.07240696025676, 99.99999997401319)","(99.06501808299896, 83.88853518784929)","(86.37888946028052, 30.481288487220286)","(61.28847211528694, 79.15798945980819)","(92.14195688271361, 65.5221949155161)","(28.466801502532302, 99.99999999923533)","(47.02168418538897, 65.85489793743562)","(65.62651247874909, 66.95750110169969)","(83.3026484570929, 15.188538179584215)","(39.76274677968963, 36.26117488719774)","(38.14544742801924, 93.92455029663489)","(52.748476680408544, 11.369751009334323)","(74.0729141225945, 80.95142185397349)","(15.038932042078967, 86.88155363262007)","(75.2493390181348, 79.96557381668865)","(46.562356478724666, 25.777262670166557)","(72.16980075396349, 14.864033795451942)","(56.26543843112637, 35.87850643456846)","(81.96043666131108, 94.05833233310061)","(43.04028862357542, 52.913038871085696)","(74.50209177147691, 52.44379015903786)","(71.75988050115184, 96.48637802471752)","(69.5565489530481, 44.09816066978859)","(57.03147874772348, 15.93745169401365)","(63.8966934717087, 39.97683711885047)","(69.724785579802, 56.546195145678304)"
"(44, 0)","(29, 72)","(77, 58)","(95.39911990366899, 47.50479157573025)","(42.70119969578284, 97.31093811079865)","(80.25951393935526, 98.66499095011537)","(27.846345662033233, 22.17943660872008)","(79.51313813582559, 87.72112092202453)","(45.87035878916442, 57.28932992507028)","(61.15013901457428, 76.47775905432465)","(65.38087631139504, 99.99999999946431)","(99.99999999920908, 9.331344600145435)","(20.242776295161047, 30.37312816837503)","(52.05137079529604, 24.145399489136498)","(14.345125553264088, 78.55112404230798)","(41.414138320716376, 5.882294651371467e-10)","(99.57326530363848, 95.36464787503046)","(45.237174878322556, 25.448114808682682)","(19.496880889649283, 77.56598692040482)","(2.915497046179488, 4.752508469660588)","(95.7649604999274, 0.501323037885909)","(32.50259371858747, 40.628088328592746)","(38.88502968797135, 0.046702023888850475)","(85.31051016785901, 96.7370564532914)","(17.162169099989814, 36.753129943909876)","(92.71818905040456, 89.3498030880584)","(87.03730322911287, 79.2001823653643)","(1.0249023851827133e-10, 82.99267894890691)","(10.617807841889038, 14.895050047703345)","(64.27157632407902, 59.388423361536326)","(88.04400194580968, 58.893385810170116)","(73.2484615169896, 7.297171509807832)","(33.94113688171145, 44.58514497035211)","(51.80294803629276, 99.99999999954034)","(14.202286371560591, 40.761066272814205)","(66.99882305931739, 94.15605022996125)","(35.42780880749291, 58.62781032932989)","(80.32850525719506, 60.85308183284213)","(57.61932644207606, 7.1436218754672485)","(95.90294524993979, 62.81888645046968)","(94.99059878114804, 6.7863587233403635)","(41.04214309644874, 4.440892098500626e-13)","(24.559144814924633, 69.92950270869757)","(29.991129680819895, 2.71238587146172e-10)","(43.69705547623376, 55.16054916770283)","(21.770228796805725, 91.74438923902261)","(20.54258708784975, 89.60423401081663)","(1.729244525350282e-09, 8.098521853128204e-10)","(4.88270616698796, 99.72156896633486)","(71.5571402338471, 24.723652862987137)","(1.2901846258017713e-09, 69.49875427595929)","(99.36611355085863, 51.59531445181379)","(69.88593484686022, 95.17275656106001)"
"(99, 91)","(31, 35)","(3, 26)","(14.423016794539917, 99.99999999996703)","(27.482009376720466, 99.99999999760125)","(32.672001424332265, 96.76329518106051)","(59.676380207383616, 99.99999999872658)","(24.865973038272926, 25.294702606226704)","(16.91236362029186, 68.95414979837406)","(36.32691905760534, 87.99251986538312)","(44.52255262326288, 85.65773757448667)","(12.982923131675289, 59.24093147088809)","(70.22163345190566, 85.10608937175755)","(39.99943419170824, 86.93669691900088)","(21.129949269806865, 71.6388645145851)","(2.438638180279895e-09, 52.27431858858891)","(44.23177349657345, 92.0879082601929)","(26.43285810554186, 78.10199272143015)","(37.790287518964234, 99.99999999899094)","(2.449540570381714e-10, 42.72497905588726)","(44.180329043378954, 99.99999999787322)","(46.054131302936504, 99.99999999847616)","(77.86536418951819, 90.34091090529812)","(66.34720771240887, 93.79834875905068)","(99.99999999989271, 99.99999999991856)","(8.567980008811205e-06, 99.99999999840385)","(49.53588348084803, 75.34888957647155)","(48.24322587793668, 74.1645147620587)","(36.39140887142977, 99.9999999994121)","(11.365057129935996, 99.20054808967495)","(8.23967608693909, 64.46535800242175)","(87.45447267693561, 95.30151291229815)","(38.63087038720641, 95.95808114620259)","(15.067871905095314, 36.398339031524905)","(25.841007285354976, 69.39548593805034)","(70.3369630863202, 99.99999999981209)","(35.789321675794106, 75.90389093035532)","(59.427116438654956, 86.4826917253256)","(19.978994002649266, 72.13845126259207)","(55.5791624497431, 99.99999999999145)","(31.50411798048289, 83.99588780933584)","(38.403048011814015, 96.60227482560069)","(2.0965153345192777, 11.930133433640977)","(2.1011006758337003, 75.59425689978252)","(30.684268387536356, 57.671745551200345)","(38.319803989382024, 71.47507695255364)","(46.52281851385116, 78.50312285945715)","(86.59604401947453, 92.26829845176819)","(60.49755577578148, 86.56190570214038)","(22.830410151720237, 80.27748502720866)","(5.653817237901876, 94.17821333419833)","(23.042378875133068, 83.38433560266454)","(6.440506396916179, 38.462592536028914)"
