Anchor_1,Anchor_2,Anchor_3,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50
"(52, 35)","(39, 42)","(20, 25)",(0.0),(0.0),(0.0),(0.0),(73.53910524340094),(0.0),(101.78899744078434),(90.13878188659973),(0.0),(0.0),(85.37564055396598),(0.0),(77.62087348130012),(68.54195795277518),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(106.0),(58.52349955359813),(0.0),(0.0),(130.17680284904833),(0.0),(45.221676218380054),(0.0),(0.0),(0.0),(0.0),(0.0),(84.21995013059554),(0.0),(0.0),(108.30050784737807),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(116.0),(0.0),(55.71355310873648),(77.38862965578342),(0.0),(94.02127418834527),(85.42247947700886),(93.53608929178085)
"(0, 18)","(46, 21)","(19, 62)",(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0)
"(45, 55)","(86, 29)","(44, 72)",(0.0),(34.058772731852805),(0.0),(0.0),(16.278820596099706),(29.068883707497267),(0.0),(0.0),(0.0),(123.1665539016173),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(113.56936206565572),(0.0),(72.83543093852057),(80.99382692526635),(46.04345773288535),(106.15083607772479),(15.0),(107.71258050942797),(86.27861844049197),(0.0),(0.0),(0.0),(27.202941017470888),(0.0),(0.0),(0.0),(0.0),(32.64965543462902),(0.0),(0.0),(0.0),(0.0),(0.0),(114.97825881443848),(0.0),(0.0),(83.45058418010026),(0.0),(42.638011210655684),(7.615773105863909)
"(52, 86)","(35, 99)","(69, 55)",(0.0),(39.824615503479755),(0.0),(0.0),(18.601075237738275),(17.204650534085253),(50.21951811795888),(27.80287754891569),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(31.240998703626616),(0.0),(0.0),(42.43819034784589),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(13.601470508735444),(0.0),(46.04345773288535),(0.0),(0.0),(0.0),(0.0),(41.617304093369626),(37.20215047547655),(75.21303078589507),(66.03029607687671),(0.0),(57.42821606144492),(0.0),(0.0),(28.844410203711913),(23.600847442411894),(0.0),(0.0),(19.849433241279208),(0.0),(0.0)
"(32, 5)","(47, 31)","(98, 28)",(0.0),(0.0),(0.0),(97.41663102366043),(0.0),(0.0),(0.0),(93.96275858019496),(0.0),(0.0),(91.0823802938856),(0.0),(89.44271909999159),(0.0),(70.80254232723568),(0.0),(0.0),(81.5659242576212),(0.0),(66.48308055437865),(72.61542535852834),(57.0701322935211),(0.0),(0.0),(60.13318551349163),(39.824615503479755),(36.49657518178932),(76.53103945458993),(0.0),(0.0),(0.0),(0.0),(51.884487084291386),(0.0),(124.65151423067431),(95.2732911156112),(0.0),(115.74541027617467),(0.0),(85.0),(0.0),(118.92854997854805),(0.0),(0.0),(0.0),(0.0),(118.1397477566293),(0.0),(0.0),(0.0)
"(25, 52)","(71, 89)","(43, 36)",(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0)
"(32, 31)","(67, 88)","(90, 93)",(0.0),(0.0),(0.0),(75.28612089887484),(0.0),(0.0),(90.78546139112804),(69.02897942168927),(0.0),(76.83749084919418),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(71.21797525905943),(0.0),(0.0),(0.0),(0.0),(113.56936206565572),(52.009614495783374),(0.0),(46.22769732530488),(0.0),(6.4031242374328485),(30.610455730027933),(0.0),(54.20332093147061),(0.0),(0.0),(0.0),(17.804493814764857),(0.0),(0.0),(0.0),(16.401219466856727),(0.0),(0.0),(13.601470508735444),(0.0),(0.0),(0.0),(0.0),(80.43009387039157),(0.0),(34.20526275297414),(0.0)
"(80, 14)","(60, 62)","(80, 60)",(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0)
"(88, 49)","(58, 84)","(97, 84)",(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0)
"(58, 78)","(95, 68)","(6, 39)",(0.0),(0.0),(68.94200461257273),(0.0),(28.178005607210743),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(20.024984394500787),(0.0),(0.0),(0.0),(0.0),(34.058772731852805),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(8.0),(0.0),(0.0),(34.23448553724738),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(35.22782990761707),(0.0)
