Anchor_1,Anchor_2,Anchor_3,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50
"(52, 35)","(39, 42)","(20, 25)","(70.99582627171415, 81.00271768472047)","(24.997983253055573, 32.00248368329406)","(84.99901536181986, 49.00799029579968)","(27.00199695831802, 1.0002370697557383)","(73.0035347373571, 9.413626009072162)","(30.998123691530722, 16.99965466775712)","(99.99999999848728, 2.485234240623413e-10)","(99.99999999920266, 4.91462426310818e-10)","(76.9955920367662, 87.00503281694783)","(87.9957518804951, 7.994604519018633)","(99.99999999984938, 8.935757689343404e-09)","(63.0080787714985, 61.99163735747781)","(71.0062828503538, 6.036834943609631)","(41.63155438217324, 1.5695222899125838e-10)","(37.00226849371422, 36.002814267671596)","(45.99454345567192, 8.000780486582586)","(42.0026494868211, 34.99772897477962)","(85.9916866523539, 7.9850151870279)","(7.001470072990762, 12.996577544549309)","(36.00179881328189, 6.002224881386114)","(82.41709357188893, 8.727290556898026e-08)","(24.519532492364256, 7.628686571337084e-09)","(54.004677971567894, 81.99751418152752)","(62.00194612227309, 85.99886516566357)","(95.6010126205602, 7.479100672114214e-09)","(53.001874075661995, 34.00951236057338)","(54.88475062527838, 16.780069237481264)","(3.9994999199610968, 26.00514682125995)","(0.0020965704992825795, 16.00052957858726)","(59.99902532404413, 29.99928385390973)","(8.998781974429287, 27.990927855139912)","(59.000012665669466, 43.997261166652414)","(59.78197878462698, 2.3869795029440866e-13)","(70.98870914676189, 76.0070942315209)","(60.99705544697209, 41.00838487566922)","(79.17823059231957, 2.224065376310591e-09)","(72.01000057647414, 88.99188305340991)","(74.01271191540361, 55.982350527815704)","(22.999315105456596, 17.003557478743858)","(46.99401146430766, 10.995358498062718)","(71.00079515052636, 39.01108979402528)","(87.00061509706983, 23.007255060268083)","(84.60236835633582, 2.6558755195082995e-10)","(81.99576185524415, 54.008863555768194)","(44.96226531870475, 8.013762711043636)","(83.33453215099375, 13.00275923518915)","(95.99810344661299, 15.99196462222508)","(67.71770839147683, 1.3028467193976212e-11)","(62.508698935811246, 1.586263898012419e-08)","(71.45115747110762, 4.963651711875627e-09)"
"(0, 18)","(46, 21)","(19, 62)","(32.00164686153522, 94.9976941759068)","(58.004228111736, 58.99846064539733)","(40.00133916160272, 81.00161206220365)","(3.999476790570644, 66.99784169883094)","(36.0023453889161, 16.000560762934786)","(30.001413767997565, 2.999813792205991)","(19.00170350763507, 14.998959420486285)","(35.00044405963507, 4.999305963885786)","(10.002339455125647, 18.000772236527435)","(25.002706400251274, 74.00237707469299)","(57.00474985020607, 83.9970802143414)","(79.00145718461535, 17.00275131148536)","(72.0026496414618, 72.00206223900321)","(57.998545953674466, 51.999383377064845)","(35.00324376912302, 83.99820267406544)","(56.99884753659603, 89.99892838556575)","(80.99901927854452, 28.988480885847135)","(57.99854281887406, 55.00610526137033)","(23.999423799923182, 28.99725029349017)","(96.9978297159459, 16.00449352741668)","(46.99783216179628, 63.99749413971465)","(94.00251762040735, 47.98949226310313)","(64.00011354880148, 24.99739149157854)","(79.99919688110985, 18.004303137534507)","(51.99907048462967, 5.00019135533053)","(96.00262840204935, 74.99547079313125)","(43.0021195074912, 11.002636320362125)","(69.99878822902336, 34.990403070726025)","(12.995440297044142, 71.00002690525369)","(8.99638052614865, 24.99946796664837)","(73.00212945422669, 63.992384587833186)","(31.992440930627588, 90.00257830655826)","(36.00037184202183, 53.99770968426812)","(19.994490588646457, 73.00126679952548)","(21.002111086624602, 4.00324818095581)","(54.99832588238289, 8.99897827709697)","(59.00479652599919, 67.99524234702427)","(3.9997684957206237, 3.9993116431891904)","(93.00478863158186, 2.0020093314548237)","(5.994918463436044, 91.99829795947412)","(88.00254829720757, 57.98978662316845)","(15.004261151392168, 48.99999936432582)","(60.99734443240167, 25.00126315754003)","(75.00408046051975, 84.99500425679753)","(69.99990410604036, 40.00337236484051)","(97.99944799564939, 21.997532140810684)","(54.998662300543586, 44.9995967473448)","(19.993140609228472, 62.9995633209697)","(75.99964622771478, 88.99546455169045)","(44.00352788310437, 33.003353973336665)"
"(45, 55)","(86, 29)","(44, 72)","(78.00406425220953, 3.997504074636832)","(93.52175685976928, 43.860169038483264)","(46.000530843709306, 87.99984862766284)","(53.00333655262005, 74.99852561036245)","(99.99999999713613, 24.531101340730405)","(95.62848161591737, 39.32606789266667)","(54.99577308208837, 68.99886579720477)","(63.99944569805752, 80.99722798339697)","(54.996022278378085, 22.996674515199906)","(99.93357736422679, 96.74684706523003)","(53.00087898309101, 34.9999929397859)","(99.99629651012057, 92.00499413747045)","(60.00008210020661, 86.00068256605333)","(97.9982898520365, 11.998400700117646)","(86.99969140523892, 51.99954345126038)","(27.99393472343311, 90.99494724435134)","(29.99283034963318, 90.99632163825376)","(52.99772758057403, 67.99748619359056)","(31.001148950760783, 79.99924325733394)","(39.00816071466719, 87.00281464696872)","(99.99999999449243, 90.09999543236209)","(91.9933493368726, 19.99107310134046)","(71.30854615354359, 89.21326902886102)","(67.50114645908246, 99.99999999975347)","(99.9999999995121, 42.74554428631668)","(89.39294538596285, 95.14677623983773)","(89.39572101318308, 35.51870427783555)","(84.60398419888637, 99.99999998896756)","(71.68021583339092, 98.0557766002795)","(73.00052754990867, 51.999627906873656)","(90.99891468811754, 38.99943739706732)","(67.00519879664046, 45.00386446952558)","(53.03262139639705, 77.00305208631531)","(6.9975050301360975, 66.98799026388824)","(7.997142836305099, 93.00123941773974)","(50.00526953805804, 53.00773920146023)","(74.99979533009446, 46.001014117455476)","(98.78643528997839, 38.68781612214056)","(93.98718486323928, 3.994779913184793)","(74.99744156271976, 6.18782802774831e-11)","(55.00695498074428, 93.9984537762252)","(80.99770703958767, 52.001058448046024)","(92.99771803084023, 87.00030215098931)","(99.99999999992151, 91.01079809173702)","(96.9981625078876, 53.998258503831224)","(85.00235338333265, 34.00214362419297)","(76.5553154702214, 91.04471124874985)","(9.010763399776339, 97.01355551032195)","(99.99999999948945, 43.72427258717416)","(46.78707121165579, 71.76774729990748)"
"(52, 86)","(35, 99)","(69, 55)","(26.99547424188505, 47.00498559863653)","(34.0772493149988, 73.24899082645324)","(39.00283214953249, 78.99998039566334)","(23.005400199192895, 9.997958571022375)","(47.453814594975626, 75.8677388139774)","(76.27288831442529, 31.991630948810577)","(52.636260901594646, 35.35686719331128)","(43.73530406317047, 71.49473748080162)","(9.997930489387679, 3.6180503037996914e-10)","(57.001343670525294, 53.99942685938729)","(83.97152648937671, 10.987650251510095)","(12.00170384137485, 98.00171809711384)","(82.97121254270567, 29.9844451699518)","(15.998769130745005, 62.00170586835536)","(36.161412835364125, 77.82581602968328)","(1.9944894752838727, 26.006120987240404)","(95.0610182395201, 10.036289357345025)","(52.053959882683245, 43.12125243482961)","(3.0012150676403615, 0.0015492948355066982)","(10.003572010732514, 44.997037418585705)","(76.98973321765848, 12.994855099008767)","(38.01045544792562, 95.01025225602467)","(26.999481297530327, 70.00359788007707)","(35.99838136152701, 23.99872932096804)","(13.995503652113122, 33.000067934011945)","(89.0216228898467, 36.01600479650018)","(34.00332929178502, 99.99999999860431)","(40.994616391086794, 86.99378887533129)","(66.854476844724, 46.46580326604427)","(73.99622121142406, 34.99658101179682)","(43.011913305466955, 53.68861096241471)","(57.99601121369623, 53.99587687495354)","(2.001439857281573, 92.00927005470307)","(69.98053616638381, 52.987411028868316)","(22.010336117770184, 2.993417089068023)","(60.099614695592344, 32.462802309792714)","(40.81368604561072, 66.15397620089107)","(33.810861335451726, 41.43376936298638)","(46.37475778152314, 31.400081422166615)","(21.00011146901279, 25.998066215074083)","(41.8423172950743, 45.12404593901322)","(56.011265744795736, 78.00874299212319)","(45.000088872562344, 32.00203083450893)","(51.23677683223312, 57.11640348598313)","(81.46631526108364, 21.083917699318523)","(37.00048991344454, 30.999072060294864)","(17.998679722842937, 56.999771249366084)","(43.1683627306346, 80.2990345898064)","(42.0006714662172, 91.00062670681794)","(16.99646973528179, 43.004685182160905)"
"(32, 5)","(47, 31)","(98, 28)","(69.00128266650695, 50.00090719029242)","(51.99697712473888, 46.00157502044978)","(56.99994222500199, 30.006569229280217)","(82.76001522490853, 2.5887886279107875e-08)","(55.0014700682586, 5.004268492928898)","(78.9979097750038, 33.00615969055481)","(61.00039979922568, 0.003440987651126548)","(99.99999982435574, 1.0549561224593162e-08)","(64.99794706495811, 19.003990843792334)","(39.00146872448737, 35.99836714499249)","(99.99999999035911, 7.353617714755956e-10)","(91.00211162447103, 24.991245856552887)","(99.99999547835169, 6.994058665554803e-08)","(50.99528960735506, 16.00258243092047)","(56.75898360914145, 1.6114720668980453e-09)","(59.9999928678576, 28.007350135876752)","(43.999942211021086, 23.000721762212066)","(59.6002981041469, 1.1869172311662624e-09)","(50.00113705407389, 48.00069448189734)","(85.1350740530735, 2.2210511207987338e-09)","(73.15574457970749, 7.673639501604157e-10)","(94.23678833382829, 1.1459264785406487)","(81.99780164734382, 36.9995596320958)","(76.00084703070422, 51.00432179424836)","(99.99999999813338, 5.802784919239912e-08)","(42.87551293837814, 1.9899487613272981e-07)","(94.1611438509754, 10.63838881507801)","(99.99999997815836, 2.4046803437371977e-08)","(30.99882046061811, 34.002678829467094)","(1.996661530836319, 1.0133501091354857)","(50.00038197331883, 20.001027539584072)","(36.99942782518432, 34.99636088547623)","(54.68730128344886, 1.277328243176612e-09)","(54.00088713063731, 47.99633164170216)","(99.99999879900182, 1.2232348467478005e-08)","(99.99999984823687, 1.091765011729251e-08)","(58.001536943350395, 44.99775342897367)","(99.9999981251753, 1.576015429272104e-08)","(21.00024849178088, 17.001184781620214)","(99.99999999570703, 8.609779555968089e-11)","(92.9973476050358, 7.995607524095815)","(99.99999850167288, 8.436396026212378e-09)","(86.00021634017192, 33.00277596410837)","(59.000610392787564, 28.001631287841235)","(32.000756342511686, 7.000664869302431)","(45.002347894772235, 41.00332074552039)","(99.99999666560653, 7.893286024795998e-09)","(84.00155702716123, 2.0000633694019276)","(43.99925383778055, 27.00052090494509)","(59.00258407866792, 51.998464903715636)"
"(25, 52)","(71, 89)","(43, 36)","(92.00025917051933, 0.004110385822403417)","(25.994867812928224, 45.00028417292703)","(99.00028822730414, 8.00341049624076)","(71.99643283934698, 54.00368674559791)","(28.00019061649622, 94.00244349651155)","(95.00095338289502, 58.999153498449964)","(88.0024645577542, 17.000483288973495)","(26.998155166649042, 95.00117476704656)","(43.00400013684063, 26.998586867615032)","(78.00067749752002, 58.00030889866182)","(85.9975412796939, 58.998991991626305)","(67.00077802361682, 55.002804529989355)","(23.99678690985046, 83.99980008527942)","(98.99661184185251, 99.00050695592583)","(0.9973900047879458, 42.01045052867313)","(79.99815770054343, 70.00323154406422)","(47.995503514982865, 93.00164339980441)","(52.0005448774985, 56.99895338969444)","(12.997034513743133, 50.00632161840193)","(1.0035871085061043, 53.99760465769202)","(59.006358863439004, 17.002296935066123)","(89.0034938961523, 30.005333714857883)","(73.99753170631914, 66.00429491091747)","(85.00174363493515, 72.00424545224087)","(47.00285251199131, 91.00322945019921)","(46.0031136903349, 64.99415981950611)","(8.998507820204793, 10.005600996672626)","(44.00160787051644, 79.99961333049728)","(14.992727105903302, 13.005105944430367)","(22.00037986837869, 51.999640714629145)","(54.999843578514565, 52.00088699248845)","(89.00160422803707, 53.99889583210711)","(84.99064590358684, 99.01091615198703)","(98.99536006407963, 98.00763231525718)","(99.00864110241861, 94.98709649243477)","(16.003091387728034, 82.0015817761594)","(59.003566180211344, 4.001758508012876)","(43.004197538941185, 40.998637487724544)","(46.00415315195405, 43.00287439792129)","(95.9972119916428, 3.9994905693478913)","(45.999524963249, 45.99966740381004)","(36.003444603919334, 81.00087843428753)","(97.99991101866289, 65.00691767250468)","(64.99798317413251, 67.99973871952544)","(67.99749946950764, 8.996207068153044)","(6.004619178643744, 60.999933719684705)","(81.998869087352, 4.996986752198628)","(25.997554644295697, 67.0004383619726)","(48.99308493993762, 78.00385343086893)","(63.00342520156035, 10.003862011870474)"
"(32, 31)","(67, 88)","(90, 93)","(57.99997688624063, 0.9999854261225238)","(68.00281495425729, 93.99729989023312)","(52.99970332194041, 13.998843894216046)","(83.96149665989509, 39.63888423812537)","(97.00356483896819, 81.00356094144917)","(47.001843933388095, 13.0020118907561)","(95.23816897555933, 40.50359855388111)","(62.246408300869064, 15.028964956717717)","(72.00096583917122, 32.99913920624251)","(62.48879423584619, 8.78182257894619)","(36.00000729982747, 82.99634037171926)","(81.00119634016265, 54.00220299035556)","(73.00084810886544, 49.999764692169386)","(68.99791287784666, 98.0031148090711)","(58.002196841759556, 94.99961046468731)","(48.99900240221868, 68.00062157085726)","(34.99600889653574, 78.00456026604144)","(70.51218617310231, 24.79421348411823)","(35.005316512439826, 16.99822913102689)","(17.994051899550474, 7.00531700035692)","(74.00177162157073, 96.99743232295015)","(80.00003472581831, 51.99815375100376)","(96.9328306133414, 24.31868788887172)","(63.92746229231536, 31.938205665237817)","(88.99864773430389, 63.996490900999994)","(38.272483229726525, 2.8433309606087978)","(88.99563045584036, 14.998918182950598)","(30.918943030824042, 25.046971677618853)","(36.55023677989277, 13.320803656117718)","(72.99971251917474, 27.997762335985065)","(61.550197743709504, 26.71467099865159)","(62.000767731654996, 45.99686072272006)","(64.99236129766737, 75.0045566206718)","(83.00279507460448, 38.00089252990739)","(42.219955398661725, 30.221434341410614)","(22.01841950582184, 5.987190446217028)","(51.997322845120586, 28.00060315082854)","(84.99736993753886, 52.99859918584027)","(39.05741961430825, 26.99968182807305)","(67.00130030818603, 19.99852274557286)","(76.99932361815718, 17.99946063200612)","(40.13046949206819, 30.583027741680212)","(48.98786468683603, 54.00756210881832)","(16.993106735504476, 19.00569740043808)","(30.002283594966748, 9.996006486787445)","(73.99680474445793, 22.000541300246812)","(69.69752465691089, 15.91947969840909)","(58.00590734979956, 52.99803522360106)","(37.90521089062171, 11.643919925901292)","(56.013964105202554, 58.99054537587195)"
"(80, 14)","(60, 62)","(80, 60)","(57.996469386491434, 49.996934864612385)","(47.00175465637864, 53.00291263912372)","(26.0006842321274, 76.00173734285245)","(83.99827539772852, 81.00173705377985)","(47.00244017170131, 77.00212043957796)","(69.00126569193034, 16.003236363258004)","(36.0020869813449, 73.99641087430489)","(23.99912582187126, 54.00084784395809)","(92.99901115845923, 77.00188229947304)","(94.00234953062585, 82.00299923705894)","(57.995621364753035, 88.99682262260067)","(99.99008273913472, 98.00388072612829)","(88.99732062035024, 46.0000707728569)","(41.99364237096261, 86.9994111049215)","(39.00034195423328, 1.9982095991532)","(94.0108966877639, 96.99572615639545)","(86.99609668208828, 54.99755824180064)","(50.00065112964014, 38.999157443825496)","(37.997918397145234, 19.00458803526747)","(70.00021516458446, 63.00000508376192)","(32.99900892992122, 40.99219220074186)","(21.99711946962862, 79.99352995248185)","(93.00254717660455, 69.99905978208372)","(71.99757246725095, 40.9968258295347)","(81.00398282034323, 44.002376532509366)","(59.99976493257403, 12.00004402789725)","(66.00649041007019, 77.00311891156389)","(65.99914174349215, 79.99806565461144)","(32.00380269058002, 78.00374630756174)","(28.99790941724994, 58.00155197024011)","(43.99008610802291, 88.99076895463661)","(47.99883780964626, 71.00070812717757)","(46.980968024333826, 99.98984945853492)","(34.99868316306602, 83.00159619619458)","(18.99918591629075, 37.99475618194029)","(45.995991402825425, 82.99697375353527)","(58.99739359543255, 61.99618150951734)","(40.99951765181031, 50.00593320285851)","(8.994938763331135, 9.007034502681583)","(74.9993832147124, 63.998586054503804)","(54.9978853908055, 88.00206352351718)","(90.00365717625243, 5.999694333961386)","(70.99663553262008, 56.99804650878446)","(25.994300580452194, 0.005298401385994689)","(85.00827383558494, 85.99878964850276)","(50.001997003168555, 36.997150841294015)","(72.00601718164589, 0.0012004787687536211)","(6.002994005547768, 2.996380328725523)","(29.999326496479277, 33.994593121686364)","(74.00789195944068, 94.99980328031981)"
"(88, 49)","(58, 84)","(97, 84)","(53.99210764936383, 7.004963080992349)","(12.995033931875893, 33.00999045985055)","(2.998652581419919, 61.998393724199865)","(58.00426351233013, 3.9996293514708348)","(86.99722341373983, 80.00442272520519)","(61.006916202123904, 5.9971646229564355)","(61.00130895190482, 67.00264337804094)","(61.00026324173181, 12.001647124528352)","(24.99783434600002, 52.99975303269577)","(12.003907056784863, 86.01234935219996)","(42.99986332071376, 73.00076594595008)","(80.00361073090747, 98.00114879260278)","(25.001325657612185, 70.99849070412148)","(26.999416188554516, 37.005265954039544)","(66.99956535040438, 48.998049478344186)","(70.00368085644627, 99.99749519615409)","(57.003099482965425, 19.998340304176594)","(10.000106428511984, 29.997506523468907)","(6.00352259766232, 75.00010979679838)","(20.01194682196385, 0.9880727002212708)","(4.00280249532195, 2.0000318132810335)","(87.00105683120549, 72.99686601659762)","(19.99858767522249, 76.99936688633574)","(34.00268262468897, 72.99754761270403)","(79.9979568974744, 63.999819879735696)","(92.00701786487345, 4.999437120996725)","(91.99606451656066, 13.998121561124705)","(61.00024314111073, 68.99783987471741)","(78.00041303355579, 88.00000314092668)","(4.001560071218247, 98.9925773459428)","(97.99949355668535, 69.00140191541638)","(36.001173384491466, 99.99999999978179)","(24.00219687531036, 79.99930543603473)","(20.00315421491304, 54.99673007814857)","(66.00430405053284, 27.998157304452604)","(13.997373905381771, 51.00410830532366)","(44.00188109272135, 30.99875021606534)","(6.996988140632782, 12.003307820558545)","(11.999765917289878, 66.0008677739326)","(58.003037043725946, 66.0004737919581)","(3.9962796720818536, 16.00577716986412)","(87.99703085714438, 52.00133067459753)","(67.00026385282516, 22.99979736688847)","(35.00408187607646, 45.99443584982518)","(78.99484232942066, 60.99889251910994)","(93.99819728151971, 83.0057923838859)","(86.99621144865188, 46.997974638155746)","(42.00154000030436, 32.9986247313583)","(85.0005220711561, 91.99589869764816)","(54.99940162654963, 54.00198670251892)"
"(58, 78)","(95, 68)","(6, 39)","(64.00134118970978, 5.000178469793054)","(66.00026825278866, 39.00238834301734)","(44.134541611311874, 24.2436193370727)","(55.00083085912459, 62.99645717532826)","(16.853427010276945, 29.95742973074967)","(78.9988630502815, 39.003118663946)","(79.99620581087173, 6.998535804459127)","(31.001802763017384, 26.000159725224282)","(79.99955733584683, 9.999111434662977)","(92.00580344761924, 15.003571553150374)","(26.99828439700722, 16.00279957563846)","(65.00012099051612, 66.99982945478347)","(84.99982428407516, 79.00427034491393)","(17.002346943414725, 17.997768527500952)","(94.3193756819892, 59.65555451069227)","(87.99796859389978, 74.99711104150796)","(98.9981392954008, 19.996293717434565)","(90.00075727268022, 69.00852841113877)","(33.99632262908775, 46.00247657724547)","(99.99999999944465, 53.93702414039051)","(38.003599340263335, 9.998148583715771)","(98.00176532855788, 26.99809560271974)","(20.002103972155133, 67.99700769624457)","(48.00026221152835, 77.99239015930218)","(99.99999999951781, 0.0012427508063295178)","(33.0015249290638, 44.00159518935746)","(81.00194244104222, 31.99773085428897)","(29.001466898004125, 27.996541896324032)","(25.00017756121229, 77.99763280476138)","(3.9976519560267656, 11.002313046382827)","(92.74437709424265, 65.17967740142404)","(22.001849894810523, 31.001407062304786)","(18.997586144354933, 78.00155406435951)","(94.75343776941475, 54.0723833481478)","(75.00005706187902, 88.99994213687378)","(30.001298733644926, 32.00219827596443)","(29.99787344233516, 47.00627645655124)","(20.994358378893967, 11.001795577892242)","(86.00079152023957, 18.00299149522479)","(29.998849342298843, 52.994989764203936)","(82.99646619962124, 3.996611011415152)","(97.00001305896954, 23.997486014856683)","(69.99824619189211, 12.996750900232378)","(82.99910295211373, 25.001901077325705)","(46.996172322204536, 95.99975062787382)","(45.99671922776823, 3.0036626353512954)","(16.004779652620854, 59.99867779838986)","(34.99742026004593, 73.00450105788035)","(99.99999999774323, 53.83120979261417)","(49.002513431608534, 7.999447434577234)"
