Anchor_1,Anchor_2,Anchor_3,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50
"(47, 84)","(20, 0)","(54, 26)","(96, 40)","(82, 81)","(61, 55)","(41, 52)","(37, 12)","(22, 17)","(66, 11)","(76, 79)","(35, 75)","(66, 17)","(4, 100)","(2, 23)","(4, 54)","(96, 39)","(72, 5)","(89, 61)","(18, 19)","(7, 19)","(40, 89)","(28, 8)","(69, 21)","(3, 85)","(23, 33)","(92, 87)","(38, 0)","(75, 89)","(62, 0)","(55, 49)","(82, 73)","(4, 44)","(21, 66)","(11, 31)","(84, 67)","(42, 49)","(14, 63)","(25, 30)","(11, 43)","(19, 53)","(75, 55)","(75, 61)","(32, 83)","(4, 13)","(84, 36)","(83, 10)","(54, 99)","(45, 35)","(96, 71)","(95, 48)","(27, 99)","(90, 76)"
"(28, 0)","(33, 9)","(59, 86)","(68, 91)","(56, 56)","(70, 43)","(2, 36)","(34, 71)","(22, 69)","(67, 10)","(31, 26)","(75, 66)","(53, 29)","(29, 38)","(6, 42)","(79, 57)","(79, 63)","(75, 14)","(43, 79)","(5, 86)","(67, 40)","(99, 17)","(48, 72)","(15, 69)","(15, 78)","(29, 71)","(68, 26)","(58, 58)","(29, 77)","(65, 51)","(34, 79)","(64, 31)","(65, 5)","(35, 68)","(27, 24)","(71, 6)","(40, 0)","(86, 58)","(77, 52)","(43, 90)","(7, 15)","(49, 30)","(33, 98)","(94, 56)","(97, 76)","(91, 11)","(35, 46)","(14, 87)","(35, 61)","(91, 41)","(23, 50)","(35, 15)","(0, 82)"
"(13, 2)","(43, 54)","(77, 76)","(6, 76)","(12, 68)","(90, 97)","(15, 51)","(39, 42)","(56, 92)","(50, 30)","(53, 8)","(2, 14)","(85, 30)","(88, 23)","(9, 93)","(71, 77)","(46, 23)","(53, 62)","(75, 38)","(82, 25)","(89, 6)","(54, 15)","(77, 19)","(53, 86)","(83, 20)","(27, 76)","(13, 4)","(63, 54)","(44, 10)","(35, 1)","(53, 49)","(25, 72)","(49, 9)","(8, 29)","(80, 51)","(3, 48)","(51, 33)","(18, 70)","(32, 99)","(100, 69)","(47, 11)","(0, 46)","(57, 49)","(84, 39)","(67, 26)","(94, 10)","(83, 80)","(46, 6)","(17, 22)","(52, 28)","(73, 2)","(63, 71)","(19, 40)"
"(34, 94)","(60, 14)","(81, 30)","(87, 71)","(46, 42)","(81, 33)","(74, 55)","(83, 18)","(90, 63)","(89, 37)","(3, 37)","(14, 43)","(30, 33)","(90, 84)","(51, 95)","(67, 64)","(2, 38)","(65, 100)","(86, 86)","(44, 56)","(55, 19)","(39, 41)","(68, 50)","(83, 84)","(99, 68)","(34, 97)","(19, 23)","(57, 68)","(85, 78)","(81, 65)","(94, 96)","(36, 42)","(13, 16)","(43, 23)","(43, 26)","(98, 32)","(37, 56)","(22, 70)","(79, 98)","(90, 31)","(6, 28)","(22, 85)","(54, 4)","(44, 58)","(6, 49)","(66, 67)","(29, 54)","(68, 9)","(18, 57)","(4, 40)","(84, 57)","(7, 63)","(35, 79)"
"(86, 56)","(82, 58)","(27, 66)","(6, 18)","(82, 26)","(69, 65)","(72, 21)","(20, 20)","(100, 19)","(17, 21)","(27, 80)","(88, 11)","(30, 94)","(1, 76)","(4, 48)","(52, 39)","(2, 20)","(83, 45)","(60, 52)","(15, 96)","(81, 90)","(97, 80)","(69, 3)","(66, 53)","(22, 89)","(93, 9)","(95, 46)","(10, 66)","(70, 32)","(62, 52)","(72, 50)","(2, 83)","(7, 73)","(40, 73)","(51, 48)","(83, 56)","(68, 95)","(43, 41)","(55, 18)","(40, 97)","(33, 58)","(81, 49)","(27, 20)","(53, 97)","(36, 32)","(74, 16)","(15, 0)","(47, 93)","(29, 63)","(66, 21)","(71, 11)","(84, 2)","(42, 33)"
"(82, 51)","(10, 49)","(31, 64)","(86, 66)","(37, 0)","(14, 7)","(49, 99)","(20, 32)","(29, 99)","(96, 6)","(6, 36)","(87, 92)","(38, 44)","(67, 86)","(8, 64)","(32, 9)","(38, 59)","(57, 66)","(47, 34)","(74, 85)","(99, 32)","(32, 94)","(60, 55)","(1, 42)","(84, 83)","(27, 3)","(4, 11)","(14, 76)","(21, 91)","(6, 41)","(24, 4)","(67, 97)","(99, 10)","(50, 84)","(16, 64)","(15, 68)","(66, 25)","(92, 41)","(90, 19)","(84, 9)","(60, 100)","(67, 57)","(97, 64)","(78, 20)","(42, 0)","(38, 100)","(41, 1)","(35, 58)","(95, 45)","(53, 100)","(65, 22)","(87, 50)","(66, 79)"
"(41, 75)","(82, 31)","(49, 16)","(64, 5)","(55, 8)","(66, 97)","(60, 50)","(73, 87)","(57, 42)","(61, 6)","(50, 64)","(70, 18)","(85, 15)","(10, 73)","(34, 98)","(10, 15)","(71, 1)","(90, 87)","(63, 70)","(51, 46)","(50, 48)","(47, 0)","(53, 83)","(30, 2)","(2, 44)","(3, 88)","(29, 46)","(50, 32)","(58, 33)","(27, 94)","(40, 61)","(98, 20)","(38, 67)","(14, 51)","(47, 51)","(24, 25)","(52, 35)","(79, 80)","(49, 15)","(66, 34)","(22, 64)","(93, 54)","(39, 40)","(84, 100)","(98, 10)","(80, 93)","(5, 81)","(41, 19)","(0, 70)","(2, 6)","(63, 62)","(23, 53)","(77, 60)"
"(67, 76)","(82, 87)","(26, 37)","(53, 11)","(55, 72)","(66, 45)","(24, 100)","(11, 57)","(93, 68)","(56, 83)","(67, 89)","(53, 35)","(69, 89)","(74, 12)","(47, 92)","(4, 45)","(3, 58)","(23, 70)","(69, 47)","(13, 56)","(46, 56)","(67, 24)","(10, 2)","(45, 33)","(74, 69)","(36, 88)","(98, 72)","(49, 67)","(52, 29)","(59, 50)","(27, 45)","(13, 92)","(1, 96)","(88, 95)","(18, 15)","(69, 2)","(24, 34)","(84, 30)","(67, 72)","(89, 78)","(64, 91)","(88, 58)","(59, 65)","(13, 0)","(76, 7)","(91, 90)","(17, 92)","(49, 60)","(19, 86)","(25, 75)","(28, 98)","(53, 2)","(21, 1)"
"(44, 74)","(11, 30)","(32, 36)","(25, 84)","(86, 11)","(97, 69)","(0, 39)","(58, 62)","(7, 99)","(8, 9)","(78, 95)","(17, 30)","(79, 8)","(27, 28)","(85, 21)","(69, 92)","(8, 15)","(94, 39)","(79, 26)","(22, 13)","(22, 71)","(36, 9)","(62, 92)","(91, 79)","(22, 28)","(47, 91)","(57, 59)","(86, 40)","(85, 75)","(35, 7)","(60, 24)","(68, 74)","(95, 3)","(4, 50)","(82, 82)","(3, 63)","(12, 11)","(47, 2)","(74, 47)","(50, 53)","(62, 15)","(1, 44)","(96, 56)","(41, 53)","(89, 87)","(88, 61)","(62, 51)","(32, 13)","(80, 26)","(41, 80)","(75, 21)","(87, 56)","(86, 60)"
"(63, 48)","(34, 24)","(94, 48)","(75, 42)","(65, 31)","(86, 5)","(32, 37)","(93, 65)","(95, 29)","(40, 38)","(5, 19)","(71, 50)","(61, 33)","(67, 49)","(93, 98)","(66, 26)","(88, 90)","(35, 24)","(24, 90)","(86, 10)","(38, 89)","(78, 18)","(37, 69)","(16, 34)","(79, 41)","(99, 53)","(75, 36)","(1, 57)","(27, 15)","(75, 74)","(68, 79)","(52, 86)","(57, 25)","(64, 9)","(93, 45)","(16, 18)","(82, 85)","(87, 14)","(67, 11)","(93, 60)","(59, 1)","(11, 34)","(94, 65)","(62, 42)","(78, 90)","(34, 32)","(42, 21)","(39, 58)","(99, 82)","(9, 33)","(62, 66)","(95, 72)","(28, 49)"
"(18, 63)","(35, 78)","(8, 39)","(20, 75)","(10, 98)","(94, 0)","(30, 64)","(26, 45)","(99, 57)","(19, 64)","(99, 2)","(22, 35)","(26, 63)","(49, 4)","(52, 79)","(24, 75)","(80, 40)","(10, 24)","(75, 29)","(25, 83)","(38, 13)","(8, 42)","(79, 32)","(35, 96)","(21, 6)","(18, 83)","(97, 77)","(28, 63)","(54, 76)","(8, 51)","(19, 63)","(63, 33)","(41, 2)","(27, 9)","(44, 4)","(99, 59)","(77, 34)","(25, 9)","(25, 67)","(58, 97)","(50, 35)","(33, 89)","(71, 76)","(9, 98)","(95, 73)","(54, 72)","(97, 18)","(8, 59)","(68, 58)","(69, 84)","(99, 27)","(99, 85)","(55, 54)"
"(67, 62)","(98, 60)","(1, 37)","(62, 8)","(57, 30)","(70, 6)","(70, 3)","(26, 97)","(38, 50)","(83, 76)","(30, 82)","(100, 49)","(81, 11)","(93, 37)","(78, 58)","(24, 81)","(49, 74)","(98, 91)","(7, 65)","(20, 16)","(97, 16)","(87, 76)","(89, 73)","(14, 9)","(23, 76)","(56, 15)","(18, 37)","(50, 14)","(53, 98)","(74, 11)","(76, 2)","(86, 37)","(51, 18)","(51, 30)","(70, 50)","(53, 3)","(63, 72)","(86, 9)","(82, 5)","(58, 14)","(36, 81)","(92, 22)","(54, 96)","(1, 65)","(39, 52)","(48, 6)","(61, 92)","(4, 37)","(2, 15)","(74, 86)","(52, 31)","(21, 56)","(87, 4)"
"(6, 85)","(43, 50)","(86, 57)","(63, 74)","(57, 88)","(59, 0)","(88, 42)","(49, 90)","(70, 9)","(99, 45)","(87, 83)","(19, 3)","(95, 44)","(13, 51)","(26, 60)","(38, 68)","(43, 15)","(52, 85)","(84, 65)","(13, 17)","(6, 5)","(96, 94)","(98, 24)","(5, 43)","(51, 98)","(59, 63)","(91, 55)","(42, 44)","(18, 89)","(70, 66)","(46, 99)","(16, 95)","(97, 71)","(74, 48)","(51, 3)","(26, 38)","(58, 21)","(41, 11)","(18, 49)","(74, 75)","(63, 2)","(66, 95)","(71, 24)","(92, 4)","(96, 62)","(72, 40)","(93, 20)","(13, 61)","(48, 61)","(2, 12)","(33, 79)","(36, 47)","(89, 1)"
"(1, 12)","(98, 78)","(81, 2)","(77, 2)","(63, 19)","(60, 1)","(50, 61)","(41, 58)","(17, 61)","(38, 32)","(84, 35)","(49, 41)","(5, 80)","(9, 72)","(64, 50)","(70, 51)","(23, 55)","(99, 90)","(100, 0)","(69, 61)","(28, 57)","(15, 35)","(88, 47)","(81, 41)","(95, 37)","(20, 31)","(51, 64)","(43, 5)","(56, 97)","(41, 90)","(14, 48)","(8, 96)","(98, 90)","(87, 75)","(40, 85)","(6, 83)","(34, 14)","(87, 23)","(71, 39)","(69, 72)","(47, 75)","(5, 5)","(26, 34)","(62, 97)","(19, 1)","(85, 71)","(41, 10)","(61, 22)","(99, 73)","(86, 45)","(28, 31)","(26, 70)","(88, 88)"
"(73, 81)","(89, 63)","(98, 6)","(94, 43)","(31, 23)","(10, 46)","(53, 26)","(63, 89)","(20, 90)","(76, 3)","(36, 19)","(91, 86)","(98, 64)","(68, 60)","(38, 4)","(78, 46)","(96, 27)","(8, 91)","(55, 1)","(31, 1)","(12, 58)","(9, 41)","(71, 28)","(93, 52)","(27, 61)","(73, 89)","(61, 66)","(17, 8)","(78, 85)","(91, 18)","(82, 52)","(43, 72)","(70, 90)","(65, 75)","(99, 80)","(90, 16)","(93, 42)","(47, 48)","(68, 83)","(45, 5)","(55, 73)","(45, 72)","(49, 36)","(3, 14)","(55, 27)","(36, 17)","(0, 73)","(97, 42)","(9, 88)","(13, 70)","(88, 79)","(17, 98)","(19, 34)"
"(82, 71)","(3, 72)","(88, 82)","(74, 40)","(38, 26)","(47, 62)","(69, 7)","(98, 49)","(87, 25)","(20, 26)","(72, 88)","(53, 99)","(27, 83)","(35, 5)","(77, 44)","(28, 91)","(7, 62)","(71, 65)","(64, 59)","(95, 71)","(70, 57)","(17, 54)","(18, 86)","(21, 82)","(23, 24)","(22, 22)","(89, 24)","(24, 59)","(85, 69)","(57, 4)","(49, 0)","(44, 13)","(63, 11)","(76, 26)","(52, 38)","(85, 38)","(0, 40)","(21, 14)","(55, 70)","(77, 70)","(44, 43)","(31, 82)","(57, 40)","(84, 24)","(16, 36)","(29, 94)","(44, 52)","(63, 38)","(5, 78)","(55, 42)","(30, 92)","(50, 98)","(29, 8)"
"(90, 85)","(47, 80)","(51, 22)","(14, 59)","(87, 10)","(56, 19)","(85, 0)","(79, 48)","(58, 25)","(8, 82)","(83, 24)","(45, 43)","(37, 45)","(52, 88)","(51, 31)","(30, 91)","(75, 93)","(10, 42)","(65, 42)","(84, 22)","(18, 31)","(28, 69)","(1, 54)","(1, 63)","(91, 24)","(9, 19)","(45, 97)","(87, 45)","(5, 30)","(50, 81)","(20, 52)","(83, 96)","(70, 41)","(20, 55)","(5, 51)","(60, 45)","(87, 8)","(95, 66)","(36, 11)","(69, 75)","(85, 65)","(1, 25)","(41, 16)","(41, 74)","(64, 45)","(12, 96)","(24, 9)","(71, 2)","(61, 34)","(42, 85)","(76, 25)","(40, 66)","(9, 97)"
"(96, 35)","(6, 87)","(71, 10)","(79, 91)","(24, 91)","(77, 11)","(5, 68)","(21, 86)","(59, 15)","(87, 34)","(61, 15)","(86, 38)","(1, 70)","(73, 1)","(28, 27)","(65, 18)","(60, 31)","(49, 19)","(1, 30)","(44, 44)","(33, 96)","(99, 47)","(71, 37)","(94, 8)","(15, 44)","(75, 4)","(42, 4)","(65, 57)","(90, 56)","(7, 49)","(22, 31)","(94, 17)","(78, 39)","(37, 93)","(43, 84)","(20, 58)","(30, 90)","(24, 77)","(41, 99)","(42, 40)","(7, 82)","(27, 48)","(16, 82)","(45, 23)","(51, 63)","(23, 29)","(28, 77)","(1, 62)","(9, 79)","(8, 77)","(11, 76)","(19, 37)","(90, 27)"
"(10, 99)","(4, 29)","(42, 1)","(49, 26)","(68, 39)","(35, 91)","(51, 47)","(32, 52)","(89, 80)","(92, 18)","(7, 38)","(89, 89)","(32, 0)","(92, 79)","(35, 63)","(85, 12)","(55, 35)","(92, 39)","(42, 87)","(96, 91)","(69, 46)","(38, 74)","(52, 97)","(10, 39)","(49, 22)","(63, 21)","(85, 51)","(44, 41)","(30, 54)","(14, 70)","(76, 45)","(13, 41)","(82, 34)","(12, 30)","(3, 79)","(57, 65)","(99, 7)","(32, 75)","(17, 96)","(18, 6)","(97, 0)","(64, 70)","(78, 5)","(38, 94)","(7, 33)","(85, 7)","(82, 48)","(10, 1)","(69, 41)","(15, 64)","(81, 0)","(58, 44)","(19, 31)"
