Anchor_1,Anchor_2,Anchor_3,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50
"(97, 62)","(54, 71)","(93, 78)","(79, 88)","(83, 41)","(90, 22)","(10, 68)","(0, 95)","(62, 15)","(90, 5)","(38, 25)","(29, 85)","(16, 90)","(82, 95)","(58, 64)","(100, 58)","(56, 49)","(7, 64)","(60, 16)","(81, 60)","(0, 8)","(33, 75)","(93, 34)","(67, 82)","(56, 15)","(38, 9)","(5, 15)","(18, 81)","(89, 50)","(8, 48)","(55, 84)","(81, 39)","(14, 36)","(80, 88)","(49, 77)","(13, 63)","(0, 82)","(80, 45)","(58, 100)","(83, 39)","(57, 52)","(20, 12)","(86, 74)","(65, 100)","(38, 23)","(89, 90)","(91, 75)","(89, 52)","(18, 91)","(32, 91)","(8, 78)","(4, 70)","(34, 49)"
"(58, 7)","(63, 17)","(48, 90)","(9, 62)","(42, 45)","(14, 64)","(26, 52)","(7, 43)","(12, 78)","(21, 38)","(31, 84)","(28, 84)","(76, 1)","(21, 23)","(8, 83)","(2, 38)","(5, 62)","(23, 15)","(31, 81)","(69, 43)","(0, 84)","(69, 10)","(13, 85)","(25, 60)","(0, 36)","(28, 44)","(29, 50)","(20, 80)","(28, 15)","(37, 65)","(28, 0)","(70, 69)","(68, 23)","(68, 5)","(11, 15)","(3, 92)","(41, 94)","(32, 44)","(32, 6)","(25, 62)","(30, 70)","(11, 90)","(40, 78)","(67, 4)","(44, 8)","(19, 35)","(26, 94)","(13, 5)","(4, 57)","(8, 18)","(21, 64)","(78, 34)","(2, 47)"
"(91, 51)","(47, 97)","(23, 12)","(37, 74)","(69, 56)","(70, 66)","(35, 65)","(73, 98)","(71, 7)","(30, 50)","(48, 35)","(21, 78)","(98, 55)","(74, 36)","(78, 0)","(72, 2)","(26, 89)","(56, 42)","(77, 53)","(0, 20)","(98, 95)","(0, 19)","(64, 66)","(86, 73)","(70, 30)","(99, 5)","(44, 67)","(61, 57)","(89, 84)","(46, 15)","(95, 98)","(31, 83)","(0, 53)","(99, 30)","(60, 90)","(0, 3)","(35, 4)","(100, 78)","(12, 99)","(15, 100)","(9, 55)","(63, 1)","(61, 53)","(97, 26)","(8, 46)","(6, 62)","(4, 93)","(79, 100)","(36, 57)","(50, 8)","(39, 0)","(19, 55)","(44, 79)"
"(74, 97)","(60, 96)","(62, 80)","(37, 7)","(88, 43)","(58, 40)","(84, 4)","(100, 0)","(13, 8)","(68, 49)","(68, 75)","(22, 20)","(43, 89)","(59, 16)","(91, 26)","(15, 8)","(56, 76)","(71, 17)","(34, 57)","(2, 65)","(26, 62)","(86, 55)","(47, 10)","(83, 38)","(61, 30)","(82, 8)","(24, 68)","(87, 56)","(93, 31)","(61, 42)","(95, 0)","(38, 22)","(76, 39)","(27, 78)","(100, 0)","(11, 99)","(74, 87)","(63, 27)","(18, 94)","(80, 15)","(65, 57)","(91, 50)","(19, 14)","(60, 15)","(88, 42)","(66, 65)","(2, 34)","(68, 68)","(9, 69)","(43, 94)","(3, 96)","(94, 63)","(86, 50)"
"(23, 97)","(19, 27)","(52, 5)","(84, 85)","(42, 77)","(89, 75)","(0, 65)","(2, 14)","(45, 87)","(3, 35)","(74, 50)","(16, 16)","(67, 38)","(52, 57)","(59, 53)","(38, 92)","(43, 5)","(27, 56)","(12, 8)","(95, 10)","(31, 85)","(52, 41)","(85, 73)","(76, 34)","(37, 24)","(81, 66)","(8, 35)","(72, 85)","(74, 62)","(19, 70)","(31, 59)","(38, 92)","(61, 46)","(51, 75)","(8, 60)","(0, 30)","(75, 21)","(0, 56)","(24, 31)","(4, 53)","(1, 66)","(0, 56)","(57, 30)","(51, 44)","(10, 49)","(91, 32)","(3, 13)","(98, 69)","(90, 62)","(59, 29)","(70, 34)","(95, 85)","(49, 68)"
"(61, 85)","(29, 71)","(48, 39)","(33, 55)","(38, 18)","(46, 31)","(45, 65)","(97, 2)","(99, 25)","(0, 54)","(11, 20)","(97, 37)","(100, 31)","(45, 29)","(33, 62)","(44, 69)","(43, 67)","(19, 48)","(35, 9)","(26, 87)","(66, 54)","(10, 45)","(61, 35)","(56, 60)","(26, 40)","(75, 72)","(28, 8)","(57, 58)","(67, 80)","(5, 36)","(74, 100)","(55, 94)","(40, 12)","(84, 51)","(90, 99)","(11, 65)","(11, 87)","(53, 40)","(31, 16)","(78, 43)","(93, 2)","(59, 5)","(41, 52)","(36, 9)","(49, 99)","(94, 3)","(87, 62)","(32, 7)","(37, 49)","(69, 39)","(0, 82)","(9, 89)","(100, 28)"
"(58, 16)","(71, 98)","(20, 31)","(97, 48)","(100, 99)","(64, 11)","(84, 21)","(54, 67)","(80, 66)","(100, 45)","(39, 56)","(29, 4)","(3, 66)","(41, 59)","(93, 60)","(17, 39)","(8, 11)","(100, 76)","(28, 33)","(96, 95)","(18, 56)","(34, 50)","(42, 98)","(4, 7)","(0, 90)","(16, 46)","(22, 41)","(95, 60)","(40, 57)","(90, 79)","(63, 66)","(89, 83)","(62, 22)","(45, 26)","(93, 58)","(85, 22)","(26, 92)","(40, 80)","(13, 75)","(100, 0)","(28, 75)","(44, 51)","(11, 97)","(63, 59)","(44, 74)","(70, 21)","(75, 98)","(38, 100)","(12, 29)","(11, 11)","(14, 70)","(20, 51)","(96, 96)"
"(29, 39)","(96, 13)","(94, 31)","(72, 10)","(2, 62)","(0, 0)","(51, 56)","(92, 13)","(11, 22)","(45, 23)","(79, 41)","(60, 83)","(56, 0)","(25, 30)","(78, 100)","(65, 76)","(34, 74)","(2, 49)","(98, 41)","(29, 0)","(22, 28)","(72, 22)","(7, 51)","(82, 36)","(93, 3)","(100, 81)","(100, 17)","(68, 11)","(76, 13)","(0, 0)","(8, 12)","(72, 100)","(78, 91)","(99, 65)","(42, 74)","(51, 81)","(40, 80)","(24, 5)","(64, 13)","(99, 60)","(60, 51)","(77, 0)","(24, 24)","(14, 23)","(79, 11)","(0, 2)","(53, 96)","(25, 15)","(6, 15)","(91, 0)","(0, 0)","(26, 36)","(2, 7)"
"(33, 80)","(47, 58)","(54, 23)","(23, 28)","(0, 73)","(19, 66)","(2, 29)","(0, 54)","(21, 34)","(43, 47)","(31, 69)","(15, 67)","(8, 55)","(36, 34)","(29, 10)","(43, 9)","(0, 44)","(15, 56)","(0, 24)","(14, 3)","(8, 80)","(35, 0)","(4, 36)","(34, 2)","(0, 50)","(23, 0)","(1, 27)","(3, 78)","(15, 90)","(32, 66)","(0, 74)","(32, 38)","(0, 87)","(3, 75)","(22, 74)","(42, 86)","(19, 62)","(10, 15)","(0, 25)","(37, 63)","(47, 22)","(30, 10)","(0, 29)","(5, 95)","(36, 36)","(53, 15)","(39, 0)","(12, 19)","(48, 16)","(6, 24)","(9, 91)","(30, 97)","(42, 38)"
"(37, 93)","(40, 54)","(39, 28)","(88, 11)","(4, 78)","(20, 14)","(70, 2)","(92, 35)","(38, 4)","(10, 46)","(0, 68)","(4, 74)","(53, 8)","(58, 33)","(52, 14)","(97, 50)","(22, 94)","(64, 10)","(95, 96)","(81, 30)","(6, 52)","(12, 69)","(28, 76)","(98, 63)","(1, 76)","(25, 82)","(11, 55)","(92, 56)","(6, 89)","(23, 36)","(13, 40)","(10, 50)","(0, 100)","(6, 69)","(34, 8)","(44, 11)","(28, 88)","(54, 4)","(56, 35)","(88, 17)","(24, 55)","(0, 100)","(0, 47)","(28, 48)","(4, 99)","(88, 32)","(100, 59)","(58, 31)","(29, 54)","(50, 34)","(13, 57)","(17, 90)","(47, 33)"
