Anchor_1,Anchor_2,Anchor_3,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50
"(97, 62)","(54, 71)","(93, 78)",(2.0),(1.0),(1.0),(1.0),(1.0),(1.0),(1.0),(1.4142135623730951),(1.0),(1.4142135623730951),(1.0),(2.23606797749979),(1.4142135623730951),(1.4142135623730951),(1.4142135623730951),(1.0),(2.0),(2.0),(1.4142135623730951),(1.0),(2.0),(1.4142135623730951),(1.4142135623730951),(1.0),(1.0),(1.0),(1.0),(1.4142135623730951),(1.0),(1.4142135623730951),(2.0),(1.4142135623730951),(1.0),(1.0),(1.0),(1.0),(1.0),(1.4142135623730951),(1.0),(0.0),(1.0),(1.4142135623730951),(1.4142135623730951),(0.0),(1.0),(1.0),(1.0),(1.0),(1.0),(1.4142135623730951)
"(58, 7)","(63, 17)","(48, 90)",(1.0),(4.123105625617661),(70.8590149522275),(2.0),(1.0),(1.0),(65.76473218982953),(1.4142135623730951),(38.3275357934736),(1.4142135623730951),(71.7007670809734),(1.0),(1.0),(1.0),(1.4142135623730951),(33.37663853655727),(5.0990195135927845),(97.01546268507923),(15.132745950421556),(1.0),(51.62363799656123),(1.0),(2.0),(2.0),(1.0),(60.530983801686226),(3.0),(61.00819617067857),(2.23606797749979),(5.0),(1.4142135623730951),(1.4142135623730951),(1.4142135623730951),(1.4142135623730951),(2.0),(54.45181356024793),(2.0),(38.47076812334269),(70.71067811865476),(4.0),(15.297058540778355),(30.066592756745816),(1.0),(41.43669871020132),(1.4142135623730951),(93.05912099305473),(1.0),(56.71860364994893),(2.0),(1.0)
"(91, 51)","(47, 97)","(23, 12)",(1.0),(0.0),(1.4142135623730951),(1.0),(1.4142135623730951),(1.4142135623730951),(1.0),(0.0),(1.4142135623730951),(1.0),(1.4142135623730951),(1.0),(1.4142135623730951),(1.4142135623730951),(0.0),(0.0),(1.0),(1.4142135623730951),(1.4142135623730951),(0.0),(1.4142135623730951),(1.4142135623730951),(1.4142135623730951),(1.0),(0.0),(1.4142135623730951),(1.4142135623730951),(1.4142135623730951),(1.4142135623730951),(0.0),(1.4142135623730951),(1.4142135623730951),(1.4142135623730951),(1.0),(1.0),(1.4142135623730951),(1.4142135623730951),(1.0),(1.4142135623730951),(0.0),(1.4142135623730951),(1.0),(1.0),(1.4142135623730951),(1.0),(1.0),(1.4142135623730951),(0.0),(1.0),(1.0)
"(74, 97)","(60, 96)","(62, 80)",(1.4142135623730951),(1.4142135623730951),(1.0),(1.4142135623730951),(95.00526301210897),(2.0),(1.0),(1.0),(2.23606797749979),(1.0),(1.4142135623730951),(1.4142135623730951),(1.0),(1.4142135623730951),(1.4142135623730951),(1.4142135623730951),(1.4142135623730951),(1.4142135623730951),(1.0),(1.4142135623730951),(1.0),(1.4142135623730951),(1.0),(1.4142135623730951),(1.4142135623730951),(1.0),(1.0),(1.4142135623730951),(1.4142135623730951),(1.0),(1.0),(1.0),(1.0),(1.4142135623730951),(1.0),(1.0),(1.4142135623730951),(1.0),(1.4142135623730951),(2.0),(1.4142135623730951),(1.0),(1.0),(1.4142135623730951),(1.0),(1.4142135623730951),(1.0),(1.0),(1.4142135623730951),(1.4142135623730951)
"(23, 97)","(19, 27)","(52, 5)",(1.0),(2.23606797749979),(1.4142135623730951),(2.0),(1.4142135623730951),(40.44749683231337),(2.23606797749979),(1.0),(1.4142135623730951),(1.0),(1.0),(2.0),(1.4142135623730951),(2.23606797749979),(0.0),(1.4142135623730951),(1.4142135623730951),(3.0),(1.0),(1.4142135623730951),(1.0),(0.0),(1.0),(2.0),(1.4142135623730951),(1.0),(1.0),(1.0),(27.294688127912362),(2.0),(2.23606797749979),(2.0),(1.4142135623730951),(1.0),(2.0),(0.0),(2.0),(2.0),(0.0),(1.0),(1.0),(2.0),(1.0),(1.4142135623730951),(1.0),(1.0),(1.0),(73.53910524340094),(1.4142135623730951),(2.23606797749979)
"(61, 85)","(29, 71)","(48, 39)",(1.4142135623730951),(1.0),(1.0),(0.0),(1.4142135623730951),(1.4142135623730951),(1.0),(1.4142135623730951),(1.4142135623730951),(1.0),(1.0),(1.4142135623730951),(0.0),(0.0),(1.4142135623730951),(1.0),(1.4142135623730951),(1.0),(1.0),(1.4142135623730951),(1.0),(1.4142135623730951),(1.0),(1.0),(1.0),(1.0),(1.0),(1.4142135623730951),(1.0),(1.4142135623730951),(1.0),(1.4142135623730951),(1.0),(1.0),(1.4142135623730951),(1.0),(1.4142135623730951),(1.4142135623730951),(1.0),(1.4142135623730951),(1.0),(1.0),(1.0),(1.0),(1.0),(1.4142135623730951),(1.4142135623730951),(1.0),(1.0),(1.0)
"(58, 16)","(71, 98)","(20, 31)",(1.0),(1.4142135623730951),(1.4142135623730951),(1.4142135623730951),(0.0),(2.0),(1.4142135623730951),(1.4142135623730951),(1.4142135623730951),(1.0),(1.4142135623730951),(1.0),(1.0),(1.0),(1.0),(0.0),(1.0),(1.0),(1.4142135623730951),(1.4142135623730951),(1.0),(1.4142135623730951),(1.4142135623730951),(1.4142135623730951),(2.0),(1.4142135623730951),(1.0),(1.0),(1.0),(1.0),(0.0),(1.0),(1.4142135623730951),(1.4142135623730951),(1.4142135623730951),(1.4142135623730951),(1.0),(1.4142135623730951),(0.0),(1.4142135623730951),(1.0),(1.4142135623730951),(1.4142135623730951),(1.4142135623730951),(1.0),(1.0),(1.4142135623730951),(1.4142135623730951),(1.0),(1.4142135623730951)
"(29, 39)","(96, 13)","(94, 31)",(2.0),(1.0),(81.30190649671138),(2.0),(1.0),(42.720018726587654),(3.1622776601683795),(2.23606797749979),(1.0),(2.0),(16.76305461424021),(1.0),(1.0),(1.0),(1.0),(1.4142135623730951),(1.4142135623730951),(24.041630560342615),(1.0),(1.0),(2.0),(1.0),(1.0),(0.0),(2.0),(2.0),(81.21576201698781),(1.4142135623730951),(1.0),(1.0),(1.4142135623730951),(1.0),(1.0),(1.0),(1.4142135623730951),(2.0),(1.4142135623730951),(2.0),(1.0),(1.4142135623730951),(1.0),(2.0),(84.8999411071645),(1.0),(1.4142135623730951),(1.0),(0.0),(81.15417426109393),(1.4142135623730951),(77.20103626247513)
"(33, 80)","(47, 58)","(54, 23)",(1.4142135623730951),(70.9365914038728),(1.0),(94.2443632266673),(88.23831367382311),(53.75872022286245),(3.1622776601683795),(3.1622776601683795),(1.0),(1.0),(2.23606797749979),(1.0),(1.0),(91.54780172128658),(1.0),(109.12378292562992),(1.4142135623730951),(1.0),(48.38388161361178),(86.03487664894976),(50.59644256269407),(88.3911760301898),(63.150613615387776),(97.40636529508737),(57.0087712549569),(1.4142135623730951),(3.1622776601683795),(65.55150646628954),(32.57299494980466),(81.21576201698781),(58.309518948453004),(22.847319317591726),(19.235384061671343),(1.0),(87.5956619930462),(104.17773274553444),(3.1622776601683795),(1.4142135623730951),(1.0),(105.55093557141026),(1.4142135623730951),(2.23606797749979),(7.615773105863909),(1.0),(1.4142135623730951),(13.92838827718412),(1.0),(1.0),(1.0),(6.324555320336759)
"(37, 93)","(40, 54)","(39, 28)",(1.4142135623730951),(1.0),(37.0),(1.4142135623730951),(1.0),(1.4142135623730951),(55.036351623268054),(85.0),(65.06919393998976),(1.0),(33.0),(1.4142135623730951),(1.0),(27.018512172212592),(47.0),(1.0),(80.00624975587844),(63.0317380372777),(48.041648597857254),(4.0),(1.0),(1.0),(21.02379604162864),(53.03772242470448),(1.0),(60.03332407921454),(29.017236257093817),(48.010415536631214),(1.0),(77.0),(1.0),(11.045361017187261),(8.06225774829855),(13.0),(1.0),(30.0),(1.0),(26.019223662515376),(82.05485969764375),(75.02666192761077),(18.0),(1.4142135623730951),(1.0),(1.0),(33.0),(18.0),(2.0),(49.040799340956916),(1.4142135623730951),(2.23606797749979)
