Anchor_1,Anchor_2,Anchor_3,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50
"(77, 0)","(47, 69)","(56, 44)","(93.91, 50.44, 59.93)","(69.14, 21.36, 23.97)","(21.40, 68.01, 42.18)","(54.40, 37.22, 22.24)","(89.35, 18.02, 42.11)","(17.25, 81.79, 56.66)","(76.85, 43.79, 43.21)","(31.16, 51.97, 27.87)","(99.15, 39.44, 57.25)","(64.24, 46.78, 37.56)","(32.96, 50.90, 27.50)","(40.71, 67.34, 47.83)","(110.11, 36.72, 61.53)","(69.49, 67.80, 55.92)","(76.43, 12.51, 30.13)","(7.47, 73.49, 47.17)","(16.88, 71.63, 45.46)","(83.37, 42.08, 46.32)","(88.87, 56.10, 60.85)","(83.13, 11.24, 34.41)","(64.10, 42.81, 37.44)","(101.09, 43.06, 60.29)","(47.88, 39.27, 19.08)","(37.17, 48.80, 26.53)","(74.21, 77.75, 65.52)","(102.73, 32.12, 55.04)","(80.60, 20.20, 34.25)","(90.65, 52.10, 55.98)","(97.84, 27.97, 50.17)","(50.40, 40.53, 22.62)","(62.35, 69.84, 55.04)","(68.02, 29.01, 30.43)","(78.38, 7.85, 30.44)","(11.35, 76.39, 50.69)","(117.08, 50.02, 71.16)","(105.74, 31.91, 57.08)","(54.85, 55.87, 43.10)","(66.64, 41.30, 37.86)","(95.96, 27.08, 50.05)","(87.12, 40.45, 50.34)","(96.86, 37.18, 52.59)","(27.67, 80.67, 57.04)","(33.90, 59.80, 36.26)","(86.28, 56.36, 59.43)","(48.38, 36.06, 18.31)","(77.60, 64.22, 57.18)","(97.15, 25.37, 49.04)","(52.14, 27.31, 3.44)","(116.83, 45.88, 69.33)","(83.48, 16.15, 36.88)"
"(65, 86)","(80, 51)","(87, 22)","(56.93, 84.92, 108.73)","(62.78, 68.18, 81.32)","(71.85, 77.15, 88.76)","(59.84, 25.06, 17.76)","(92.02, 71.37, 62.24)","(35.41, 40.18, 60.93)","(53.48, 43.32, 52.60)","(41.85, 59.64, 81.48)","(49.26, 30.32, 39.43)","(62.12, 26.38, 21.98)","(15.46, 35.23, 62.95)","(42.77, 6.94, 28.76)","(79.71, 75.62, 80.62)","(77.45, 40.21, 11.42)","(67.35, 44.47, 41.00)","(57.70, 21.02, 14.92)","(61.53, 23.51, 12.78)","(9.07, 35.96, 65.87)","(88.27, 80.47, 82.07)","(70.43, 71.24, 81.19)","(65.50, 73.13, 87.00)","(79.78, 77.14, 82.98)","(21.99, 52.94, 80.30)","(11.00, 48.81, 78.53)","(70.79, 64.44, 70.09)","(62.35, 39.50, 38.39)","(24.83, 46.35, 71.66)","(22.51, 50.84, 80.26)","(41.52, 23.35, 39.66)","(28.09, 61.46, 89.08)","(70.61, 35.78, 16.53)","(81.18, 71.49, 72.91)","(43.11, 46.31, 63.97)","(39.00, 47.57, 67.48)","(59.74, 21.56, 14.34)","(43.80, 73.17, 98.57)","(70.38, 79.09, 93.02)","(56.84, 22.86, 26.14)","(75.36, 59.51, 58.09)","(60.91, 30.80, 25.52)","(29.10, 13.16, 42.73)","(58.90, 53.74, 63.39)","(62.16, 30.36, 22.34)","(46.13, 76.37, 102.14)","(41.47, 44.49, 62.14)","(63.49, 60.72, 69.85)","(72.34, 46.81, 38.13)","(73.41, 60.12, 61.01)","(54.17, 65.03, 82.27)","(67.62, 39.70, 31.80)"
"(89, 70)","(74, 29)","(95, 92)","(38.82, 28.47, 57.81)","(77.69, 83.36, 82.41)","(15.56, 35.23, 36.41)","(22.78, 55.02, 27.12)","(53.96, 69.10, 57.27)","(78.97, 43.94, 99.51)","(48.67, 14.36, 70.47)","(81.85, 72.32, 93.54)","(92.84, 79.17, 105.47)","(82.51, 58.20, 99.61)","(30.31, 29.57, 49.44)","(66.21, 50.58, 81.98)","(41.70, 12.59, 63.55)","(61.49, 19.21, 84.26)","(81.50, 42.80, 102.84)","(60.84, 71.98, 65.41)","(58.55, 43.49, 74.73)","(87.80, 69.12, 102.23)","(58.10, 15.00, 81.12)","(66.43, 84.37, 65.38)","(54.90, 40.26, 71.66)","(54.71, 69.85, 58.14)","(77.51, 85.61, 80.91)","(61.04, 27.41, 83.11)","(42.78, 65.62, 44.10)","(73.37, 83.71, 76.06)","(58.07, 20.71, 80.66)","(95.46, 73.32, 111.21)","(109.80, 75.06, 129.31)","(24.08, 25.08, 46.57)","(69.93, 33.64, 91.21)","(25.62, 69.18, 3.39)","(72.49, 61.94, 85.57)","(89.56, 72.75, 103.55)","(28.90, 28.72, 49.95)","(50.31, 70.94, 51.03)","(96.72, 75.31, 111.97)","(78.93, 89.07, 81.18)","(55.54, 71.48, 57.98)","(82.12, 69.08, 95.17)","(41.80, 42.83, 56.02)","(108.28, 73.17, 127.90)","(74.59, 50.14, 92.05)","(72.15, 69.63, 81.64)","(61.18, 64.95, 69.64)","(66.90, 39.00, 86.22)","(85.48, 59.01, 102.95)","(97.40, 67.87, 115.36)","(65.78, 34.01, 85.82)","(88.92, 67.26, 104.52)"
"(78, 22)","(48, 51)","(72, 98)","(56.15, 43.42, 25.83)","(82.99, 46.25, 82.54)","(50.13, 8.72, 55.31)","(101.64, 59.99, 68.50)","(67.42, 26.53, 44.92)","(37.05, 29.75, 43.07)","(25.39, 67.02, 98.35)","(62.94, 21.36, 54.31)","(56.69, 21.35, 36.04)","(53.37, 51.07, 36.05)","(58.19, 32.04, 82.65)","(15.02, 52.42, 91.16)","(81.12, 49.80, 18.13)","(64.01, 37.83, 87.25)","(78.93, 41.57, 32.93)","(58.19, 43.14, 23.24)","(64.53, 51.77, 103.82)","(35.21, 34.22, 45.73)","(44.34, 16.25, 42.23)","(61.93, 41.51, 92.75)","(57.34, 45.82, 98.26)","(23.90, 65.67, 96.31)","(52.65, 32.25, 28.08)","(67.32, 25.70, 47.70)","(75.30, 51.18, 99.67)","(82.91, 44.93, 78.68)","(57.17, 42.46, 24.20)","(69.02, 49.04, 99.42)","(47.92, 6.36, 53.55)","(80.48, 39.50, 64.74)","(72.51, 63.69, 27.35)","(50.86, 15.83, 41.03)","(33.56, 50.25, 99.10)","(40.28, 35.86, 87.96)","(21.06, 31.84, 59.13)","(52.11, 38.56, 28.76)","(88.99, 47.40, 57.55)","(24.26, 56.71, 99.11)","(66.88, 29.20, 35.59)","(57.15, 39.43, 91.60)","(18.62, 29.75, 73.62)","(86.73, 50.21, 85.68)","(39.50, 46.99, 98.35)","(52.93, 39.37, 91.92)","(39.60, 37.62, 89.66)","(38.26, 32.56, 84.71)","(45.93, 21.95, 74.59)","(85.58, 47.42, 37.19)","(84.72, 43.37, 66.15)","(75.10, 37.38, 33.40)"
"(78, 70)","(38, 76)","(60, 82)","(68.21, 29.24, 52.15)","(80.39, 64.34, 78.78)","(58.34, 61.36, 65.36)","(21.41, 54.84, 40.97)","(78.57, 60.88, 75.82)","(61.72, 21.69, 42.01)","(34.40, 14.71, 23.22)","(38.04, 43.12, 43.94)","(46.94, 46.08, 50.90)","(76.84, 38.96, 55.61)","(29.97, 53.56, 31.13)","(79.50, 53.46, 71.96)","(69.71, 74.25, 78.14)","(63.91, 74.75, 75.27)","(74.44, 47.57, 66.29)","(99.60, 82.43, 97.80)","(80.91, 44.93, 67.26)","(44.49, 7.17, 24.96)","(31.13, 41.93, 39.13)","(57.23, 24.19, 44.57)","(70.69, 67.03, 75.11)","(31.75, 29.05, 13.05)","(14.99, 49.44, 27.12)","(32.08, 14.67, 20.47)","(47.94, 47.09, 51.83)","(72.24, 55.77, 69.65)","(25.88, 43.71, 37.27)","(46.50, 77.87, 66.12)","(19.58, 52.47, 39.05)","(11.16, 51.54, 32.05)","(19.08, 37.13, 14.59)","(18.55, 58.48, 40.00)","(41.08, 23.41, 19.74)","(89.62, 74.16, 88.37)","(12.11, 32.94, 13.50)","(66.03, 26.24, 49.09)","(64.84, 27.54, 43.81)","(30.85, 14.09, 13.19)","(79.21, 40.74, 58.26)","(33.03, 55.69, 48.25)","(29.99, 16.54, 10.27)","(84.70, 55.95, 75.89)","(73.00, 32.64, 53.92)","(54.67, 37.54, 50.61)","(48.08, 8.36, 31.10)","(45.21, 6.26, 28.62)","(42.17, 21.06, 34.05)","(36.03, 23.16, 14.77)","(52.12, 44.14, 52.83)","(56.77, 51.25, 59.32)"
"(85, 63)","(81, 29)","(73, 24)","(31.29, 57.16, 59.93)","(84.09, 95.53, 92.58)","(74.05, 44.31, 35.20)","(81.95, 62.93, 53.84)","(90.75, 71.70, 62.77)","(73.99, 48.07, 38.70)","(13.58, 42.84, 50.78)","(97.89, 76.92, 67.81)","(30.20, 63.13, 68.10)","(55.49, 65.92, 63.71)","(89.04, 102.25, 99.65)","(86.02, 89.24, 84.43)","(77.67, 69.49, 62.37)","(23.32, 46.01, 48.61)","(71.94, 74.94, 70.18)","(89.00, 71.70, 62.85)","(80.17, 92.22, 89.68)","(14.75, 35.79, 44.44)","(90.40, 66.91, 57.33)","(33.91, 27.20, 25.26)","(64.20, 66.86, 62.53)","(27.25, 52.90, 55.70)","(18.25, 24.98, 29.11)","(40.07, 50.91, 49.69)","(64.42, 73.24, 69.96)","(39.79, 8.45, 15.29)","(74.88, 48.43, 38.96)","(67.97, 81.70, 79.99)","(26.38, 14.96, 23.84)","(60.63, 26.45, 21.35)","(22.20, 55.55, 62.82)","(85.04, 80.44, 74.00)","(70.68, 91.25, 90.80)","(34.72, 68.25, 75.22)","(57.53, 81.27, 82.30)","(90.00, 103.07, 100.16)","(50.94, 33.93, 26.91)","(87.59, 86.16, 80.13)","(36.06, 63.81, 66.93)","(77.86, 64.96, 56.96)","(38.92, 70.63, 75.09)","(84.81, 94.31, 90.95)","(17.05, 23.95, 32.24)","(69.17, 40.22, 31.04)","(45.61, 75.54, 78.78)","(42.52, 13.69, 19.95)","(24.90, 49.89, 52.72)","(38.79, 9.15, 6.18)","(79.63, 60.63, 51.83)","(74.14, 72.00, 66.69)"
"(42, 22)","(76, 54)","(64, 13)","(24.52, 68.78, 32.02)","(43.68, 7.31, 39.43)","(7.79, 47.82, 30.60)","(18.66, 47.55, 9.97)","(75.42, 30.22, 72.96)","(54.94, 38.25, 34.45)","(33.92, 79.77, 52.39)","(20.23, 52.67, 43.51)","(80.02, 42.08, 83.46)","(88.21, 42.88, 84.91)","(76.23, 42.80, 82.05)","(53.88, 32.60, 63.14)","(92.82, 47.00, 88.88)","(40.00, 53.07, 60.18)","(65.53, 42.27, 75.06)","(27.61, 58.30, 50.90)","(23.97, 48.61, 45.34)","(25.37, 39.81, 7.15)","(68.38, 44.87, 78.46)","(65.08, 23.00, 53.89)","(39.72, 42.06, 17.04)","(59.71, 57.89, 76.89)","(18.99, 40.02, 36.57)","(42.99, 63.92, 65.62)","(52.31, 50.04, 68.55)","(84.36, 79.50, 101.94)","(17.82, 54.28, 41.53)","(24.47, 70.25, 35.91)","(18.24, 39.72, 12.06)","(74.79, 68.20, 91.61)","(53.92, 8.10, 47.80)","(66.12, 21.57, 56.43)","(44.16, 41.20, 59.34)","(54.20, 38.13, 65.56)","(90.06, 43.88, 85.68)","(50.64, 58.34, 70.23)","(78.03, 38.05, 79.85)","(73.85, 39.79, 78.95)","(83.53, 43.75, 85.84)","(17.05, 49.36, 39.45)","(20.84, 30.85, 29.67)","(42.55, 9.40, 37.46)","(60.40, 55.20, 76.71)","(69.45, 59.95, 84.75)","(93.87, 49.07, 91.40)","(7.93, 52.66, 31.77)","(38.05, 63.49, 61.18)","(40.88, 13.85, 42.95)","(39.67, 64.40, 62.53)","(57.77, 57.01, 75.35)"
"(93, 62)","(13, 48)","(56, 40)","(9.71, 90.69, 52.44)","(68.20, 53.16, 59.83)","(53.47, 83.78, 43.90)","(40.59, 49.10, 31.08)","(71.08, 14.22, 34.62)","(22.06, 73.14, 30.30)","(50.11, 45.30, 8.26)","(65.30, 48.80, 55.06)","(14.21, 71.20, 33.80)","(27.15, 80.69, 37.03)","(97.46, 35.06, 54.21)","(70.70, 46.64, 30.10)","(83.48, 45.20, 66.26)","(72.06, 21.20, 30.09)","(20.53, 69.10, 27.60)","(53.97, 94.15, 52.81)","(111.37, 50.88, 68.32)","(34.46, 54.22, 12.13)","(83.42, 27.41, 40.45)","(104.77, 39.86, 61.46)","(81.60, 27.79, 38.63)","(52.30, 33.45, 23.46)","(18.42, 76.86, 46.26)","(14.32, 78.85, 37.47)","(51.46, 51.84, 15.14)","(41.53, 83.37, 63.91)","(86.54, 38.79, 43.94)","(66.04, 24.60, 37.84)","(69.20, 47.98, 57.29)","(48.45, 65.98, 26.36)","(55.33, 94.54, 53.51)","(50.16, 36.18, 24.83)","(58.38, 42.42, 16.33)","(51.75, 43.98, 38.77)","(105.36, 42.87, 62.30)","(88.14, 53.88, 48.22)","(53.84, 65.09, 58.00)","(91.01, 53.11, 75.59)","(94.53, 39.25, 70.76)","(45.96, 41.04, 25.90)","(97.80, 23.53, 56.15)","(27.21, 83.31, 56.32)","(15.14, 75.04, 34.04)","(59.27, 47.40, 19.68)","(57.14, 47.38, 17.40)","(64.06, 41.22, 22.10)","(87.83, 47.87, 46.23)","(57.51, 52.64, 51.63)","(71.48, 31.15, 28.44)","(74.60, 64.38, 41.08)"
"(95, 37)","(27, 57)","(22, 39)","(63.01, 84.09, 98.11)","(28.19, 56.10, 52.66)","(59.56, 32.06, 21.12)","(47.05, 34.72, 46.73)","(81.58, 29.17, 48.02)","(100.59, 42.63, 59.39)","(92.69, 44.10, 62.41)","(51.41, 39.63, 53.72)","(68.12, 20.99, 9.30)","(93.75, 23.80, 34.59)","(55.36, 57.42, 45.09)","(87.26, 26.53, 44.06)","(60.45, 19.40, 34.48)","(48.65, 63.50, 76.67)","(59.15, 43.35, 30.34)","(74.20, 33.29, 51.69)","(69.70, 62.83, 79.44)","(54.57, 47.94, 62.84)","(37.99, 91.55, 86.19)","(110.67, 44.75, 57.37)","(47.88, 40.21, 53.55)","(94.27, 41.03, 59.13)","(52.36, 65.64, 54.47)","(51.16, 30.94, 26.28)","(79.04, 22.12, 40.63)","(82.48, 32.50, 14.17)","(75.90, 45.99, 64.16)","(33.85, 86.93, 81.56)","(62.95, 40.34, 56.92)","(44.23, 38.74, 34.15)","(24.28, 73.94, 81.65)","(64.76, 20.47, 37.51)","(75.74, 14.10, 8.90)","(36.96, 38.59, 44.81)","(73.83, 54.71, 72.57)","(67.93, 41.13, 58.55)","(37.56, 58.54, 69.56)","(69.10, 39.23, 22.71)","(58.19, 49.18, 35.93)","(93.04, 27.92, 43.57)","(47.20, 41.32, 54.21)","(9.04, 66.31, 67.95)","(83.91, 17.87, 35.01)","(97.46, 31.09, 25.18)","(62.27, 38.06, 54.75)","(75.42, 52.24, 34.60)","(35.58, 51.76, 46.50)","(73.29, 40.61, 58.93)","(63.87, 57.26, 73.57)","(43.16, 31.79, 37.72)"
"(14, 42)","(83, 11)","(21, 46)","(66.66, 48.52, 59.10)","(34.77, 77.16, 27.54)","(101.25, 87.43, 93.31)","(10.17, 84.14, 13.17)","(90.66, 91.02, 82.76)","(59.10, 112.55, 55.23)","(85.99, 24.86, 79.97)","(24.88, 64.66, 16.89)","(33.74, 61.37, 26.00)","(13.12, 75.75, 19.40)","(49.57, 41.48, 49.03)","(14.21, 82.38, 12.03)","(58.69, 96.87, 52.41)","(44.97, 37.64, 39.10)","(51.05, 28.88, 46.13)","(91.54, 65.67, 83.65)","(41.78, 38.49, 36.91)","(17.59, 88.41, 25.68)","(16.39, 66.54, 9.05)","(85.37, 91.43, 77.81)","(59.81, 68.22, 51.60)","(57.30, 104.46, 52.13)","(80.48, 91.43, 72.88)","(48.65, 38.04, 47.31)","(75.16, 57.02, 67.17)","(87.87, 80.17, 79.99)","(37.66, 56.42, 29.95)","(48.10, 106.88, 44.92)","(80.54, 12.09, 77.02)","(69.53, 60.64, 61.63)","(66.23, 27.66, 59.95)","(49.32, 77.62, 41.97)","(36.67, 43.78, 33.83)","(92.42, 16.85, 87.90)","(80.84, 72.96, 72.88)","(87.02, 12.95, 83.05)","(39.55, 50.74, 32.27)","(16.43, 69.07, 8.39)","(42.13, 99.53, 38.31)","(75.03, 79.96, 67.36)","(75.00, 76.66, 66.96)","(23.51, 79.92, 30.22)","(23.08, 58.23, 17.31)","(41.50, 48.14, 41.22)","(47.05, 32.95, 42.20)","(85.42, 28.23, 79.06)","(60.94, 76.24, 52.92)","(84.13, 64.46, 76.10)","(16.30, 76.68, 9.97)","(87.70, 26.82, 81.61)"
