Anchor_1,Anchor_2,Anchor_3,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50
"(97, 62)","(54, 71)","(93, 78)","(79.28611392834432, 88.07693683265921)","(83.09159650245806, 40.69033358755595)","(90.49681744993504, 21.916033034923565)","(10.069926520295592, 67.75871480664506)","(9.149347945935915e-11, 95.08720139837533)","(61.89429781178401, 14.923685561184264)","(89.69072047442636, 4.872799715951043)","(37.56452143943462, 25.3552493333125)","(29.144181177712742, 85.02541224476442)","(16.015321900188756, 90.46293547607593)","(82.38783872924482, 95.43306721224684)","(58.43855207810731, 64.31924832040482)","(99.99999999949694, 58.25729413615737)","(55.72056387209332, 48.90697054066207)","(6.948062276779715, 63.75005943431964)","(60.443861830168814, 15.918763885893734)","(80.64198835629823, 59.63964449712093)","(9.29301080532241e-10, 7.589646936396716)","(33.004000878076376, 75.21025764516878)","(92.67135760566059, 33.81427682639914)","(67.28748328892745, 82.07637770494252)","(56.27522022842377, 14.951663381304153)","(37.893497489161824, 9.466244934581653)","(5.288704703276087, 15.026336849731809)","(17.977405430138347, 80.62034794277311)","(88.59326864853254, 50.36400034941002)","(7.862550034505494, 47.74630039481361)","(54.665149732084195, 84.07111899102003)","(81.38975496207846, 38.61419836512528)","(14.304789008843244, 35.9021807661465)","(80.19008792553197, 87.99666334926943)","(49.034215564565656, 77.09884862476135)","(12.977575603790198, 62.571498576265604)","(7.091827125549344e-10, 81.93261125941893)","(80.23647988538518, 45.3703631337209)","(57.74236594806774, 99.99999999836002)","(83.37322636579513, 38.64571483401467)","(56.60791507260588, 52.0476810023798)","(19.763786903713935, 12.37104784164002)","(85.50707353271984, 73.86439024143453)","(65.39266998814061, 99.99999999998805)","(37.99536866145695, 23.114804918642236)","(88.82565699282392, 90.47987502235229)","(90.86242361750631, 75.30562023025045)","(88.5606234033324, 52.24749460611412)","(17.863399051556467, 90.91038181546412)","(32.16350968460036, 90.6982491307645)","(8.137692370498751, 77.7934712572961)","(3.945978505419734, 69.8107881282675)","(34.137837506971835, 48.9323354848757)"
"(58, 7)","(63, 17)","(48, 90)","(9.496867785203555, 62.22277001775459)","(42.28158734745304, 44.655827284340695)","(14.4063238556131, 64.3711096304144)","(26.4539126162739, 51.6601899323011)","(7.4651545163803235, 42.58216038774839)","(11.581693124726112, 77.70873522475365)","(21.237042349462286, 37.755030919656626)","(31.343296998726267, 84.0405317587745)","(28.109397670420222, 84.25805079124767)","(75.51743412819948, 1.4675367918331794)","(20.926553698008178, 23.096615621686706)","(7.753528523720682, 82.79842983159907)","(1.6030334278660519, 38.43013353517292)","(4.59557809460876, 62.30176574418219)","(22.75751453492517, 14.5718834404111)","(30.66328972178718, 80.95330255039255)","(69.03215901084239, 42.98621617291291)","(3.3065772342411037e-10, 83.84932424300007)","(69.00694422833185, 10.285514568521336)","(12.905930682499633, 85.06102460176629)","(24.716447275740165, 60.171356145525756)","(2.2269963650956015e-10, 35.686894807820146)","(28.373082606319482, 44.24924220330076)","(29.227411804680624, 49.54789181907792)","(20.41338589076066, 79.83103304188684)","(27.78986240053758, 15.066141536036938)","(36.57577175419008, 64.90301719030913)","(27.675664242059433, 6.365075133629716e-10)","(70.27531499472286, 69.3378464097842)","(68.36404147287308, 22.674837684328754)","(67.89158589869301, 5.485119162163859)","(11.048530915326676, 14.956777482540357)","(3.2544602261770583, 92.1051601615682)","(40.63148314595957, 93.77081500145871)","(31.94550309581613, 44.18156349809602)","(31.929617143592594, 6.381259424149582)","(24.701308259438214, 62.116271631267175)","(29.551553971174716, 69.66157755538146)","(10.917301145539666, 90.23898201650846)","(40.20504391872001, 78.2684343143069)","(67.08926110933326, 4.447469666998572)","(43.905894125012246, 8.485109313118123)","(19.109177566739753, 35.26602152228158)","(25.587362945379542, 94.11285748194933)","(13.136929063128527, 4.718754798817237)","(4.395208046960841, 56.75970730688841)","(7.9827431876035915, 17.9587352776244)","(21.465458812068643, 64.46367631404848)","(77.71205741861522, 33.900579916817286)","(2.4355911499383653, 46.6693794100102)"
"(91, 51)","(47, 97)","(23, 12)","(36.93251001288383, 73.78919334724337)","(69.34614595989538, 56.13059701893658)","(69.94835893562332, 65.85817711872089)","(34.82540873897475, 64.69539817972637)","(72.50388357749938, 98.18376077194173)","(71.39062369235785, 6.90275895493725)","(29.56373130877029, 49.75313504343614)","(48.28929769279551, 35.216085408403075)","(20.68366835672069, 78.36671234627562)","(98.48285917169122, 54.69753949080667)","(74.43854316045815, 35.79640904528756)","(77.88370106595156, 7.063738483026327e-10)","(72.22087535662583, 1.667656792860167)","(25.912948237171257, 89.49865494732305)","(56.30058907319211, 42.20488508350911)","(77.39136605728459, 52.81055961713146)","(1.8644030763681485e-09, 19.72360670648388)","(97.9146688746893, 95.46448712840863)","(3.8241632083213517e-10, 19.212992935251304)","(64.3653860617894, 65.5147644342181)","(86.26218492468479, 72.58971507478978)","(69.63555265894462, 29.624566344596097)","(98.71701594540573, 5.490015431101875)","(43.572562816604055, 67.49472227743117)","(60.983538487424184, 57.02440781918)","(89.09841147352817, 83.54729817295758)","(46.39081270105479, 15.270218806640528)","(94.83900617928516, 97.67514206141617)","(31.420886150693473, 83.06950065140859)","(6.339095914853488e-10, 53.35610094120962)","(99.34236195107998, 29.949648226901004)","(59.88802379207539, 90.00066435881573)","(1.659783421814609e-12, 2.8834985185863413)","(35.17487280307539, 4.275756123485536)","(99.99999999830209, 78.48579695762794)","(12.400100090961724, 98.81655224142784)","(15.060484902899235, 99.99999999956583)","(9.373823427311745, 54.66842687378603)","(63.05172759796943, 0.6736265082132209)","(60.883260038011166, 52.773275508570464)","(97.13146997980932, 25.639503732723867)","(8.342284212043943, 46.49441538355726)","(6.418398283388988, 61.636035119092426)","(4.038433159542104, 93.29313935731352)","(78.81609092644062, 99.9999999991404)","(36.205521207927085, 57.48736685293372)","(50.22725999828078, 8.439212427418392)","(38.9096142823694, 2.0426438318565943e-10)","(19.31486912798851, 54.74475676948494)","(44.29797962235829, 79.31977584565686)"
"(74, 97)","(60, 96)","(62, 80)","(36.716362796813186, 6.963605596517569)","(88.14668027478456, 42.85314120412391)","(57.58220613872061, 39.91268855141754)","(84.26528700407225, 4.155976777439813)","(99.99999999375548, 2.822631017806998e-09)","(13.443674213132716, 7.995046352423907)","(68.19601791540325, 48.93985898703935)","(67.71202686924148, 74.7714351411976)","(21.78130571243417, 20.379520200168038)","(42.90182891650057, 89.17049437032209)","(58.7045213901199, 16.06930849966562)","(91.2585826555479, 25.77125597088691)","(15.452474605633698, 7.918177290089212)","(55.6179226720621, 76.34549976831713)","(71.12436652484156, 16.982677835786053)","(34.40551384697105, 56.618503166962384)","(2.321928473891044, 64.71770383924034)","(26.490840941392012, 61.675348085391114)","(86.13246364755346, 55.27900437425022)","(46.815520123314585, 9.979952300082322)","(82.81761064342679, 38.105958820616095)","(60.69217902640636, 29.811890880556536)","(82.19929742228368, 8.305100570815698)","(23.932829670200423, 67.603229888254)","(87.41960058888667, 56.44214016257817)","(93.43508646974455, 30.86751955242316)","(61.18413790435797, 41.900928427820375)","(95.27728109850435, 5.922651258316591e-10)","(37.530883625138515, 22.044219284958082)","(76.1939287352633, 38.92271464585505)","(27.14629387458461, 77.99830807554898)","(99.99999999999837, 1.2387257886103953e-08)","(11.075856073492385, 98.89707990763652)","(74.33398190330085, 87.49381374440979)","(63.47197187257672, 26.85101214930682)","(17.97946081345485, 94.08747061492005)","(80.05800843648171, 14.993673940042246)","(64.83678630681672, 57.01662644451015)","(90.78743426641071, 50.07614517732849)","(18.884292309647364, 13.773395504860087)","(59.89815115113121, 15.019337386272802)","(88.20083446455129, 42.42290222286582)","(65.84604185936102, 64.86433095896807)","(1.576837756557986, 33.60357370659275)","(68.44380786773281, 67.97643032556527)","(9.25572778462967, 68.8510484851634)","(42.8484389342605, 93.51952020740643)","(2.9707651571628304, 95.89958237621653)","(93.62201559179049, 62.65374022469062)","(86.09480845718583, 50.25316704555095)"
"(23, 97)","(19, 27)","(52, 5)","(84.169976362861, 85.11630880590633)","(42.477380777641265, 77.47033241541438)","(89.10014703838452, 74.91123673053693)","(1.6409096303959814e-11, 65.15655821348892)","(1.9046320618992585, 13.703953109380185)","(44.73447995112684, 87.12748151391285)","(2.979779070223082, 34.85648626252467)","(73.66261642710235, 50.27009628675373)","(16.123164641034617, 16.145397331653093)","(66.78520899089426, 38.22905647015755)","(51.964316734399794, 56.90709050150051)","(58.82519560021567, 52.62987665277825)","(37.85797512714837, 91.93791002010366)","(42.846289808366684, 5.498451746262278)","(27.176645507010118, 55.575698748943566)","(11.860635307289291, 7.500331594049397)","(95.02935856571469, 10.354788297928486)","(31.138509119335943, 85.29081089205069)","(51.593584195064516, 40.58889310908052)","(85.38314883486862, 72.83911068580578)","(75.58479008587436, 34.06258085590041)","(36.97019549653419, 24.07527708741562)","(81.30526371588098, 65.73675250704379)","(8.327634436441622, 34.70222055845314)","(72.2133054558808, 85.20122185837108)","(73.68342420490143, 61.651427269032254)","(18.850058910936973, 70.0117502835406)","(31.08199176351527, 58.92431924729782)","(38.11703385821176, 92.26067055395212)","(60.7758838637409, 45.57320199313208)","(51.06674762559322, 75.2997471083543)","(7.52924227999493, 59.970181913059264)","(3.0931923689081486e-10, 30.017199388662462)","(74.53094938932084, 21.4794243732023)","(0.3205306111762396, 55.72892549403839)","(24.247802448832612, 31.292519015238152)","(3.8882664349697063, 52.661296276317934)","(1.2983934166335587, 66.20138250755765)","(9.172662629453043e-11, 55.68320019988796)","(56.70993962422297, 29.562600582451857)","(50.63374505042816, 43.55430194831008)","(10.192097643073383, 48.52997913140392)","(91.26519825174407, 31.683282380285316)","(2.99257760091895, 12.81826413472022)","(98.27115759857116, 68.57105755654334)","(90.32235184215868, 61.73801891757162)","(58.734870237832624, 29.39560055649921)","(69.79061109758074, 34.09330877545)","(95.11298574280033, 84.97529716554315)","(49.3488829346827, 68.08661088299526)"
"(61, 85)","(29, 71)","(48, 39)","(33.38502010170797, 54.71150108691655)","(37.58729942838981, 17.959395633822027)","(45.86865979411762, 30.916050654948435)","(45.32248328330627, 64.86163151800356)","(97.30913641926418, 1.5581585723276892)","(98.628689745129, 24.614813075223946)","(4.931000052721402e-10, 53.61061731554696)","(10.591534690484817, 20.362250679771744)","(96.89390212093127, 36.85282179399432)","(99.99999999953941, 30.666461539537526)","(44.915390136827895, 28.948440799387125)","(32.99483701632358, 61.72966866721394)","(44.08769573133654, 69.47203054403867)","(43.051763029594454, 67.14078186306855)","(18.62777556184711, 48.20396817800208)","(34.65600293872105, 8.987559210126644)","(26.078814496876397, 86.56612607973807)","(65.63930102465673, 54.183957945943895)","(10.04169614874701, 44.95149581395182)","(61.38180564928592, 35.21321201376369)","(56.14648229198311, 60.459782210658645)","(25.94943610316214, 40.46274763443729)","(74.51168523535974, 72.32445156477563)","(27.930346222239066, 8.323273957565508)","(57.40974476006484, 58.27766977682038)","(66.75433280913354, 80.45971148111123)","(5.012752790455, 35.968768315865724)","(74.18527048346054, 99.7092382832066)","(55.35360730693171, 94.36779404306256)","(40.47278322788731, 11.974508428649845)","(84.13354845678612, 51.08831206967071)","(90.43293733017845, 98.67646505317865)","(10.717315258571213, 65.40202785164027)","(11.080618234828894, 86.81691483583333)","(53.37761477079379, 40.04386924585397)","(30.52133713475823, 15.905173530204674)","(77.99488901032583, 42.72727914792815)","(93.11592568481369, 2.2669581545371686)","(59.40999868306642, 4.954611748835125)","(41.253464781106366, 52.03904389549889)","(36.17796609325638, 8.940845983186046)","(48.768128428140514, 99.22569344399894)","(94.33140457646275, 3.412926006664768)","(87.2932005129193, 61.94137828977062)","(32.484127073416715, 7.073290193960707)","(37.40353387929803, 49.356401134321814)","(68.82427828272888, 39.444167716483626)","(8.071321389024888e-10, 82.0870591610074)","(9.071150618066753, 89.07956993713917)","(99.99999999966558, 27.91590514940474)"
"(58, 16)","(71, 98)","(20, 31)","(96.79779131379362, 48.334034997967514)","(99.7809020330493, 99.28864930597831)","(64.07662891040431, 10.842229303122863)","(84.11964261228329, 21.364715138891494)","(54.38992630610366, 66.9868857966317)","(80.4151747201641, 65.61575785527532)","(99.99999999975671, 44.51119347834446)","(39.21180493633185, 56.48101887978358)","(29.237103057489165, 3.663515342174084)","(2.626657187409731, 65.86824062257301)","(41.09647425465135, 59.43191132519262)","(92.78994034221985, 59.60760882476698)","(17.03321072187659, 38.64260426568199)","(8.00706599406213, 11.041964613585103)","(99.99999999850485, 75.61875360375652)","(27.577173007923463, 32.99875520585913)","(96.05292138252646, 94.98422905750992)","(18.165071772591823, 56.095721149812704)","(34.16981783994794, 50.33387877356654)","(42.19903579260651, 98.24119418266919)","(4.05659702733499, 7.001857343314111)","(4.844402656800639e-10, 89.66891710167877)","(16.321192217010456, 45.69269683927519)","(22.47474613683772, 41.28153820562082)","(94.8235428595803, 59.70328071657046)","(40.26061468993319, 57.2976998937144)","(89.94245980422355, 79.15576480416759)","(63.32127204737279, 65.79855538357751)","(88.86940387784048, 83.42462967642179)","(61.57009486764622, 22.34529251944955)","(44.58851287782657, 26.090538680932447)","(92.88550826082515, 58.47853745599397)","(85.09710206123926, 21.64790538488707)","(25.898530404714183, 91.81610894602647)","(40.05685132998186, 80.25654740203309)","(12.57726349216966, 75.28590444774967)","(99.99999999990244, 2.2061685811536336e-09)","(28.356013702834403, 74.73380372977948)","(44.27718938277585, 50.841940023257)","(10.917801282072409, 96.5180436511688)","(63.28720383016007, 58.63811777633212)","(44.115920426783504, 73.96894839059166)","(69.56045132756051, 21.301378553149096)","(75.11833724097399, 98.14060333147707)","(38.15054005277361, 99.9999999997582)","(11.894758023322643, 28.503733508970818)","(11.048008693076921, 10.671213596537644)","(13.526602746358362, 70.2007802919836)","(20.17379450568083, 51.199990974784235)","(95.94486276395995, 96.19512551402009)"
"(29, 39)","(96, 13)","(94, 31)","(72.3894465067894, 10.393926680238552)","(2.191212884887955, 61.882198708393034)","(1.6252443835185204e-09, 2.6688096177451825e-10)","(50.95478224667498, 56.26266714054137)","(91.79173346282589, 13.315293794995236)","(10.614230013934034, 21.665901679526094)","(44.85798166743491, 22.994811472915323)","(79.39370249788857, 41.18001205663566)","(60.169614347007574, 82.51071702841264)","(56.248970898141124, 7.132405777099393e-10)","(24.72526360369437, 30.382732567244418)","(77.64987883239056, 99.9999999987005)","(65.44007414771552, 75.60465709992789)","(34.2564487745974, 74.23885024024108)","(2.127764173515634, 48.62906332159327)","(97.86301287159381, 40.741541586228166)","(29.163067559695104, 4.4853010194856324e-10)","(21.85193892231807, 27.963055937897767)","(71.9375540510064, 22.348617938159187)","(7.157172101374587, 50.80124788450363)","(82.05923364087504, 36.13473962563373)","(92.8269554593828, 2.7175867694247957)","(99.99999999966182, 81.18736552932641)","(99.99999999928103, 17.325631088090077)","(68.14019203271478, 11.37056150851552)","(76.29723686247665, 12.549202438174062)","(3.731237541160226e-10, 8.336624057747599e-07)","(8.22913377547662, 11.809656463423362)","(71.83769948511495, 99.99999999979687)","(77.58543376694709, 91.16638480995624)","(99.35850390442133, 64.82043417489753)","(42.42689683932449, 74.49869064606602)","(50.804896132200426, 81.36339868546601)","(40.42227589195519, 80.1131253061196)","(24.31240460499793, 5.298671556215573)","(63.93418807275051, 12.925284861735992)","(98.54067728041707, 59.84057642771005)","(59.636451847555264, 51.436691793810574)","(77.02967043842293, 0.16196446862244418)","(23.925051673214377, 23.593607714134496)","(13.922958440291888, 23.221939941177126)","(79.38478032477545, 10.769559142990515)","(3.6492586730219045e-09, 1.7389071173489035)","(53.0112024669293, 96.35267288053444)","(25.261707387273336, 15.14570626580905)","(5.973943605957882, 15.217756860029308)","(90.92635475193198, 7.193079465395158e-10)","(8.34639579672114e-09, 3.370081991249663e-11)","(25.80431556871945, 36.24781938157342)","(2.1632142721077385, 6.631466395307617)"
"(33, 80)","(47, 58)","(54, 23)","(22.976968377997046, 27.50187257213266)","(9.158673819342766e-10, 72.73669992094085)","(19.249533076903298, 66.03941603009693)","(1.9209636687907317, 29.227724220438578)","(7.591854922495145e-09, 53.51626477003477)","(21.363699201600113, 34.38514212084074)","(42.82227604636747, 47.32144430279374)","(30.586220882590155, 69.4535205904721)","(14.662846134274965, 67.18023669347416)","(7.519451142524219, 54.83382062528107)","(36.120431654682584, 34.48133212649359)","(28.861019204677763, 10.110921088416013)","(43.14365894282081, 9.05491045371366)","(1.986100173212435e-09, 44.36311645543167)","(15.379859128619133, 55.63244166184684)","(7.440825733340262e-10, 23.73950032815739)","(13.60162392324719, 3.4518148958674058)","(8.107752282718812, 80.04860044882794)","(34.888291968923276, 6.149386555520664e-09)","(4.273367162579528, 36.16083552409998)","(33.747926783608804, 2.1765982919160765)","(1.5366707906139254e-09, 49.56827540647724)","(23.412142094990283, 5.825173676754503e-10)","(0.7759293826280989, 27.29533606781689)","(2.7565264368884126, 78.2422619650878)","(14.621731953200046, 90.45865485236637)","(31.664407595561922, 65.61474556618879)","(1.6338261299431167e-07, 74.35182937391495)","(31.562806591248492, 38.37532541762113)","(1.0115241977359801e-09, 87.29092596499908)","(3.4261456430752233, 74.60635899067537)","(22.062575307520483, 74.2084544982973)","(42.23274970422564, 86.16950380704719)","(18.502424426815367, 61.75667512379005)","(9.875444984654502, 15.294425583497546)","(1.2454370867942544e-09, 24.931579182273577)","(37.2038454280251, 62.56072639104377)","(47.13008011426798, 21.697774034350665)","(29.69185268945571, 10.247013754345252)","(1.8258955458705373e-08, 28.911283743229426)","(5.441432970855809, 95.36831161437257)","(35.92128424777488, 35.541010790888365)","(52.59914873039608, 15.052098845384021)","(38.902206579436324, 5.69749802892261e-10)","(12.256126535778645, 18.571265590680646)","(48.13586374218657, 16.14653967534642)","(5.986258254089188, 23.827007104153353)","(8.6218028804738, 90.57760727263494)","(30.075168668615603, 97.23977773937283)","(42.16779513898138, 37.97211991178753)"
"(37, 93)","(40, 54)","(39, 28)","(88.43583267665308, 11.34830532437841)","(4.400010539159377, 78.42401633508851)","(19.953403501515982, 13.960162591643282)","(70.21039314545693, 2.405236085835588)","(92.01371804828298, 35.104947942559384)","(38.085893651760635, 3.986876988925342)","(10.060521137046536, 46.25939947416761)","(1.7364165660893605e-09, 68.05548853214363)","(3.9527138145777183, 73.70023793828612)","(52.68810738651207, 8.331990582842636)","(57.731878656626165, 33.14518729318926)","(52.02762579221627, 14.233413875673612)","(97.08576530477305, 49.87205024681535)","(22.057406012208467, 94.08252452481838)","(64.19452303710236, 9.998498332829826)","(94.97488842091681, 96.04100634926638)","(80.87313234601197, 29.64348122299715)","(5.923065107074038, 51.628177832200336)","(12.414149982435424, 69.13483219880656)","(27.77264895371303, 76.3670535160363)","(98.18935094845693, 62.94524705299322)","(0.6172367595226103, 76.42345501424256)","(24.692102594790384, 81.83401778501921)","(10.7982487712302, 54.99395593232883)","(92.16304207822148, 55.526044052071136)","(5.69938439795234, 89.25680865886109)","(22.985262157573207, 35.91539355207135)","(13.328726755603448, 40.23178275100229)","(10.490921157657901, 49.679906256980686)","(1.2818579531170826e-09, 99.64643245222369)","(5.555826965134236, 69.16838222027957)","(34.449407732244694, 7.823132661616883)","(43.967613837728756, 11.114803254285832)","(28.114628594266257, 87.60650365737078)","(53.626146480479974, 4.142459027949958)","(55.9885180064838, 35.104683386249945)","(87.67567850328575, 16.897779649610417)","(24.319549280187157, 55.17536694648292)","(2.341810079187212e-09, 99.99999971670323)","(0.011961406464072732, 47.29618525195534)","(28.40960698842675, 48.4955986936648)","(4.300338130986992, 99.25488542170275)","(88.12241913470208, 32.25530431177028)","(99.99999999656515, 59.102102190565084)","(57.51283346506355, 31.122887841032785)","(28.926843126444368, 54.37325372208854)","(50.0597272464337, 33.869450697131896)","(12.588553039403545, 57.06303353536322)","(17.009059598146404, 90.16015262727163)","(46.713186801322735, 32.579511105735406)"
