Anchor_1,Anchor_2,Anchor_3,Node_1_Ranges,Node_2_Ranges,Node_3_Ranges,Node_4_Ranges,Node_5_Ranges,Node_6_Ranges,Node_7_Ranges,Node_8_Ranges,Node_9_Ranges,Node_10_Ranges,Node_11_Ranges,Node_12_Ranges,Node_13_Ranges,Node_14_Ranges,Node_15_Ranges,Node_16_Ranges,Node_17_Ranges,Node_18_Ranges,Node_19_Ranges,Node_20_Ranges,Node_21_Ranges,Node_22_Ranges,Node_23_Ranges,Node_24_Ranges,Node_25_Ranges,Node_26_Ranges,Node_27_Ranges,Node_28_Ranges,Node_29_Ranges,Node_30_Ranges,Node_31_Ranges,Node_32_Ranges,Node_33_Ranges,Node_34_Ranges,Node_35_Ranges,Node_36_Ranges,Node_37_Ranges,Node_38_Ranges,Node_39_Ranges,Node_40_Ranges,Node_41_Ranges,Node_42_Ranges,Node_43_Ranges,Node_44_Ranges,Node_45_Ranges,Node_46_Ranges,Node_47_Ranges,Node_48_Ranges,Node_49_Ranges,Node_50_Ranges
"(97, 62)","(54, 71)","(93, 78)","(29.21, 28.65, 15.65)","(23.60, 40.31, 36.40)","(38.64, 59.20, 54.08)","(85.21, 42.11, 81.61)","(100.58, 57.01, 93.06)","(57.01, 54.59, 68.43)","(55.58, 72.95, 71.11)","(67.74, 46.49, 74.28)","(69.57, 26.42, 62.29)","(83.82, 40.71, 75.95)","(34.44, 35.61, 18.60)","(37.48, 6.71, 34.48)","(2.83, 46.32, 18.97)","(41.48, 20.22, 45.00)","(88.01, 45.71, 85.33)","(56.85, 53.46, 68.00)","(16.03, 28.16, 19.21)","(109.59, 80.72, 114.62)","(63.35, 19.42, 58.08)","(26.48, 51.66, 42.01)","(33.12, 15.65, 25.00)","(60.21, 54.08, 70.83)","(77.23, 61.85, 86.05)","(101.07, 72.35, 106.02)","(79.08, 35.17, 73.03)","(12.73, 38.47, 25.50)","(88.12, 49.65, 88.26)","(45.62, 11.18, 37.22)","(26.40, 40.36, 38.90)","(84.77, 50.99, 87.24)","(28.60, 29.53, 14.76)","(48.08, 5.83, 42.05)","(82.00, 40.02, 79.62)","(96.88, 53.15, 92.05)","(22.02, 34.71, 32.70)","(53.04, 29.61, 39.66)","(25.24, 41.73, 38.33)","(39.81, 17.46, 42.44)","(89.89, 65.86, 96.33)","(15.56, 32.06, 8.60)","(47.51, 29.55, 33.60)","(68.80, 48.38, 75.66)","(27.51, 38.01, 11.18)","(14.32, 37.22, 3.61)","(11.40, 37.58, 23.54)","(82.28, 39.45, 74.15)","(68.94, 27.59, 60.21)","(88.28, 44.41, 83.01)","(91.35, 48.01, 87.37)","(62.17, 27.66, 63.51)"
"(58, 7)","(63, 17)","(48, 90)","(71.70, 68.01, 45.61)","(39.81, 31.78, 44.05)","(73.54, 62.39, 40.85)","(53.00, 48.10, 42.05)","(60.00, 59.03, 60.44)","(82.68, 77.47, 36.40)","(50.80, 39.82, 58.00)","(79.70, 72.09, 15.65)","(82.49, 72.11, 19.03)","(16.49, 17.80, 90.80)","(44.20, 34.48, 71.84)","(89.04, 83.87, 38.83)","(62.77, 62.97, 67.36)","(75.01, 71.84, 49.65)","(34.21, 38.01, 77.49)","(78.31, 68.03, 17.72)","(35.13, 25.08, 49.73)","(97.69, 86.54, 48.51)","(7.81, 10.77, 77.16)","(88.19, 82.42, 33.54)","(63.89, 52.89, 36.40)","(63.95, 64.85, 71.59)","(46.04, 41.77, 47.76)","(49.74, 44.60, 42.72)","(80.06, 73.78, 27.31)","(35.36, 26.93, 77.70)","(60.17, 52.39, 25.71)","(32.56, 31.38, 98.41)","(61.52, 51.09, 28.43)","(16.28, 6.32, 68.25)","(8.00, 10.44, 84.93)","(45.89, 50.01, 81.86)","(99.32, 94.02, 43.01)","(86.49, 77.88, 6.32)","(43.91, 38.90, 46.57)","(29.83, 24.19, 85.42)","(62.65, 57.01, 34.41)","(68.88, 58.31, 25.81)","(96.05, 85.15, 35.44)","(71.85, 63.06, 12.04)","(7.07, 15.00, 82.05)","(17.72, 13.00, 82.54)","(46.23, 45.19, 59.93)","(92.44, 82.10, 21.02)","(43.01, 49.24, 90.25)","(75.47, 64.35, 53.49)","(49.48, 53.04, 80.53)","(69.26, 58.24, 35.36)","(31.38, 20.25, 61.74)","(66.40, 65.30, 60.81)"
"(91, 51)","(47, 97)","(23, 12)","(56.46, 25.30, 63.06)","(22.56, 46.53, 63.66)","(26.08, 38.83, 70.18)","(55.54, 34.48, 53.85)","(49.24, 24.02, 96.75)","(46.96, 90.96, 47.10)","(59.03, 50.29, 38.08)","(45.54, 61.01, 34.66)","(72.80, 31.24, 65.00)","(6.40, 64.54, 84.72)","(22.20, 64.47, 56.36)","(53.16, 101.24, 54.34)","(51.08, 96.05, 48.66)","(73.06, 21.02, 76.16)","(35.90, 54.74, 45.28)","(14.14, 53.25, 67.80)","(94.87, 88.84, 23.77)","(43.29, 49.09, 109.79)","(94.24, 89.19, 22.47)","(30.41, 36.24, 67.01)","(21.19, 45.22, 84.86)","(29.83, 68.31, 49.24)","(44.41, 102.96, 74.17)","(48.70, 30.07, 59.24)","(30.59, 42.38, 58.90)","(31.26, 42.72, 94.85)","(56.61, 79.03, 22.80)","(45.04, 46.01, 109.34)","(64.88, 19.85, 70.86)","(91.02, 64.38, 47.01)","(20.88, 82.80, 76.40)","(49.58, 14.21, 83.67)","(101.07, 102.86, 23.09)","(71.22, 90.80, 13.00)","(27.20, 55.71, 100.00)","(89.69, 33.00, 85.48)","(88.20, 30.07, 87.21)","(79.06, 55.44, 43.42)","(56.08, 95.19, 40.02)","(30.07, 46.17, 55.90)","(24.33, 84.88, 73.55)","(80.16, 62.43, 36.06)","(82.61, 52.35, 50.96)","(94.37, 41.30, 81.79)","(50.96, 30.15, 103.25)","(53.34, 41.00, 47.43)","(58.00, 86.02, 26.02)","(72.84, 97.33, 20.00)","(69.07, 49.74, 42.01)","(53.00, 18.03, 70.84)"
"(74, 97)","(60, 96)","(62, 80)","(95.46, 89.99, 75.27)","(53.85, 58.18, 43.60)","(57.57, 54.08, 38.33)","(91.44, 92.89, 76.92)","(118.22, 109.77, 97.42)","(105.68, 97.53, 84.88)","(46.39, 45.71, 29.61)","(21.19, 20.25, 5.83)","(90.70, 82.73, 69.89)","(30.08, 16.55, 19.24)","(80.41, 78.01, 62.07)","(71.06, 74.73, 59.54)","(104.56, 96.60, 83.76)","(25.50, 18.25, 5.39)","(78.06, 77.78, 61.66)","(54.45, 44.94, 34.06)","(76.56, 63.53, 59.67)","(57.20, 45.97, 38.01)","(41.48, 46.32, 32.53)","(89.19, 85.00, 69.63)","(57.56, 60.17, 44.72)","(66.29, 64.01, 48.01)","(87.28, 88.53, 72.53)","(56.08, 44.05, 37.95)","(40.80, 46.04, 32.56)","(66.76, 71.12, 56.30)","(54.57, 52.01, 36.01)","(97.67, 100.24, 84.50)","(81.39, 75.29, 60.93)","(56.04, 57.28, 41.44)","(48.47, 35.36, 33.02)","(109.08, 101.55, 88.32)","(61.01, 47.04, 52.20)","(8.25, 13.89, 13.45)","(68.88, 67.07, 51.01)","(54.08, 40.05, 44.27)","(80.22, 81.49, 65.52)","(39.05, 37.34, 21.21)","(47.76, 53.25, 39.60)","(97.91, 89.89, 77.10)","(81.22, 79.00, 63.03)","(54.57, 58.59, 43.83)","(31.05, 29.61, 13.60)","(94.26, 83.49, 74.20)","(27.66, 27.20, 11.66)","(68.54, 55.47, 51.97)","(29.27, 15.30, 21.40)","(69.01, 55.00, 59.20)","(37.59, 45.25, 34.00)","(46.32, 50.61, 36.24)"
"(23, 97)","(19, 27)","(52, 5)","(60.42, 84.96, 84.50)","(26.40, 52.92, 72.18)","(68.01, 82.66, 77.37)","(37.74, 41.23, 77.47)","(84.17, 19.21, 49.03)","(26.25, 55.36, 89.59)","(63.32, 15.81, 55.47)","(67.18, 56.86, 48.85)","(79.10, 9.00, 35.47)","(71.85, 46.32, 35.11)","(48.55, 41.73, 51.09)","(55.80, 44.65, 47.17)","(13.89, 65.00, 86.68)","(90.71, 31.62, 8.06)","(42.19, 29.12, 55.90)","(88.46, 18.68, 38.21)","(110.89, 75.71, 41.44)","(14.32, 56.01, 84.31)","(62.65, 32.70, 35.13)","(65.00, 78.24, 73.82)","(80.43, 54.45, 35.81)","(74.15, 17.26, 24.84)","(64.50, 71.02, 65.80)","(61.98, 11.40, 50.61)","(48.76, 76.49, 81.02)","(60.00, 62.13, 59.14)","(27.07, 43.42, 70.38)","(39.46, 32.57, 57.78)","(16.40, 60.67, 92.13)","(62.68, 42.95, 40.45)","(33.97, 55.23, 69.12)","(38.60, 33.73, 68.01)","(69.26, 17.46, 56.36)","(89.59, 53.24, 26.25)","(45.19, 32.65, 70.04)","(66.01, 6.40, 38.21)","(46.49, 28.23, 65.12)","(35.85, 41.44, 77.01)","(47.89, 33.84, 72.14)","(74.73, 35.06, 24.08)","(59.51, 33.12, 38.21)","(48.66, 22.36, 57.49)","(92.63, 70.18, 45.80)","(84.93, 19.10, 47.85)","(78.55, 87.24, 76.84)","(74.30, 76.92, 66.57)","(75.58, 37.05, 24.33)","(93.86, 28.32, 52.01)","(71.20, 93.41, 89.01)","(37.80, 48.26, 62.29)"
"(61, 85)","(29, 71)","(48, 39)","(38.29, 16.55, 20.81)","(68.95, 51.79, 21.47)","(54.12, 41.63, 6.32)","(25.61, 17.09, 26.17)","(89.16, 95.46, 60.00)","(69.12, 81.54, 50.70)","(66.65, 31.91, 48.38)","(79.81, 51.87, 39.81)","(58.01, 73.79, 47.01)","(64.20, 80.06, 52.24)","(56.32, 43.08, 8.54)","(34.06, 10.00, 27.29)","(23.35, 15.13, 30.27)","(25.46, 14.56, 28.44)","(53.81, 23.41, 28.79)","(78.43, 60.30, 30.87)","(33.00, 14.04, 50.16)","(30.07, 37.58, 21.93)","(62.63, 30.23, 36.67)","(48.01, 46.01, 12.17)","(25.00, 26.93, 22.80)","(54.20, 29.02, 20.22)","(17.03, 43.01, 40.80)","(81.54, 61.00, 34.67)","(26.68, 28.64, 21.19)","(5.83, 36.14, 44.01)","(72.25, 40.50, 41.05)","(17.69, 51.62, 64.08)","(9.22, 33.42, 53.46)","(73.76, 58.25, 25.96)","(39.12, 56.30, 36.40)","(30.46, 65.39, 71.03)","(52.00, 17.09, 43.60)","(48.01, 21.93, 58.60)","(48.33, 32.31, 7.28)","(73.41, 53.04, 27.02)","(43.66, 54.20, 28.44)","(86.73, 91.97, 56.22)","(78.03, 70.68, 33.84)","(36.72, 22.80, 14.87)","(78.11, 60.41, 30.46)","(16.97, 32.80, 58.01)","(86.16, 91.93, 56.40)","(33.24, 56.72, 43.57)","(80.99, 62.13, 33.54)","(39.96, 22.83, 14.42)","(44.41, 48.41, 19.10)","(60.21, 29.41, 62.37)","(50.09, 24.76, 61.40)","(66.85, 81.12, 51.79)"
"(58, 16)","(71, 98)","(20, 31)","(48.84, 54.13, 76.16)","(91.24, 27.00, 102.83)","(5.83, 85.38, 46.62)","(25.00, 75.80, 62.51)","(50.09, 35.78, 49.50)","(53.49, 32.56, 66.89)","(50.22, 59.94, 80.23)","(42.54, 52.43, 31.89)","(29.73, 100.72, 26.93)","(72.18, 73.79, 37.16)","(44.60, 48.83, 35.47)","(54.41, 42.49, 75.77)","(43.91, 78.75, 7.00)","(48.17, 105.44, 21.47)","(71.85, 36.24, 90.43)","(34.48, 77.94, 8.25)","(85.91, 23.35, 97.19)","(53.76, 65.95, 24.02)","(39.66, 60.22, 24.08)","(81.22, 27.07, 69.29)","(52.61, 111.02, 26.93)","(91.83, 70.71, 60.08)","(48.60, 74.25, 14.04)","(40.80, 74.03, 10.30)","(55.61, 43.42, 77.62)","(43.08, 51.04, 33.30)","(69.35, 24.84, 82.42)","(50.09, 33.53, 53.91)","(72.62, 21.21, 84.02)","(7.07, 75.95, 39.81)","(17.03, 75.61, 25.32)","(53.60, 43.38, 75.39)","(25.96, 75.95, 63.51)","(79.85, 43.74, 59.54)","(63.79, 34.41, 52.33)","(72.20, 60.93, 43.29)","(44.27, 100.28, 85.09)","(63.07, 47.17, 43.42)","(36.40, 54.59, 31.40)","(90.92, 58.08, 64.38)","(43.10, 40.26, 49.65)","(57.07, 35.38, 49.09)","(11.40, 75.11, 47.68)","(82.38, 2.24, 84.65)","(85.91, 31.06, 71.84)","(45.88, 89.50, 6.32)","(45.18, 103.73, 20.25)","(67.62, 62.18, 38.21)","(48.80, 67.88, 19.24)","(86.82, 23.19, 97.84)"
"(29, 39)","(96, 13)","(94, 31)","(50.61, 23.02, 27.02)","(33.30, 103.77, 94.87)","(47.41, 112.00, 100.34)","(26.08, 60.21, 48.30)","(68.01, 4.24, 15.03)","(24.52, 87.66, 76.97)","(21.10, 51.24, 47.10)","(49.04, 30.00, 17.09)","(51.40, 76.06, 59.64)","(46.40, 40.52, 47.01)","(8.25, 73.36, 65.00)","(76.84, 88.07, 70.09)","(49.52, 67.54, 51.04)","(33.54, 84.86, 71.85)","(26.57, 98.43, 91.59)","(67.00, 26.00, 8.25)","(38.05, 66.10, 69.78)","(12.04, 76.16, 67.05)","(46.17, 25.94, 21.84)","(22.83, 94.54, 87.10)","(52.47, 24.21, 13.04)","(71.59, 8.94, 26.08)","(81.49, 66.12, 48.37)","(74.04, 6.40, 14.32)","(46.65, 27.07, 29.68)","(53.23, 19.24, 22.67)","(45.54, 107.17, 94.87)","(34.06, 91.44, 79.08)","(73.82, 89.29, 71.47)","(69.31, 78.34, 60.44)","(73.05, 50.04, 32.25)","(35.85, 79.31, 65.44)","(45.65, 79.88, 64.44)","(40.80, 85.15, 70.84)","(32.14, 70.26, 72.11)","(42.19, 31.26, 32.20)","(70.60, 45.01, 27.17)","(31.05, 50.25, 38.48)","(60.00, 21.47, 32.76)","(14.32, 71.02, 68.26)","(19.85, 80.75, 78.31)","(56.80, 16.03, 22.02)","(46.53, 103.25, 90.00)","(60.01, 91.71, 75.17)","(22.09, 69.12, 68.45)","(31.14, 88.05, 87.30)","(72.40, 14.32, 31.26)","(48.37, 113.60, 102.08)","(2.24, 72.11, 66.27)","(42.19, 98.31, 85.21)"
"(33, 80)","(47, 58)","(54, 23)","(51.62, 36.40, 29.61)","(37.12, 43.38, 74.97)","(17.80, 26.25, 53.60)","(61.98, 45.10, 53.74)","(48.66, 45.34, 70.38)","(49.65, 27.66, 35.23)","(34.99, 8.94, 27.17)","(9.49, 17.03, 51.26)","(20.62, 31.32, 57.49)","(33.97, 37.12, 54.41)","(44.41, 23.41, 19.85)","(68.07, 49.04, 26.40)","(69.87, 47.10, 15.62)","(52.01, 43.42, 64.01)","(28.30, 29.07, 48.84)","(65.38, 53.16, 66.60)","(77.13, 61.91, 42.95)","(23.02, 42.54, 71.22)","(80.60, 54.67, 28.86)","(55.08, 39.62, 52.80)","(78.24, 52.40, 28.28)","(49.09, 43.01, 66.21)","(86.83, 60.96, 34.79)","(64.20, 47.04, 54.49)","(30.61, 42.20, 76.06)","(19.24, 43.84, 76.16)","(13.34, 14.21, 47.54)","(34.13, 42.72, 75.43)","(43.84, 19.24, 27.86)","(49.98, 51.09, 78.43)","(30.53, 39.85, 73.17)","(11.40, 25.18, 60.83)","(8.94, 28.43, 60.42)","(21.63, 26.31, 51.09)","(70.83, 49.04, 45.18)","(65.97, 50.36, 59.41)","(18.44, 8.25, 43.93)","(58.24, 34.06, 5.10)","(68.03, 48.70, 25.50)","(62.13, 51.26, 67.01)","(29.53, 53.81, 85.15)","(43.42, 22.47, 20.52)","(66.31, 40.80, 6.40)","(79.40, 57.31, 25.55)","(62.94, 50.33, 40.11)","(64.40, 38.63, 7.07)","(60.42, 51.09, 46.04)","(24.70, 48.27, 79.32)","(15.30, 40.72, 75.89)","(42.95, 17.46, 18.25)"
"(37, 93)","(40, 54)","(39, 28)","(94.34, 62.37, 50.29)","(33.54, 40.80, 59.36)","(78.64, 42.49, 21.63)","(94.58, 57.80, 38.42)","(77.83, 53.14, 51.62)","(87.00, 48.09, 22.09)","(53.54, 26.68, 33.60)","(54.59, 46.84, 60.31)","(37.12, 37.20, 57.14)","(83.60, 45.88, 21.63)","(60.64, 26.25, 17.09)","(78.26, 39.56, 16.97)","(72.20, 55.15, 60.17)","(13.04, 41.23, 66.91)","(84.65, 49.24, 28.60)","(56.04, 67.01, 86.05)","(73.93, 47.17, 39.01)","(51.09, 30.00, 40.46)","(33.30, 27.80, 48.76)","(17.26, 22.80, 48.26)","(66.19, 56.72, 66.89)","(38.01, 43.05, 60.00)","(14.87, 28.86, 54.59)","(45.61, 25.18, 38.95)","(64.64, 50.04, 58.18)","(30.07, 45.80, 68.94)","(58.24, 21.40, 16.64)","(57.25, 25.94, 27.78)","(49.24, 27.29, 34.06)","(40.31, 57.49, 79.65)","(37.64, 35.34, 51.40)","(83.29, 44.18, 18.68)","(80.02, 41.30, 15.52)","(8.49, 33.14, 59.14)","(88.46, 49.73, 26.08)","(58.25, 23.43, 16.12)","(89.59, 58.41, 48.05)","(39.92, 12.17, 30.87)","(45.18, 60.11, 81.30)","(58.05, 36.22, 43.05)","(45.35, 9.43, 22.85)","(31.40, 55.61, 77.39)","(77.47, 50.57, 47.27)","(69.84, 58.22, 66.65)","(62.59, 27.80, 16.49)","(39.56, 8.06, 28.46)","(58.86, 20.25, 10.63)","(42.80, 23.54, 39.20)","(18.44, 40.82, 64.20)","(59.30, 20.22, 7.21)"
