Anchor_1,Anchor_2,Anchor_3,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50
"(97, 62)","(54, 71)","(93, 78)",(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0)
"(58, 7)","(63, 17)","(48, 90)",(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(64.77653896280658),(0.0),(37.48332962798263),(0.0),(70.71067811865476),(0.0),(0.0),(0.0),(0.0),(31.400636936215164),(0.0),(96.17692030835673),(13.152946437965905),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(59.53990258641679),(0.0),(60.00833275470999),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(53.33854141237835),(0.0),(0.0),(69.87131027825369),(0.0),(14.142135623730951),(29.017236257093817),(0.0),(40.44749683231337),(0.0),(92.07062506576133),(0.0),(55.731499172371095),(0.0),(0.0)
"(91, 51)","(47, 97)","(23, 12)",(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0)
"(74, 97)","(60, 96)","(62, 80)",(0.0),(0.0),(0.0),(0.0),(95.00526301210897),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0)
"(23, 97)","(19, 27)","(52, 5)",(0.0),(0.0),(0.0),(0.0),(0.0),(38.3275357934736),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(25.179356624028344),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(70.77428911688199),(0.0),(0.0)
"(61, 85)","(29, 71)","(48, 39)",(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0)
"(58, 16)","(71, 98)","(20, 31)",(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0)
"(29, 39)","(96, 13)","(94, 31)",(0.0),(0.0),(81.30190649671138),(0.0),(0.0),(42.44997055358225),(0.0),(0.0),(0.0),(0.0),(15.524174696260024),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(79.2464510246358),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(82.96987405076617),(0.0),(0.0),(0.0),(0.0),(81.15417426109393),(0.0),(76.92203845452875)
"(33, 80)","(47, 58)","(54, 23)",(0.0),(71.30918594402827),(0.0),(93.30058949438637),(87.84645695758026),(52.49761899362675),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(0.0),(91.18113840043894),(0.0),(108.25894882179486),(0.0),(0.0),(48.08326112068523),(84.75848040166836),(50.28916384272063),(88.02272433866155),(61.18823416311342),(96.46242791885346),(56.462376853972415),(0.0),(0.0),(65.0),(30.364452901377952),(82.22530024268686),(58.309518948453004),(21.02379604162864),(17.88854381999832),(0.0),(86.33075929238663),(103.46496991735899),(0.0),(0.0),(0.0),(104.69479452198185),(0.0),(0.0),(7.280109889280518),(0.0),(0.0),(12.649110640673518),(0.0),(0.0),(0.0),(0.0)
"(37, 93)","(40, 54)","(39, 28)",(0.0),(0.0),(36.0),(0.0),(0.0),(0.0),(53.009433122794285),(85.0),(64.07027391856539),(0.0),(32.0),(23.0),(0.0),(26.019223662515376),(47.01063709417264),(0.0),(79.02531240052139),(62.03224967708329),(47.042533945356304),(0.0),(0.0),(0.0),(19.026297590440446),(0.0),(0.0),(59.07622195096772),(27.0),(47.01063709417264),(0.0),(77.00649323271382),(0.0),(9.0),(8.0),(11.045361017187261),(0.0),(28.0),(0.0),(25.019992006393608),(0.0),(74.02702209328699),(16.0),(0.0),(0.0),(0.0),(32.0),(16.0),(0.0),(48.041648597857254),(0.0),(0.0)
