Anchor_1,Anchor_2,Anchor_3,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50
"(97, 62)","(54, 71)","(93, 78)","(78.99846226818514, 84.99971150341403)","(82.9994309937505, 43.00109163807108)","(89.99659692401274, 24.0016185019962)","(12.00084928758945, 68.00734251465306)","(0.999348229528535, 92.00233709661087)","(61.99724407646448, 16.998385504749404)","(89.00867471449341, 6.9996628797123925)","(39.00401594988855, 26.994158536436295)","(30.99977367029347, 83.99990310016683)","(18.006463803436013, 90.02372117150456)","(82.0009016767968, 93.00086219209004)","(60.0024525385312, 67.99966616563209)","(98.9971218095778, 60.000392085643824)","(57.00156567964899, 51.00290699803013)","(8.995762104667321, 63.007719453545384)","(61.00035604205982, 18.000218079841424)","(81.00030326905329, 62.99922279277563)","(3.035349749325178e-11, 11.00181504614423)","(34.9974890963287, 75.00086701613817)","(91.99562122426336, 35.9994672273493)","(67.9994420835996, 77.9963112642557)","(56.99438804413794, 17.00320275857582)","(39.010245882824535, 10.9940721576944)","(7.011594564320261, 15.984557720352349)","(19.99687438465818, 79.99315114231021)","(87.99832856632062, 52.99675631479667)","(9.998725267995567, 47.996748597003105)","(55.99655987766015, 81.9999212422333)","(80.99910445289538, 40.99948920709226)","(15.998396097435364, 36.999899007262094)","(80.00224421013822, 84.99853279064278)","(50.99979557499815, 75.99754601478702)","(14.999982191500555, 62.02154140807615)","(0.9993274810887909, 75.01210974616237)","(79.99843651710849, 48.00016595534133)","(59.99679515824603, 99.99690845903157)","(83.00318384385527, 40.99654720216054)","(57.998940167574744, 54.00305349226141)","(20.995044728209255, 14.007505055832592)","(85.99847878355152, 73.00455542543581)","(66.0019275666142, 98.00313694050953)","(38.99430398632807, 25.0069447233351)","(87.99780139926028, 87.99692088966361)","(91.00080113833089, 74.99908384279193)","(88.00316456628556, 54.99730517221151)","(20.000564833406088, 91.00663529065501)","(34.000840363789145, 90.00454015482107)","(9.995837246829659, 76.96836188085757)","(5.9996496528926695, 69.97948315447857)","(35.998132841189395, 49.99876634289227)"
"(58, 7)","(63, 17)","(48, 90)","(11.999773608150877, 61.99597576944704)","(49.99017961953041, 45.99531205159808)","(85.99632664179771, 74.99985821841705)","(30.00046053794475, 51.9976452171099)","(10.001732609506824, 42.99913541252306)","(13.99955686414457, 77.00196720159987)","(24.199998032912934, 38.360476101218396)","(34.00227943311588, 83.00103993530998)","(30.451537717478338, 83.09607821868117)","(73.99752816435506, 3.0022317874351554)","(23.471722504773147, 24.174881739004483)","(10.00274909110585, 81.999494458199)","(3.9978314323619535, 38.998160820289975)","(6.998368429186624, 62.000669559599345)","(24.999492822382123, 16.0032649679117)","(33.63497628689437, 79.91118040677225)","(61.00677866765187, 42.0009420285403)","(0.6126886681621091, 81.95180735159657)","(65.71412098599826, 10.741904375125417)","(15.001005700921588, 83.99903410005717)","(77.00026025613317, 68.0013683800744)","(0.999109704263279, 35.99875404770777)","(32.003364759881315, 44.9985182235371)","(32.9984795146771, 50.000467253771596)","(23.002919210888003, 79.00184058269662)","(30.054709478265135, 16.490052300233316)","(42.00113142693243, 65.00047521997571)","(30.12551902477182, 3.93529653308633e-10)","(66.00588560277642, 67.99909965835053)","(61.009862351816565, 22.9997863396108)","(65.9999630870841, 6.999824961242457)","(13.000543540312993, 15.999210231058337)","(5.001500472926046, 90.99858530180329)","(42.003943920053786, 91.9971877366551)","(35.99984070387028, 45.00233608063368)","(33.86838059347052, 7.916810330555974)","(27.99867667707418, 61.99999372442653)","(69.00206003912287, 74.99793626997146)","(12.879458001754562, 89.01930534571294)","(47.01129144753693, 78.00161630146263)","(64.84304277030188, 5.862846497170803)","(45.888767592028984, 10.768502529626078)","(22.00001412295568, 36.00365689159695)","(27.316349482238582, 92.64966316885443)","(15.003063484719775, 5.998792285058036)","(6.973951575210319, 56.74341603907729)","(9.997560278674749, 19.00078179518857)","(24.40956612647608, 64.26135282976946)","(73.99705729608796, 34.000008401766635)","(5.000457579041445, 47.00107055429991)"
"(91, 51)","(47, 97)","(23, 12)","(39.00131466443604, 72.9968775817659)","(69.0028871281088, 56.00230437693885)","(68.99866461469641, 65.00315296516028)","(37.00274998308518, 63.99933246094488)","(71.00168613422875, 95.99912521536037)","(70.00361325968268, 8.996122486017926)","(32.003846626604435, 48.99909880884663)","(48.00351448722532, 35.9993388586832)","(23.00122257151001, 77.00003477341727)","(95.99975897566078, 54.994879225500384)","(73.00101616856824, 38.005614067559065)","(75.99836009366109, 0.001214919577563478)","(70.99829313623592, 3.9976452006398655)","(28.00292870538838, 87.9975430574069)","(56.000950339199086, 43.00466974574739)","(76.99954937613577, 53.0021736179505)","(0.9988231735333308, 20.99734367377132)","(95.99974817226062, 94.00219168874654)","(2.0028363884425913, 19.995239738216835)","(64.00481378275944, 64.99862155131983)","(83.9959045570951, 70.99822159185356)","(67.99963464696424, 31.998989819860626)","(97.00123643372804, 6.9969646762205855)","(45.003925008089645, 66.99904245519592)","(61.00365670458666, 56.99991963566242)","(87.00098598291288, 82.0030115070903)","(45.000720005442865, 17.996758333425856)","(92.99918996448247, 95.99580284578724)","(34.003307927222295, 81.99866641575929)","(0.0019701351427370284, 53.000363353382305)","(96.99950810338065, 31.00064320085696)","(57.996375017407054, 87.99945123239262)","(1.000183416687428, 4.999973785370715)","(34.999142539472786, 6.9970111708925256)","(98.99533591579475, 76.99813401560627)","(14.002703258286363, 97.00342769669817)","(17.000378478793927, 99.0011166880412)","(11.998292592153458, 54.00429787509948)","(61.996269177308285, 3.0005268612157074)","(60.99617123975265, 53.00203072425703)","(95.00468118038341, 27.00052785513417)","(10.994450722240344, 46.00121909969438)","(8.996469653721784, 60.99754682502555)","(6.003513307503078, 92.00434048136295)","(77.00149892090771, 99.99999999948818)","(37.998141571065865, 56.99836987425978)","(48.99981687021301, 11.002236460562242)","(38.997132060938625, 8.091860514980453e-11)","(21.996060408630054, 53.999523093755606)","(46.000687752100255, 78.9999351243294)"
"(74, 97)","(60, 96)","(62, 80)","(37.023149229896845, 8.993359678015633)","(88.00248532997745, 45.002337496657)","(56.979758277672246, 42.002680407335)","(83.00994186238269, 6.0049820530865325)","(99.99999999905947, 4.828631938735839e-09)","(14.00430123536352, 9.997015458957886)","(67.99752804294585, 50.99958940747478)","(66.9991866609836, 76.99917201068087)","(22.970605012329987, 22.019869309287003)","(44.99985129981558, 89.00916874298035)","(59.018406534783644, 17.998606466901812)","(91.00957340027362, 28.006189829502397)","(15.992989513990247, 10.00616262815382)","(56.99486987882534, 77.99880729889554)","(70.98166349349577, 18.998394980798743)","(35.98806759116623, 58.013055996327914)","(3.9925438674938087, 66.0117480423895)","(28.010688953742935, 62.98656292307832)","(85.0114164828909, 57.00961238914135)","(46.96471589953519, 12.008114951888466)","(81.9958818369853, 39.99734124058144)","(60.99238005218377, 31.999000700389267)","(81.00391398288971, 10.001022577245378)","(25.999776564618326, 67.99570000916493)","(86.00940270101965, 58.00837998252031)","(92.99501399661077, 32.99874766136356)","(60.99994020988827, 44.00154238386114)","(91.98965757603325, 1.001111587516823)","(38.038765694038965, 23.982935881738754)","(75.99331005136403, 40.99588573457053)","(28.99535540196917, 79.00001686825976)","(16.97681879595202, 4.014478177680303)","(13.00014911242417, 97.99545696385368)","(71.99628475544539, 88.99770908058031)","(63.029566938604134, 28.999363094228634)","(20.00167800259902, 93.99914510401055)","(80.01584491214079, 17.005955252022282)","(65.0037760989034, 59.00031360431201)","(90.00208154724024, 52.0021535540222)","(18.97581006896239, 16.01745256051143)","(59.970086195112025, 17.001215370519247)","(87.00333751280402, 44.00236315957301)","(65.99208352824131, 67.00074422209461)","(3.023397473096845, 34.97345697249612)","(67.99486367382482, 70.00018786108913)","(11.001366441491012, 70.00001803465076)","(45.0008691725921, 92.99909260701067)","(4.998710139827928, 95.98390388574228)","(91.99874607747566, 64.00110500173271)","(85.02048613472253, 52.00940019367035)"
"(23, 97)","(19, 27)","(52, 5)","(82.00440171465324, 83.994815171028)","(38.9948816121239, 75.99778316213938)","(87.00119723428543, 73.99837854511877)","(2.994113958183331, 64.9982617080862)","(3.999975933225308, 15.001358921612573)","(41.38087466656908, 85.05381210687193)","(6.0037825662852375, 36.00367530724301)","(71.00150311562534, 50.00140912747663)","(18.998459569604425, 18.000645826962163)","(63.99700529171333, 37.9955445319643)","(49.004786686634624, 56.001948109710334)","(55.994798140159176, 52.000357962953615)","(34.997644876545976, 89.99863033064395)","(44.99876135010347, 8.998299530112707)","(27.001789024035567, 54.999453219115004)","(14.000184159473717, 9.000248429412167)","(93.00194898967713, 10.999219400019106)","(19.995405087454504, 82.9997574344946)","(49.004094508513305, 40.00184887580841)","(83.0010607620613, 71.99813224129008)","(73.00041781844644, 34.002969816392756)","(35.996887892812346, 23.99796720718274)","(79.00124658473977, 65.00174435136776)","(12.001045323432391, 36.002798551092454)","(69.99803928558657, 84.00069547926303)","(71.00107347993257, 61.00296883684234)","(25.01605283802174, 70.00272743254455)","(28.99010517214995, 57.99926102175527)","(35.00395071341501, 89.94199213287831)","(57.99668832602062, 45.00145279156511)","(48.00168921930731, 74.00341456570986)","(11.998098069103563, 59.99909220036329)","(2.0006205484365216, 31.00122748592762)","(72.00353979158923, 21.99895248637887)","(3.995570447047619, 55.99987803291617)","(23.99781708503919, 30.99762747294924)","(7.993019172884891, 52.99793375461378)","(4.99367787285675, 66.00038895306515)","(6.009193143086122e-10, 54.999225940722994)","(54.00121848074153, 28.999932721758313)","(48.0005938709932, 42.99817017661793)","(15.000864050271323, 49.00099207254391)","(88.99806182196939, 32.00056839585916)","(5.004895469653708, 13.999648057522679)","(96.00186540150038, 67.9977406619277)","(87.99656146296734, 60.99954548616191)","(55.9951296622983, 29.001028289756537)","(65.37565919880647, 34.32961872190361)","(93.00293379434147, 84.00220573768658)","(45.9984729572925, 67.00090713901646)"
"(61, 85)","(29, 71)","(48, 39)","(35.996986030171314, 56.00070732205108)","(38.00374420994459, 19.998518053758392)","(46.00454749350414, 33.0011469424997)","(45.00292822118105, 64.99920331514785)","(95.994847141986, 2.995290933657796)","(97.0021068684388, 25.99855798525901)","(2.0014934205907, 53.991785259728296)","(12.006180293877588, 21.994616456677424)","(94.99909851600592, 37.99789529081734)","(99.99999999908627, 34.00392998712855)","(45.00168477747373, 31.001892942231322)","(35.00019174858953, 62.997357491911075)","(43.995281312651265, 69.00182682383722)","(42.99834662620112, 66.99633928707726)","(21.003474037557364, 48.99993978807801)","(35.00585880005661, 11.000304346666606)","(28.000634943396303, 85.00263159255655)","(63.00179204748117, 54.996380336066906)","(12.002380427830367, 45.99712281692429)","(60.003398795989746, 37.001586071463635)","(54.00341563932221, 60.997214987901884)","(28.004569291774995, 41.99855952592705)","(71.99784104143083, 71.99671790173855)","(29.000520527226325, 10.000296314839796)","(55.004828419563914, 59.00052045313456)","(64.00027106859281, 79.99991162331733)","(6.999300485178095, 36.99805061868467)","(72.99231032635004, 98.00515299367403)","(54.99857396093969, 91.99963468641377)","(41.00603373422256, 14.000719294648606)","(81.99888926416563, 51.99602395080027)","(88.99528838866868, 97.00558813899607)","(12.999488785431524, 64.9986146811494)","(13.000567446052463, 85.99920227461281)","(41.00084825272242, 41.0017398542434)","(31.001024686919216, 17.99817230839393)","(75.99646410607602, 43.99739898256423)","(91.99709037428133, 3.9974753678465316)","(58.98807783227189, 6.995514601293207)","(42.99176930672519, 52.99962025936467)","(36.009155775488495, 10.997705189533614)","(48.998778683278665, 96.99955321961265)","(93.0002131431096, 5.003654274537395)","(85.00203820885962, 62.004290236556145)","(33.006283855667895, 8.999722083088969)","(40.00547154425941, 50.99938554487453)","(66.99405911604484, 40.99757826616119)","(0.9988656130689777, 79.99784514330186)","(10.999757837939667, 88.00026239113198)","(99.00090490414577, 30.00291615523724)"
"(58, 16)","(71, 98)","(20, 31)","(94.00278831047189, 49.00112218347128)","(98.0005057637143, 98.00517718548772)","(63.0001325008525, 12.996076150222141)","(81.99776463442892, 23.002661291004067)","(55.001890342951576, 65.99898670504675)","(77.00372767017379, 65.99909866082167)","(98.99912088563919, 45.00154423982221)","(41.00377874210345, 54.997306407738)","(30.00419684096719, 5.998664332069836)","(5.000469783262174, 64.9989653684326)","(42.99755257785854, 58.00068998380715)","(90.00410140445358, 59.9984961158581)","(19.997334577899917, 37.998875527675104)","(9.995984773575673, 12.001437020325795)","(99.00498386222777, 74.99925546663758)","(28.002047617818665, 32.99599110547361)","(94.00505043670495, 94.00109952160076)","(20.996957518895876, 54.99909031029296)","(35.99787820894966, 48.99727098952529)","(44.00255723328175, 96.0024720072209)","(6.002759352101883, 7.994430463836788)","(1.00070019603134, 87.99763430609967)","(18.99984913087282, 45.00202450872799)","(25.003534644119053, 39.99846314969074)","(92.00251779758773, 59.99936038431856)","(41.999808222937965, 55.99857180830278)","(86.99973539473164, 78.99778124894885)","(61.004225675829126, 65.99766397318415)","(85.99640703338261, 83.00308977956408)","(58.99829300447942, 23.00170865992836)","(45.001274669103836, 27.00097206994184)","(89.99734850451505, 59.00113446846842)","(83.00105680280127, 23.00280500695026)","(27.99808787671867, 89.9998759350642)","(42.99936459531571, 78.00236023717572)","(14.997335032909225, 73.99847108088674)","(99.99836927735974, 2.0043425734223796)","(31.001170491405226, 73.00080517599721)","(44.999758426840174, 49.99934876688855)","(12.996960091694493, 94.99934819638945)","(61.00390283063098, 58.99766727391834)","(47.00214855428698, 71.99973220699401)","(67.00250493385275, 22.995658934712676)","(73.00484885684355, 97.00145686847219)","(40.003372603259116, 99.9999999998706)","(14.001868854216553, 28.999115609603077)","(12.997735107563624, 12.000416832235333)","(15.9995861909426, 68.99755828074359)","(22.99838996158372, 50.00486483132837)","(93.99662603050594, 95.00714414847893)"
"(29, 39)","(96, 13)","(94, 31)","(73.00162816457485, 13.99555428142466)","(3.995513747878837, 60.992670517232185)","(4.782835238970051e-09, 3.9994474398952207e-08)","(51.00184449626736, 53.003595258744085)","(93.00464309061157, 16.002493966980385)","(12.71748041538901, 22.45467266702223)","(46.99759127228326, 27.98401026140499)","(77.99856675094712, 36.99936539474561)","(59.999642662523875, 79.99989268851613)","(57.00081030669335, 2.00087664242079)","(27.009668035235425, 31.511593679295956)","(77.00635961265033, 98.99809850400203)","(65.0002957149858, 73.00343257223288)","(34.99952124840371, 71.99836723524683)","(4.000921219775333, 47.99746723276378)","(96.0004594153546, 39.0018378093009)","(30.997475765594174, 1.0023341447007783)","(29.999623611982447, 50.998980172060705)","(72.99955196476171, 24.999856067353004)","(8.999870778464958, 50.005080627012454)","(80.99997146222084, 32.00310498031557)","(92.00250001702219, 5.000034351593063)","(99.99843869487376, 78.99783600680969)","(99.9986300161548, 17.997033355478653)","(69.00301028694764, 14.999195583310488)","(77.00012079437784, 16.000009239534744)","(1.3561762823854906e-09, 3.566330028386655)","(26.997015192035185, 73.00080818040944)","(72.00149150032635, 99.00233173539903)","(76.99863272278024, 89.00010919511251)","(97.99469472267768, 63.00091795940982)","(43.00033074212189, 72.00295800554383)","(51.00182186939889, 78.99823930246225)","(40.99371516355514, 77.99747161970099)","(25.998514661828786, 7.000994927071103)","(64.99991221328405, 17.00308547148705)","(96.99509368712931, 58.001655689299284)","(59.00225085491719, 47.000995166436006)","(76.99985865726859, 2.9981938832475183)","(26.002548210561276, 24.99771011177398)","(16.002971983822356, 23.996952868623573)","(80.00217444836876, 14.00128300188958)","(5.020872606564808e-09, 5.04889901359526)","(52.99758179248326, 94.0029031486898)","(26.996315096486455, 17.001172246351537)","(7.999524242057704, 16.006144626635866)","(89.99701292830417, 9.166889469724993e-10)","(8.137934770502397e-10, 6.918410289102894e-10)","(28.00064837798747, 36.995592221699646)","(4.090696265275656, 7.479688458463968)"
"(33, 80)","(47, 58)","(54, 23)","(25.003368967459107, 29.001037798791927)","(0.016762572408746124, 70.33400324683016)","(22.00165077910127, 66.00300047319244)","(3.8157934685113415, 30.336780282316404)","(7.981670879786407e-10, 54.16697364046726)","(23.89346990441348, 35.54418399045058)","(51.01146063193751, 50.00589292152239)","(35.9908834307833, 70.99299506043495)","(16.997968375051187, 66.99720124598383)","(9.9991097305688, 55.003414036914066)","(38.99901776659663, 35.99857758048353)","(30.0026810539594, 11.997664323438768)","(44.0006708879578, 10.99885431867429)","(2.324113124174687e-09, 46.02907728878641)","(17.998483660617755, 56.00338217849987)","(2.031769197330391e-09, 27.182310273302534)","(15.004420726221973, 4.998720549499319)","(10.002928938174843, 79.00254558010853)","(36.21500265685999, 1.5115564755130373)","(6.433739553407985, 36.84128681376031)","(34.43066473499335, 4.015939348291026)","(2.1695756302619884e-09, 50.582794743389755)","(27.242878717237872, 2.9633018261421284e-09)","(2.759714742570324, 28.366057004997703)","(4.653888218229213, 77.2828781740052)","(15.99530830239524, 88.99821225917093)","(36.005967387254934, 67.00306121903704)","(2.0308126330481735, 73.46384449136855)","(34.67303113154727, 39.86907854198341)","(1.2394363313461554e-08, 77.60816189696)","(5.4652491031400015, 73.752421733554)","(24.58593520986647, 73.79105211995048)","(41.00748712523075, 83.90147162746338)","(20.998363507865058, 62.003454537891535)","(11.554019342636968, 16.679026353579406)","(3.9321540468151284e-08, 27.671408010909815)","(45.00290441707933, 66.00159823527102)","(48.99869606726697, 23.99956156058832)","(30.994754120595005, 12.00198372403628)","(1.2395073856197314e-08, 32.00843398028056)","(7.004214758152926, 94.00403111648819)","(38.999973562262944, 36.99993211414867)","(52.35245505697003, 16.994666971938493)","(41.000425316324346, 1.0044268692764702)","(14.002816873810703, 19.995677861154228)","(48.875094762713786, 18.454342273167402)","(8.003186130038708, 24.993337249423337)","(9.995950064548431, 88.9948349541353)","(30.00735663002644, 95.00230381726877)","(50.99509780138833, 41.00190056635637)"
"(37, 93)","(40, 54)","(39, 28)","(87.00093552721856, 13.000525546597608)","(7.002748949770798, 77.99725006436924)","(57.47335214245829, 16.298188991746578)","(69.00029871957108, 3.999462211013255)","(89.99711224251297, 36.000408616077536)","(37.01654171869107, 6.0006224044361955)","(12.615559163549284, 46.77041358241814)","(2.2381096975720993e-09, 66.58425974671684)","(6.353482109458675, 73.21195687184694)","(27.00711799537583, 9.99891986942178)","(55.37476943508055, 34.10298300917135)","(27.52746853341188, 15.780877157212947)","(95.00324500776813, 50.00466428630192)","(24.06136120327632, 92.6532104749934)","(62.782127094508446, 11.545205394404906)","(93.00503296142084, 94.9947375902276)","(78.82287509364387, 30.578541684540383)","(8.289674407930303, 52.162825982249174)","(14.992567896490439, 68.89396940272384)","(34.01355068236327, 76.00070995738078)","(96.00146601917028, 63.00118409430918)","(3.0007950888865045, 76.00328710924474)","(28.473108184086758, 80.9858180564408)","(65.00194585799366, 56.99869707785841)","(90.00058294190984, 55.99676096973657)","(7.6815924499813, 88.1915009070236)","(25.555396041646116, 36.93924015371455)","(15.696038872213613, 41.242803825363936)","(13.003040895593138, 50.00415355795755)","(1.5236867323409342e-09, 96.8097135713285)","(8.002418353971336, 69.00166728727166)","(35.01543071208113, 9.862625649952522)","(42.99921375587312, 13.006141873223449)","(31.757424415935386, 86.38401112678554)","(53.00670715450646, 6.0006020271418326)","(53.39945324534089, 36.03066213067181)","(85.99635350840732, 17.99640640804291)","(27.204188399178125, 55.31685659612341)","(82.00324039375406, 96.99718647671173)","(2.3465629957820253, 47.91945690011486)","(31.610065815429124, 48.86760703868447)","(6.000726724587996, 98.00356753427255)","(86.0043482638142, 32.999341964584595)","(98.00411688710075, 58.99721823890381)","(55.31917129800401, 32.10066509111721)","(31.625167670977273, 54.61195638581954)","(47.00161459073953, 34.997491336160905)","(15.236484352106938, 57.37954382359221)","(18.99839137682023, 89.00388953101199)","(42.99326308451883, 34.00319862920461)"
