Anchor_1,Anchor_2,Anchor_3,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32,Node_33,Node_34,Node_35,Node_36,Node_37,Node_38,Node_39,Node_40,Node_41,Node_42,Node_43,Node_44,Node_45,Node_46,Node_47,Node_48,Node_49,Node_50
"(77, 0)","(47, 69)","(56, 44)","(90, 91)","(36, 53)","(58, 4)","(38, 35)","(53, 84)","(92, 3)","(15, 42)","(77, 29)","(72, 97)","(23, 31)","(78, 31)","(100, 31)","(22, 93)","(11, 14)","(57, 72)","(79, 5)","(62, 1)","(12, 49)","(99, 84)","(38, 71)","(87, 61)","(75, 99)","(44, 32)","(79, 35)","(5, 6)","(20, 83)","(30, 63)","(2, 47)","(23, 79)","(40, 31)","(17, 8)","(74, 66)","(52, 72)","(85, 5)","(3, 88)","(27, 91)","(97, 49)","(86, 64)","(57, 92)","(82, 85)","(12, 69)","(100, 11)","(47, 11)","(100, 81)","(72, 46)","(5, 23)","(27, 81)","(55, 45)","(11, 94)","(57, 79)"
"(65, 86)","(80, 51)","(87, 22)","(11, 97)","(14, 53)","(5, 50)","(73, 29)","(30, 3)","(43, 61)","(40, 41)","(27, 74)","(54, 40)","(100, 37)","(57, 75)","(77, 47)","(9, 32)","(84, 13)","(48, 23)","(79, 32)","(90, 32)","(72, 84)","(7, 22)","(11, 44)","(9, 56)","(7, 34)","(45, 88)","(64, 95)","(20, 34)","(51, 27)","(44, 77)","(80, 100)","(59, 47)","(41, 96)","(73, 18)","(16, 24)","(36, 57)","(36, 63)","(90, 34)","(24, 95)","(3, 57)","(99, 43)","(31, 21)","(64, 27)","(75, 61)","(29, 42)","(67, 26)","(23, 99)","(38, 57)","(22, 42)","(51, 17)","(28, 25)","(18, 63)","(57, 21)"
"(89, 70)","(74, 29)","(95, 92)","(58, 50)","(15, 85)","(78, 62)","(72, 82)","(40, 87)","(34, 16)","(62, 32)","(10, 58)","(0, 51)","(18, 32)","(65, 55)","(29, 47)","(67, 37)","(76, 12)","(39, 8)","(32, 85)","(37, 48)","(8, 42)","(73, 16)","(32, 100)","(41, 48)","(39, 87)","(16, 89)","(92, 11)","(53, 89)","(21, 91)","(85, 14)","(3, 33)","(7, 0)","(87, 48)","(44, 19)","(94, 93)","(20, 55)","(5, 45)","(96, 44)","(46, 92)","(1, 35)","(16, 94)","(39, 89)","(11, 52)","(50, 62)","(9, 0)","(26, 34)","(19, 68)","(30, 74)","(37, 31)","(17, 28)","(9, 18)","(42, 27)","(9, 36)"
"(78, 22)","(48, 51)","(72, 98)","(81, 76)","(4, 55)","(42, 54)","(6, 91)","(37, 73)","(75, 57)","(93, 4)","(33, 63)","(52, 70)","(93, 71)","(23, 34)","(76, 9)","(56, 98)","(17, 33)","(42, 90)","(79, 78)","(16, 13)","(80, 55)","(59, 60)","(18, 25)","(23, 15)","(93, 6)","(70, 72)","(35, 71)","(5, 27)","(6, 59)","(79, 77)","(11, 22)","(45, 54)","(16, 70)","(96, 90)","(53, 64)","(53, 3)","(40, 18)","(76, 41)","(78, 72)","(18, 85)","(70, 1)","(45, 78)","(23, 23)","(62, 27)","(0, 55)","(44, 6)","(27, 20)","(41, 16)","(42, 21)","(36, 35)","(37, 95)","(13, 73)","(43, 86)"
"(78, 70)","(38, 76)","(60, 82)","(12, 68)","(21, 16)","(54, 19)","(85, 52)","(20, 20)","(20, 84)","(46, 66)","(58, 40)","(51, 34)","(9, 99)","(85, 97)","(10, 33)","(56, 6)","(67, 9)","(13, 38)","(9, 1)","(1, 54)","(37, 81)","(63, 45)","(24, 59)","(43, 11)","(59, 93)","(85, 81)","(48, 68)","(51, 33)","(25, 24)","(69, 48)","(99, 31)","(83, 53)","(87, 69)","(72, 86)","(93, 63)","(48, 95)","(17, 7)","(69, 75)","(14, 72)","(20, 94)","(50, 77)","(6, 98)","(77, 39)","(52, 80)","(3, 35)","(8, 83)","(34, 41)","(32, 74)","(35, 73)","(40, 57)","(52, 92)","(43, 34)","(44, 27)"
"(85, 63)","(81, 29)","(73, 24)","(62, 81)","(6, 85)","(50, 0)","(22, 14)","(14, 10)","(41, 6)","(96, 67)","(11, 2)","(77, 90)","(32, 70)","(3, 92)","(1, 64)","(14, 37)","(65, 70)","(15, 60)","(13, 14)","(10, 85)","(97, 59)","(23, 0)","(60, 43)","(23, 58)","(64, 77)","(74, 51)","(47, 64)","(23, 70)","(86, 25)","(42, 4)","(22, 83)","(89, 39)","(76, 5)","(94, 81)","(4, 44)","(27, 100)","(98, 93)","(42, 98)","(2, 92)","(49, 30)","(0, 52)","(62, 88)","(18, 27)","(71, 97)","(4, 80)","(90, 49)","(51, 5)","(62, 100)","(91, 23)","(65, 74)","(74, 28)","(24, 15)","(14, 50)"
"(42, 22)","(76, 54)","(64, 13)","(37, 0)","(74, 49)","(39, 27)","(56, 13)","(87, 80)","(95, 23)","(14, 7)","(29, 35)","(72, 94)","(95, 90)","(64, 93)","(52, 73)","(100, 92)","(25, 56)","(50, 85)","(22, 38)","(31, 41)","(65, 18)","(50, 88)","(97, 53)","(79, 14)","(25, 77)","(41, 39)","(14, 52)","(31, 71)","(13, 99)","(29, 31)","(32, 2)","(58, 21)","(22, 92)","(82, 55)","(95, 58)","(38, 64)","(46, 74)","(99, 89)","(21, 66)","(76, 90)","(65, 90)","(76, 96)","(33, 34)","(52, 38)","(74, 47)","(29, 79)","(29, 88)","(95, 97)","(36, 23)","(15, 46)","(64, 54)","(14, 47)","(25, 75)"
"(93, 62)","(13, 48)","(56, 40)","(100, 65)","(35, 94)","(86, 11)","(55, 69)","(25, 50)","(84, 44)","(54, 34)","(36, 89)","(81, 60)","(91, 37)","(10, 15)","(43, 15)","(17, 91)","(28, 36)","(80, 49)","(97, 10)","(3, 0)","(65, 45)","(21, 24)","(4, 11)","(23, 24)","(43, 57)","(83, 75)","(90, 50)","(58, 27)","(77, 98)","(24, 13)","(29, 64)","(32, 90)","(71, 21)","(97, 9)","(45, 60)","(48, 28)","(45, 75)","(5, 8)","(33, 0)","(54, 96)","(12, 99)","(3, 84)","(49, 63)","(3, 29)","(85, 86)","(86, 51)","(51, 23)","(52, 25)","(44, 24)","(29, 5)","(44, 88)","(33, 27)","(54, 1)"
"(95, 37)","(27, 57)","(22, 39)","(98, 98)","(71, 26)","(38, 29)","(59, 64)","(31, 84)","(16, 96)","(29, 99)","(61, 73)","(29, 38)","(9, 69)","(51, 7)","(22, 81)","(43, 64)","(83, 82)","(41, 18)","(41, 85)","(70, 100)","(66, 81)","(97, 1)","(0, 90)","(63, 70)","(24, 96)","(59, 2)","(46, 35)","(29, 77)","(15, 29)","(49, 95)","(94, 5)","(55, 83)","(53, 31)","(99, 59)","(41, 69)","(22, 46)","(63, 51)","(59, 99)","(52, 87)","(82, 70)","(30, 20)","(44, 13)","(15, 80)","(64, 70)","(88, 37)","(21, 72)","(0, 46)","(54, 81)","(28, 7)","(64, 24)","(47, 90)","(69, 93)","(56, 50)"
"(14, 42)","(83, 11)","(21, 46)","(77, 57)","(34, 68)","(98, 95)","(10, 49)","(81, 100)","(16, 99)","(97, 29)","(35, 51)","(43, 55)","(12, 31)","(44, 5)","(15, 54)","(37, 94)","(56, 34)","(60, 25)","(98, 73)","(52, 30)","(0, 35)","(28, 45)","(74, 100)","(62, 74)","(26, 96)","(68, 99)","(47, 9)","(83, 66)","(86, 89)","(48, 53)","(12, 88)","(81, 1)","(76, 69)","(78, 36)","(46, 77)","(43, 23)","(97, 6)","(82, 82)","(89, 2)","(51, 48)","(27, 48)","(16, 82)","(71, 88)","(73, 85)","(6, 22)","(35, 40)","(37, 10)","(56, 26)","(97, 33)","(58, 81)","(90, 73)","(22, 54)","(99, 30)"
