"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 28 17:19:24 IST 2024","Tue May 28 17:19:24 IST 2024","1","","test_example_03","","test_example_03","","test_with_logs_03",""
"passed","Tue May 28 17:19:24 IST 2024","Tue May 28 17:19:24 IST 2024","30","","go_test_10","","go-test","","TestSubtract10",""
"passed","Tue May 28 17:19:24 IST 2024","Tue May 28 17:19:24 IST 2024","40","","go_test_02","","go-test","","TestDivide02",""
"passed","Tue May 28 17:19:24 IST 2024","Tue May 28 17:19:24 IST 2024","32","","test_example_09","","test_example_09","","test_add_09",""
"passed","Tue May 28 17:19:24 IST 2024","Tue May 28 17:19:24 IST 2024","0","","test_example_07","","test_example_07","","test_with_allure_07",""
"passed","Tue May 28 17:19:24 IST 2024","Tue May 28 17:19:24 IST 2024","30","","go_test_02","","go-test","","TestAdd02",""
"passed","Tue May 28 17:19:24 IST 2024","Tue May 28 17:19:24 IST 2024","0","","go_test_06","","go-test","","TestWithAllure06",""
"passed","Tue May 28 17:19:24 IST 2024","Tue May 28 17:19:24 IST 2024","32","","test_example_10","","test_example_10","","test_multiply_10",""
"passed","Tue May 28 17:19:24 IST 2024","Tue May 28 17:19:24 IST 2024","30","","go_test_05","","go-test","","TestMultiply05",""
"passed","Tue May 28 17:19:24 IST 2024","Tue May 28 17:19:24 IST 2024","0","","go_test_09","","go-test","","TestWithAllure09",""
"passed","Tue May 28 17:19:24 IST 2024","Tue May 28 17:19:24 IST 2024","40","","go_test_01","","go-test","","TestDivide01",""
"passed","Tue May 28 17:19:24 IST 2024","Tue May 28 17:19:24 IST 2024","33","","test_example_09","","test_example_09","","test_multiply_09",""
"passed","Tue May 28 17:19:24 IST 2024","Tue May 28 17:19:24 IST 2024","31","","test_example_01","","test_example_01","","test_add_01",""
"passed","Tue May 28 17:19:24 IST 2024","Tue May 28 17:19:24 IST 2024","2","","test_example_08","","test_example_08","","test_with_logs_08",""
"passed","Tue May 28 17:19:24 IST 2024","Tue May 28 17:19:24 IST 2024","32","","test_example_08","","test_example_08","","test_multiply_08",""
"passed","Tue May 28 17:19:24 IST 2024","Tue May 28 17:19:24 IST 2024","0","","test_example_06","","test_example_06","","test_with_allure_06",""
"passed","Tue May 28 17:19:24 IST 2024","Tue May 28 17:19:24 IST 2024","31","","test_example_08","","test_example_08","","test_subtract_08",""
"passed","Tue May 28 17:19:24 IST 2024","Tue May 28 17:19:24 IST 2024","31","","test_example_01","","test_example_01","","test_subtract_01",""
"passed","Tue May 28 17:19:24 IST 2024","Tue May 28 17:19:24 IST 2024","0","","go_test_07","","go-test","","TestWithAllure07",""
"passed","Tue May 28 17:19:24 IST 2024","Tue May 28 17:19:24 IST 2024","1","","test_example_01","","test_example_01","","test_with_allure_01",""
"passed","Tue May 28 17:19:24 IST 2024","Tue May 28 17:19:24 IST 2024","32","","test_example_10","","test_example_10","","test_subtract_10",""
"passed","Tue May 28 17:19:24 IST 2024","Tue May 28 17:19:24 IST 2024","1","","test_example_10","","test_example_10","","test_with_allure_10",""
"passed","Tue May 28 17:19:24 IST 2024","Tue May 28 17:19:24 IST 2024","30","","go_test_10","","go-test","","TestMultiply10",""
"passed","Tue May 28 17:19:24 IST 2024","Tue May 28 17:19:24 IST 2024","0","","go_test_05","","go-test","","TestWithAllure05",""
"passed","Tue May 28 17:19:24 IST 2024","Tue May 28 17:19:24 IST 2024","30","","go_test_02","","go-test","","TestMultiply02",""
"passed","Tue May 28 17:19:24 IST 2024","Tue May 28 17:19:24 IST 2024","30","","go_test_01","","go-test","","TestMultiply01",""
"passed","Tue May 28 17:19:24 IST 2024","Tue May 28 17:19:24 IST 2024","31","","test_example_06","","test_example_06","","test_add_06",""
"passed","Tue May 28 17:19:24 IST 2024","Tue May 28 17:19:24 IST 2024","2","","test_example_05","","test_example_05","","test_with_logs_05",""
"passed","Tue May 28 17:19:24 IST 2024","Tue May 28 17:19:24 IST 2024","1","","test_example_03","","test_example_03","","test_with_allure_03",""
"passed","Tue May 28 17:19:24 IST 2024","Tue May 28 17:19:24 IST 2024","30","","go_test_08","","go-test","","TestAdd08",""
"passed","Tue May 28 17:19:24 IST 2024","Tue May 28 17:19:24 IST 2024","30","","go_test_04","","go-test","","TestSubtract04",""
